split_type,model,n,n_valid(|R2|<10),median_R2,mean_R2
all,cnn,192,192,-0.0212,-0.0801
all,linear,64,56,0.0103,-0.1054
all,mlp,64,64,-0.0003,-0.0756
all,transformer,64,64,-0.0084,-0.1112
all,xgboost,64,64,-0.0072,-0.0871
mixed,cnn,192,192,0.0634,0.0634
mixed,linear,64,58,0.0696,0.0732
mixed,mlp,64,64,0.0753,0.0725
mixed,transformer,64,64,0.0734,0.0750
mixed,xgboost,64,64,0.0951,0.0949
single,cnn,192,192,0.0727,0.0720
single,linear,64,58,0.0824,0.0710
single,mlp,64,64,0.1022,0.0817
single,transformer,64,64,0.0988,0.0829
single,xgboost,64,64,0.1334,0.1054
