run,split,model,kernel,cell_line,environment,n_test,n_clean,n_leaked,frac_leaked,aligned,old_R2,leak_controlled_R2,leak_controlled_MAE,leaked_subset_R2
mixed_cnn_all_seed_42_kernel_3,mixed,cnn,3,mixed,all_seed_42|kernel_3,2513,1638,875,0.3482,True,0.0719678240978997,0.02268685646714652,0.12576963680826617,0.11890435349805872
mixed_cnn_all_seed_42_kernel_5,mixed,cnn,5,mixed,all_seed_42|kernel_5,2513,1638,875,0.3482,True,0.18422500351022397,0.02655946356656913,0.12224823907261294,0.42609941169759646
mixed_cnn_all_seed_42_kernel_7,mixed,cnn,7,mixed,all_seed_42|kernel_7,2513,1638,875,0.3482,True,0.16451021533511367,0.023672488415780513,0.12317963736992674,0.3586283356187704
mixed_cnn_all_seed_43_kernel_3,mixed,cnn,3,mixed,all_seed_43|kernel_3,2513,1618,895,0.3561,True,0.08429819040727382,0.042965977902196695,0.12414460291749074,0.09669746087585074
mixed_cnn_all_seed_43_kernel_5,mixed,cnn,5,mixed,all_seed_43|kernel_5,2513,1618,895,0.3561,True,0.15039290549773332,-0.0474058922802878,0.12320179431674907,0.4107745443166082
mixed_cnn_all_seed_43_kernel_7,mixed,cnn,7,mixed,all_seed_43|kernel_7,2513,1618,895,0.3561,True,0.1502218760428854,-0.039646489301493615,0.123652145618356,0.4786420752204712
mixed_cnn_all_seed_44_kernel_3,mixed,cnn,3,mixed,all_seed_44|kernel_3,2513,1582,931,0.3705,True,0.09718268039814326,0.011647424457537636,0.12634659944462706,0.11386637045697301
mixed_cnn_all_seed_44_kernel_5,mixed,cnn,5,mixed,all_seed_44|kernel_5,2513,1582,931,0.3705,True,0.14946783907284011,0.03228246884138175,0.12090728144841974,0.26639887546990215
mixed_cnn_all_seed_44_kernel_7,mixed,cnn,7,mixed,all_seed_44|kernel_7,2513,1582,931,0.3705,True,0.14716328701254544,0.04778694011053497,0.11991669167597979,0.2523203951212636
mixed_cnn_all_seed_45_kernel_3,mixed,cnn,3,mixed,all_seed_45|kernel_3,2513,1587,926,0.3685,True,0.06669310836980857,0.060992397669062726,0.12429786095280404,0.1000327238787706
mixed_cnn_all_seed_45_kernel_5,mixed,cnn,5,mixed,all_seed_45|kernel_5,2513,1587,926,0.3685,True,0.13488332430528793,0.03850312042901871,0.12047887554007561,0.35409295429643106
mixed_cnn_all_seed_45_kernel_7,mixed,cnn,7,mixed,all_seed_45|kernel_7,2513,1587,926,0.3685,True,0.15965629648667756,-0.009842864460715584,0.1250323089868305,0.44930008289805046
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_42_kernel_3,mixed,cnn,3,mixed,sequence_ctcf_dnase_h3k4me3_seed_42|kernel_3,2513,1638,875,0.3482,True,0.07291399093541218,0.010518099152314497,0.1252079455384249,0.12092055524134693
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_42_kernel_5,mixed,cnn,5,mixed,sequence_ctcf_dnase_h3k4me3_seed_42|kernel_5,2513,1638,875,0.3482,True,0.15372342535548456,0.04918397881779146,0.12214888791327227,0.2835978900646824
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_42_kernel_7,mixed,cnn,7,mixed,sequence_ctcf_dnase_h3k4me3_seed_42|kernel_7,2513,1638,875,0.3482,True,0.16367668439976513,-0.056143726922592396,0.1271526452490476,0.5167164108708404
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_43_kernel_3,mixed,cnn,3,mixed,sequence_ctcf_dnase_h3k4me3_seed_43|kernel_3,2513,1618,895,0.3561,True,0.0883617783644185,0.02406466525531381,0.12231179034023486,0.10102201865385785
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_43_kernel_5,mixed,cnn,5,mixed,sequence_ctcf_dnase_h3k4me3_seed_43|kernel_5,2513,1618,895,0.3561,True,0.1639620053777443,-0.0029529209049650174,0.12200273642181705,0.3323028787216913
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_43_kernel_7,mixed,cnn,7,mixed,sequence_ctcf_dnase_h3k4me3_seed_43|kernel_7,2513,1618,895,0.3561,True,0.17937026515773036,-0.05218578275456087,0.12559277115605685,0.5126122535406221
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_44_kernel_3,mixed,cnn,3,mixed,sequence_ctcf_dnase_h3k4me3_seed_44|kernel_3,2513,1582,931,0.3705,True,0.0993961387090645,0.012318690291265422,0.1240747011197219,0.11979304318940565
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_44_kernel_5,mixed,cnn,5,mixed,sequence_ctcf_dnase_h3k4me3_seed_44|kernel_5,2513,1582,931,0.3705,True,0.1507892990856925,0.018107306684276292,0.1225706607783818,0.33637733176474904
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_44_kernel_7,mixed,cnn,7,mixed,sequence_ctcf_dnase_h3k4me3_seed_44|kernel_7,2513,1582,931,0.3705,True,0.13535464102643935,0.010963504906596144,0.1220206837556258,0.2960278101342887
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_45_kernel_3,mixed,cnn,3,mixed,sequence_ctcf_dnase_h3k4me3_seed_45|kernel_3,2513,1587,926,0.3685,True,0.06458528445033063,0.0466779195435959,0.12425759069445495,0.10295831635422148
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_45_kernel_5,mixed,cnn,5,mixed,sequence_ctcf_dnase_h3k4me3_seed_45|kernel_5,2513,1587,926,0.3685,True,0.1461322650851471,0.0005106243039390002,0.12304846905299306,0.4130833134421197
mixed_cnn_sequence_ctcf_dnase_h3k4me3_seed_45_kernel_7,mixed,cnn,7,mixed,sequence_ctcf_dnase_h3k4me3_seed_45|kernel_7,2513,1587,926,0.3685,True,0.13777093817656993,-0.01069867145391279,0.12207385198620037,0.43760867802923853
mixed_cnn_sequence_ctcf_dnase_rrbs_seed_42_kernel_3,mixed,cnn,3,mixed,sequence_ctcf_dnase_rrbs_seed_42|kernel_3,2513,1638,875,0.3482,True,0.07160078148383875,0.029570925843947937,0.12578108129544566,0.12662188643471117
mixed_cnn_sequence_ctcf_dnase_rrbs_seed_42_kernel_5,mixed,cnn,5,mixed,sequence_ctcf_dnase_rrbs_seed_42|kernel_5,2513,1638,875,0.3482,True,0.15510731656328358,-0.04621736357317818,0.12580606917090353,0.4380339608144692
mixed_cnn_sequence_ctcf_dnase_rrbs_seed_42_kernel_7,mixed,cnn,7,mixed,sequence_ctcf_dnase_rrbs_seed_42|kernel_7,2513,1638,875,0.3482,True,0.16141443398193778,-0.009430222106760144,0.1242146421318315,0.4480602558232273
mixed_cnn_sequence_ctcf_dnase_rrbs_seed_43_kernel_3,mixed,cnn,3,mixed,sequence_ctcf_dnase_rrbs_seed_43|kernel_3,2513,1618,895,0.3561,True,0.09031822896474728,0.02757248293621306,0.12349901179264525,0.11351836839340235
mixed_cnn_sequence_ctcf_dnase_rrbs_seed_43_kernel_5,mixed,cnn,5,mixed,sequence_ctcf_dnase_rrbs_seed_43|kernel_5,2513,1618,895,0.3561,True,0.1471322922567606,0.03906095242545227,0.11877403313998765,0.30330226481989697
mixed_cnn_sequence_ctcf_dnase_rrbs_seed_43_kernel_7,mixed,cnn,7,mixed,sequence_ctcf_dnase_rrbs_seed_43|kernel_7,2513,1618,895,0.3561,True,0.16424135102059667,-0.10228265744692955,0.12842158883838073,0.5206589489026756
mixed_cnn_sequence_ctcf_dnase_rrbs_seed_44_kernel_3,mixed,cnn,3,mixed,sequence_ctcf_dnase_rrbs_seed_44|kernel_3,2513,1582,931,0.3705,True,0.10331624428975905,0.003051392713483869,0.12538151092376737,0.13555738776950654
mixed_cnn_sequence_ctcf_dnase_rrbs_seed_44_kernel_5,mixed,cnn,5,mixed,sequence_ctcf_dnase_rrbs_seed_44|kernel_5,2513,1582,931,0.3705,True,0.15151821819468048,0.01674652481892891,0.12186482008305942,0.3072471732835508
mixed_cnn_sequence_ctcf_dnase_rrbs_seed_44_kernel_7,mixed,cnn,7,mixed,sequence_ctcf_dnase_rrbs_seed_44|kernel_7,2513,1582,931,0.3705,True,0.13678537763887866,-0.059737302120230096,0.12381226624614412,0.41405394961815223
mixed_cnn_sequence_ctcf_dnase_rrbs_seed_45_kernel_3,mixed,cnn,3,mixed,sequence_ctcf_dnase_rrbs_seed_45|kernel_3,2513,1587,926,0.3685,True,0.0633307743875251,0.0490069912868325,0.12429585228865785,0.09998888422554175
