batch,run,split,dataset,model,model_label,cell_line,random_seed,n_train,n_valid,n_test,test_r2,test_pearson,test_spearman,test_rmse,test_mae,test_mse,valid_r2,r2,divergent
ultimate_run,all_cnn_all_heldout_hct116_kernel_3,all,DeepCRISPR,cnn_dual_branch,cnn_k3,hct116,42,7003,1240,4239,0.04579192113924502,0.2184670776828303,0.2211506790735672,0.1677448106571773,0.1343345511708734,0.028138321502412265,0.0456607802735568,0.04579192113924502,False
ultimate_run,all_cnn_all_heldout_hct116_kernel_5,all,DeepCRISPR,cnn_dual_branch,cnn_k5,hct116,42,7003,1240,4239,0.05945573304914209,0.24483912684684217,0.2705117426953945,0.16653946662252075,0.13357640495623638,0.027735393942913706,0.0501566711239918,0.05945573304914209,False
ultimate_run,all_cnn_all_heldout_hct116_kernel_7,all,DeepCRISPR,cnn_dual_branch,cnn_k7,hct116,42,7003,1240,4239,0.09179555303369813,0.3056892604675615,0.3157583877085458,0.163651262918738,0.13003846322074983,0.026781735854897907,0.06286179789479374,0.09179555303369813,False
ultimate_run,all_cnn_all_heldout_hek293t_kernel_3,all,DeepCRISPR,cnn_dual_branch,cnn_k3,hek293t,42,12270,2144,2333,-0.21797557065643547,-0.10261647979847582,-0.05436838957652302,0.1322111476882135,0.10724766267422847,0.017479787573034596,0.06425563666848033,-0.21797557065643547,False
ultimate_run,all_cnn_all_heldout_hek293t_kernel_5,all,DeepCRISPR,cnn_dual_branch,cnn_k5,hek293t,42,12270,2144,2333,-0.4296633974087478,-0.11945733776648891,-0.0814165565691016,0.14324045294602347,0.11667457590038512,0.020517827360181963,0.10316345483739664,-0.4296633974087478,False
ultimate_run,all_cnn_all_heldout_hek293t_kernel_7,all,DeepCRISPR,cnn_dual_branch,cnn_k7,hek293t,42,12270,2144,2333,-0.3783082042208923,-0.12146984537471545,-0.10048411530615253,0.14064424209379586,0.10865365686529806,0.019780802834138262,0.11230722257820014,-0.3783082042208923,False
ultimate_run,all_cnn_all_heldout_hela_kernel_3,all,DeepCRISPR,cnn_dual_branch,cnn_k3,hela,42,3707,655,8101,-0.02728210151175947,-0.029107385107147582,-0.029455373752725132,0.18455275002931656,0.14576103002588606,0.034059717543383404,0.05544056174143874,-0.02728210151175947,False
ultimate_run,all_cnn_all_heldout_hela_kernel_5,all,DeepCRISPR,cnn_dual_branch,cnn_k5,hela,42,3707,655,8101,-0.02989808233180047,0.023230386686376434,0.021399835867200685,0.18478758303654425,0.14394062305223715,0.03414645084448773,0.03810008614662719,-0.02989808233180047,False
ultimate_run,all_cnn_all_heldout_hela_kernel_7,all,DeepCRISPR,cnn_dual_branch,cnn_k7,hela,42,3707,655,8101,-0.013036378449264419,0.03442172328526057,0.03445239022416901,0.18326865009187107,0.1454863299262361,0.03358739810649668,0.046378492006569294,-0.013036378449264419,False
ultimate_run,all_cnn_all_heldout_hl60_kernel_3,all,DeepCRISPR,cnn_dual_branch,cnn_k3,hl60,42,12313,2186,2076,-0.011879594849069752,0.13104109231951191,0.14412555525850004,0.11415313116639553,0.0894333673524446,0.013030937355092302,0.06279714289650595,-0.011879594849069752,False
