split_type,cell_line,model,theoretical_nodes,observed_nodes,unavailable_nodes,theoretical_edges,valid_edges,unavailable_edges,metric_inconsistency_edges,invalid_experiments,unavailable_combinations
all,hct116,cnn(3|3),16,16,0,32,32,0,0,0,
all,hct116,cnn(5|3),16,16,0,32,32,0,0,0,
all,hct116,cnn(7|3),16,16,0,32,32,0,0,0,
all,hct116,linear,16,8,8,32,12,20,0,8,"sequence_dnase, sequence_ctcf_dnase, sequence_dnase_h3k4me3, sequence_dnase_rrbs, sequence_ctcf_dnase_h3k4me3, sequence_ctcf_dnase_rrbs, sequence_dnase_h3k4me3_rrbs, all"
all,hct116,mlp,16,16,0,32,32,0,0,0,
all,hct116,transformer,16,16,0,32,32,0,0,0,
all,hct116,xgboost,16,16,0,32,32,0,0,0,
all,hek293t,cnn(3|3),16,16,0,32,32,0,0,0,
all,hek293t,cnn(5|3),16,16,0,32,32,0,0,0,
all,hek293t,cnn(7|3),16,16,0,32,32,0,0,0,
all,hek293t,linear,16,16,0,32,32,0,0,0,
all,hek293t,mlp,16,16,0,32,32,0,0,0,
all,hek293t,transformer,16,16,0,32,32,0,0,0,
all,hek293t,xgboost,16,16,0,32,32,0,0,0,
all,hela,cnn(3|3),16,16,0,32,32,0,0,0,
all,hela,cnn(5|3),16,16,0,32,32,0,0,0,
all,hela,cnn(7|3),16,16,0,32,32,0,0,0,
all,hela,linear,16,16,0,32,32,0,0,0,
all,hela,mlp,16,16,0,32,32,0,0,0,
all,hela,transformer,16,16,0,32,32,0,0,0,
all,hela,xgboost,16,16,0,32,32,0,0,0,
all,hl60,cnn(3|3),16,16,0,32,32,0,0,0,
all,hl60,cnn(5|3),16,16,0,32,32,0,0,0,
all,hl60,cnn(7|3),16,16,0,32,32,0,0,0,
all,hl60,linear,16,16,0,32,32,0,0,0,
all,hl60,mlp,16,16,0,32,32,0,0,0,
all,hl60,transformer,16,16,0,32,32,0,0,0,
all,hl60,xgboost,16,16,0,32,32,0,0,0,
mixed,none,cnn(3|3),16,16,0,32,32,0,0,0,
mixed,none,cnn(5|3),16,16,0,32,32,0,0,0,
mixed,none,cnn(7|3),16,16,0,32,32,0,0,0,
mixed,none,linear,16,16,0,32,32,0,0,6,
mixed,none,mlp,16,16,0,32,32,0,0,0,
mixed,none,transformer,16,16,0,32,32,0,0,0,
mixed,none,xgboost,16,16,0,32,32,0,0,0,
single,hct116,cnn(3|3),16,16,0,32,32,0,0,0,
single,hct116,cnn(5|3),16,16,0,32,32,0,0,0,
single,hct116,cnn(7|3),16,16,0,32,32,0,0,0,
single,hct116,linear,16,16,0,32,32,0,0,0,
single,hct116,mlp,16,16,0,32,32,0,0,0,
single,hct116,transformer,16,16,0,32,32,0,0,0,
single,hct116,xgboost,16,16,0,32,32,0,0,0,
single,hek293t,cnn(3|3),16,16,0,32,32,0,0,0,
single,hek293t,cnn(5|3),16,16,0,32,32,0,0,0,
single,hek293t,cnn(7|3),16,16,0,32,32,0,0,0,
single,hek293t,linear,16,16,0,32,32,0,0,0,
single,hek293t,mlp,16,16,0,32,32,0,0,0,
single,hek293t,transformer,16,16,0,32,32,0,0,0,
single,hek293t,xgboost,16,16,0,32,32,0,0,0,
single,hela,cnn(3|3),16,16,0,32,32,0,0,0,
single,hela,cnn(5|3),16,16,0,32,32,0,0,0,
single,hela,cnn(7|3),16,16,0,32,32,0,0,0,
single,hela,linear,16,16,0,32,32,0,0,0,
single,hela,mlp,16,16,0,32,32,0,0,0,
single,hela,transformer,16,16,0,32,32,0,0,0,
single,hela,xgboost,16,16,0,32,32,0,0,0,
single,hl60,cnn(3|3),16,16,0,32,32,0,0,0,
single,hl60,cnn(5|3),16,16,0,32,32,0,0,0,
single,hl60,cnn(7|3),16,16,0,32,32,0,0,0,
single,hl60,linear,16,10,6,32,14,18,0,6,"sequence_h3k4me3, sequence_dnase_h3k4me3, sequence_ctcf_dnase_h3k4me3, sequence_ctcf_h3k4me3_rrbs, sequence_dnase_h3k4me3_rrbs, all"
single,hl60,mlp,16,16,0,32,32,0,0,0,
single,hl60,transformer,16,16,0,32,32,0,0,0,
single,hl60,xgboost,16,16,0,32,32,0,0,0,
