split_type,cell_line,model,full_combination,ablated_environment,reduced_combination,r2_full,r2_reduced,delta_r2_ablation,delta_rmse_ablation,n_paired,status,warning
all,hct116,cnn(3|3),sequence_ctcf,ctcf,sequence,0.0462619734289424,0.0462508330760303,-1.114035291210208e-05,9.79446423715613e-07,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_dnase,dnase,sequence,0.044802007162228,0.0462508330760303,0.0014488259138022985,-0.0001273303210744814,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_h3k4me3,h3k4me3,sequence,0.0428633908565029,0.0462508330760303,0.0033874422195274007,-0.0002975550011883876,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_rrbs,rrbs,sequence,0.0493531114793655,0.0462508330760303,-0.0031022784033351986,0.00027296994247541506,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_dnase,dnase,sequence_ctcf,0.0355393683641209,0.0462619734289424,0.010722605064821498,-0.0009400863927564174,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3,h3k4me3,sequence_ctcf,0.036599156327575,0.0462619734289424,0.009662817101367398,-0.0008474047681301111,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_rrbs,rrbs,sequence_ctcf,0.0425483658645327,0.0462619734289424,0.0037136075644097002,-0.0003261796560055097,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_dnase,ctcf,sequence_dnase,0.0355393683641209,0.044802007162228,0.009262638798107098,-0.0008117766252582204,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_dnase_h3k4me3,h3k4me3,sequence_dnase,0.0370189578246916,0.044802007162228,0.007783049337536402,-0.0006823680100164209,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_dnase_rrbs,rrbs,sequence_dnase,0.0421067714709796,0.044802007162228,0.002695235691248403,-0.00023661461635010594,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3,ctcf,sequence_h3k4me3,0.036599156327575,0.0428633908565029,0.006264234528927895,-0.0005488703205180079,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_dnase_h3k4me3,dnase,sequence_h3k4me3,0.0370189578246916,0.0428633908565029,0.0058444330318113,-0.0005121433299025147,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_h3k4me3_rrbs,rrbs,sequence_h3k4me3,0.0436923716117737,0.0428633908565029,-0.0008289807552708042,7.276945207579377e-05,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_rrbs,ctcf,sequence_rrbs,0.0425483658645327,0.0493531114793655,0.006804745614832797,-0.0005981701520572091,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_dnase_rrbs,dnase,sequence_rrbs,0.0421067714709796,0.0493531114793655,0.0072463400083859,-0.0006369148799000024,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_h3k4me3_rrbs,h3k4me3,sequence_rrbs,0.0436923716117737,0.0493531114793655,0.005660739867591795,-0.0004977554915880089,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_dnase_h3k4me3,h3k4me3,sequence_ctcf_dnase,0.0412892124301426,0.0355393683641209,-0.005749844066021699,0.0005034543589620966,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_dnase_rrbs,rrbs,sequence_ctcf_dnase,0.046835997591478,0.0355393683641209,-0.011296629227357101,0.0009905616498220027,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_dnase_h3k4me3,dnase,sequence_ctcf_h3k4me3,0.0412892124301426,0.036599156327575,-0.004690056102567598,0.0004107727343357903,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3_rrbs,rrbs,sequence_ctcf_h3k4me3,0.0424132485970503,0.036599156327575,-0.005814092269475296,0.0005093692084102985,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_dnase_rrbs,dnase,sequence_ctcf_rrbs,0.046835997591478,0.0425483658645327,-0.004287631726945303,0.000376654913071095,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3_rrbs,h3k4me3,sequence_ctcf_rrbs,0.0424132485970503,0.0425483658645327,0.00013511726748240138,-1.1855903714302896e-05,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_dnase_h3k4me3,ctcf,sequence_dnase_h3k4me3,0.0412892124301426,0.0370189578246916,-0.004270254605451003,0.0003740457437202971,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_dnase_h3k4me3_rrbs,rrbs,sequence_dnase_h3k4me3,0.046539709600671,0.0370189578246916,-0.0095207517759794,0.000835097856820205,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_dnase_rrbs,ctcf,sequence_dnase_rrbs,0.046835997591478,0.0421067714709796,-0.004729226120498406,0.00041539964091388826,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_dnase_h3k4me3_rrbs,h3k4me3,sequence_dnase_rrbs,0.046539709600671,0.0421067714709796,-0.004432938129691401,0.00038934446315389004,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3_rrbs,ctcf,sequence_h3k4me3_rrbs,0.0424132485970503,0.0436923716117737,0.0012791230147234031,-0.00011227056418350312,1,ok,CI_UNAVAILABLE
all,hct116,cnn(3|3),sequence_dnase_h3k4me3_rrbs,dnase,sequence_h3k4me3_rrbs,0.046539709600671,0.0436923716117737,-0.0028473379888972958,0.00025018507484189656,1,ok,CI_UNAVAILABLE
