Feature,XGB_Gain,XGB_Weight,XGB_Cover,TreeSHAP,SHAP_SNR
pos18_C,0.7161004543304443,145.0,3249.06884765625,0.026430081576108932,0.8945433051119502
pos20_G,0.27662554383277893,109.0,2133.412841796875,0.010563087649643421,0.8436228352909965
pos1_G,0.23212923109531403,111.0,2414.027099609375,0.009105179458856583,0.8197927988628732
pos20_T,0.21945354342460632,49.0,1647.48974609375,0.0014994076918810606,0.3740524978874125
pos19_A,0.21846625208854675,105.0,1974.914306640625,0.006222637835890055,0.8091155254097593
pos19_T,0.21354344487190247,42.0,2916.1904296875,0.0017283051274716854,0.4260589636351979
pos20_C,0.2075425088405609,120.0,1737.0416259765625,0.005465712398290634,0.8171100734443771
pos18_G,0.2066754698753357,77.0,1307.4285888671875,0.0020392814185470343,0.7372033789359347
pos16_G,0.2050258070230484,97.0,2138.031005859375,0.006906174123287201,0.8237725391063336
pos17_T,0.19876906275749207,61.0,2116.88525390625,0.002066738437861204,0.4147846104402195
pos21_G,0.19784575700759888,104.0,2572.6923828125,0.006882087793201208,0.7192147388337837
pos6_H3K4me3,0.1967364400625229,3.0,1697.0,8.766500104684383e-05,0.3397613561375083
pos18_A,0.19330187141895294,69.0,2834.50732421875,0.006044196430593729,0.8659318680688043
pos19_G,0.17417727410793304,89.0,1743.3145751953125,0.0051391348242759705,0.8500547409357204
pos14_T,0.17295771837234497,86.0,1723.44189453125,0.005058261100202799,0.7637473757304963
pos14_G,0.17024877667427063,95.0,1690.9052734375,0.005165801849216223,0.8431271509587014
pos3_C,0.16933636367321014,76.0,2302.394775390625,0.0041065518744289875,0.7942007043714202
pos6_T,0.16550110280513763,77.0,2293.688232421875,0.004778784699738026,0.8070888876358131
pos2_C,0.16507305204868317,78.0,1005.5128173828125,0.0013450572732836008,0.6628841458356589
pos17_G,0.16496345400810242,117.0,1356.3931884765625,0.0023388625122606754,0.7653473064043401
pos19_C,0.16391077637672424,101.0,1333.5841064453125,0.0027904335875064135,0.7020052872292939
pos17_A,0.1626191884279251,88.0,1140.102294921875,0.0016462235944345593,0.7100225732748118
pos1_C,0.16228608787059784,99.0,1900.6060791015625,0.005875248461961746,0.8509406511333264
