model,split_type,cell_line,environment,random_seed,n_train,n_valid,n_test,R2,MAE,RMSE,Pearson,Spearman,MSE,source_table,run_name
linear,single,hct116,sequence,42,2968,635,636,0.1320245676020137,0.1340800476474277,0.1679574645608864,0.3634216323987913,0.341923480519938,0.0282097099017214,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_linear_sequence
linear,single,hek293t,sequence,42,1633,345,355,-0.0033419667602085,0.1000450560009815,0.1202920052575513,0.1298831599507328,0.1055578105112673,0.0144701665288827,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_linear_sequence
linear,single,hela,sequence,42,5669,1215,1217,0.0806070904811947,0.1408999113330088,0.1788709407821487,0.2891781692431445,0.2899514750425211,0.0319948134562909,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_linear_sequence
linear,single,hl60,sequence,42,1453,311,312,0.1494839333225623,0.0789281965699046,0.1029858465286419,0.3946347229128255,0.4176753669691578,0.0106060845852209,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_linear_sequence
xgboost,single,hct116,sequence,42,2968,635,636,0.1505827350288201,0.1328260481706088,0.1661522151262323,0.3896898861776097,0.3740243118664422,0.0276065585913537,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_xgboost_sequence
xgboost,single,hek293t,sequence,42,1633,345,355,0.0372497226251367,0.0970956501931371,0.1178335879598503,0.1990521957673409,0.1223259955850126,0.0138847544514917,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_xgboost_sequence
xgboost,single,hela,sequence,42,5669,1215,1217,0.0992608377204441,0.1389034500585162,0.1770470679383228,0.3175613747328589,0.3257797015991076,0.031345664265557,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_xgboost_sequence
xgboost,single,hl60,sequence,42,1453,311,312,0.1546637524256472,0.077680611033709,0.1026717650191182,0.3952941455563185,0.4299503184220113,0.010541491332141,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_xgboost_sequence
mlp,single,hct116,sequence,42,2968,635,636,0.1215135359766343,0.132717385224752,0.1689713720887704,0.3556548867098548,0.3424764252103359,0.0285513245855617,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_mlp_sequence
mlp,single,hek293t,sequence,42,1633,345,355,-0.0036809091350349,0.1005012834261001,0.1203123216683711,0.0930462838001086,0.068127868333597,0.0144750547452336,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_mlp_sequence
mlp,single,hela,sequence,42,5669,1215,1217,0.0730918116619281,0.1393779189299898,0.179600514115152,0.2845420813577338,0.2861847245811496,0.0322563446704269,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_mlp_sequence
mlp,single,hl60,sequence,42,1453,311,312,0.1560170469981641,0.0788956007096343,0.1025895487433743,0.3964078119230534,0.4217276102979235,0.0105246155113691,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_mlp_sequence
cnn(3|3),single,hct116,sequence,42,2968,635,636,0.0795277869308057,0.1378266639442259,0.1729620941692801,0.2893450653082441,0.2778201222934178,0.0299158860194229,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_cnn_sequence_kernel_3
cnn(3|3),single,hek293t,sequence,42,1633,345,355,0.0719680377001372,0.0955425543369541,0.1156894463427335,0.2689219921518645,0.1987685779502764,0.0133840479950882,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_cnn_sequence_kernel_3
cnn(3|3),single,hela,sequence,42,5669,1215,1217,0.0685170169818476,0.1404458469692925,0.1800431815642036,0.2742200810839765,0.2568827194311868,0.0324155472277607,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_cnn_sequence_kernel_3
cnn(3|3),single,hl60,sequence,42,1453,311,312,0.0737911663320098,0.0860798909651258,0.1074708642881513,0.2934732101145949,0.2723118647067981,0.0115499866708422,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_cnn_sequence_kernel_3
cnn(5|3),single,hct116,sequence,42,2968,635,636,0.1135994252996981,0.133814543560323,0.1697307804071909,0.3390107709534017,0.3365785515526179,0.028808537817634,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_cnn_sequence_kernel_5
cnn(5|3),single,hek293t,sequence,42,1633,345,355,0.035220988850447,0.097885688352333,0.1179576737082869,0.2181594835647289,0.1590487123847637,0.0139140127866706,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_cnn_sequence_kernel_5
cnn(5|3),single,hela,sequence,42,5669,1215,1217,0.1004897576259579,0.1348990469913129,0.17692624998222,0.334683745711875,0.3380522116087896,0.031302897932771,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_cnn_sequence_kernel_5
cnn(5|3),single,hl60,sequence,42,1453,311,312,0.0264997445588651,0.0849414891742456,0.110180392984545,0.2907252536575935,0.2995347933042477,0.0121397189982287,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hl60_cnn_sequence_kernel_5
cnn(7|3),single,hct116,sequence,42,2968,635,636,0.113058533152998,0.1353544920211388,0.169782558377435,0.3397464586435825,0.3057833154849654,0.0288261171291871,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hct116_cnn_sequence_kernel_7
cnn(7|3),single,hek293t,sequence,42,1633,345,355,0.0716263219298164,0.0946561348795051,0.1157107437071526,0.2876223584154465,0.2176964280445575,0.0133889762092623,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hek293t_cnn_sequence_kernel_7
cnn(7|3),single,hela,sequence,42,5669,1215,1217,0.118753442357289,0.1355074252519305,0.1751208807993611,0.3476920889537434,0.3502336406479465,0.030667322891944,results/batches/ultimate_run/summary/metrics_tables/all_experiments.csv,single_hela_cnn_sequence_kernel_7
