feature,model,split_type,cell_line,held_out_cell_line,environment,baseline_environment,expanded_environment,delta_r2,delta_r2_ci_low,delta_r2_ci_high,delta_rmse,raw_importance,normalized_importance,importance_method,effect_direction,evidence_tier,evidence_strength,coverage,snr,fdr,robustness_metric,robustness_value,statistical_metric,statistical_value,eligible,filter_mode,filter_pass,filter_reason,n_importance_contexts,n_paired,importance_value,importance_metric,cell_line_consistency,direction_concordance,permutation_fdr,ci_excludes_zero
ctcf,cnn,all,hct116,hct116,ctcf,,,-0.005216999999999999,,,0.000466,0.08120360754764876,0.3183224251729494,CNN_IG,-,Inconclusive,Weak attribution evidence,7,1.2014190898533317,0.0069930069930069,ISM_SNR,1.2014190898533317,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.08120360754764876,CNN_IG,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,cnn,all,hct116,hct116,dnase,,,-0.0012232500000000002,,,0.00011020833333333335,0.08828544754639138,0.34608361154344114,CNN_IG,-,Inconclusive,Weak attribution evidence,7,1.496137093698633,0.0069930069930069,ISM_SNR,1.496137093698633,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.08828544754639138,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,cnn,all,hct116,hct116,h3k4me3,,,-0.00418475,,,0.0003745,0.08475313488967495,0.3322367595954499,CNN_IG,-,Inconclusive,not attribution-supported,7,1.1800019968894946,0.0069930069930069,ISM_SNR,1.1800019968894946,,,False,strict,False,filter_mode=strict excludes: not attribution-supported,24.0,24.0,0.08475313488967495,CNN_IG,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,cnn,all,hct116,hct116,rrbs,,,0.0018730833333333334,,,-0.00016504166666666666,0.0008564179875254421,0.003357203688159653,CNN_IG,+,Inconclusive,below min effect,7,1.2917323573559953,0.0069930069930069,ISM_SNR,1.2917323573559953,,,False,strict,False,filter_mode=strict excludes: below min effect,24.0,24.0,0.0008564179875254421,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,cnn,all,hek293t,hek293t,ctcf,,,0.011406458333333334,,,-0.0005933333333333333,0.0782143430891047,0.4228572615404422,CNN_IG,+,Inconclusive,Weak attribution evidence,7,1.4912594746852266,0.0069930069930069,ISM_SNR,1.4912594746852266,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.0782143430891047,CNN_IG,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,cnn,all,hek293t,hek293t,dnase,,,0.011477083333333332,,,-0.000588125,0.06319330951252179,0.34164769213365537,CNN_IG,+,Inconclusive,Weak attribution evidence,7,1.7817944601394127,0.0069930069930069,ISM_SNR,1.7817944601394127,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.06319330951252179,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,cnn,all,hek293t,hek293t,h3k4me3,,,-0.0013402500000000003,,,6.808333333333326e-05,0.04303605857300263,0.23266972727677318,CNN_IG,-,Inconclusive,Weak attribution evidence,7,1.4914403761858523,0.0069930069930069,ISM_SNR,1.4914403761858523,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.04303605857300263,CNN_IG,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,cnn,all,hek293t,hek293t,rrbs,,,-0.030452499999999997,,,0.0015579166666666667,0.0005225888107957855,0.0028253190491292998,CNN_IG,-,Inconclusive,below min effect,7,1.5124356026450794,0.0069930069930069,ISM_SNR,1.5124356026450794,,,False,strict,False,filter_mode=strict excludes: below min effect,24.0,24.0,0.0005225888107957855,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,cnn,all,hela,hela,ctcf,,,-0.0012193333333333333,,,0.00010854166666666668,0.025976863240429093,0.30630095699206555,CNN_IG,-,Inconclusive,Strong attribution evidence,7,2.506980858095314,0.0069930069930069,ISM_SNR,2.506980858095314,,,True,strict,True,SNR=2.51 >= 2.5,24.0,24.0,0.025976863240429093,CNN_IG,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,cnn,all,hela,hela,dnase,,,-0.0002672916666666666,,,2.579166666666667e-05,0.03194794220810953,0.37670773340490166,CNN_IG,-,Inconclusive,Strong attribution evidence,7,2.9147699835939687,0.0069930069930069,ISM_SNR,2.9147699835939687,,,True,strict,True,SNR=2.91 >= 2.5,24.0,24.0,0.03194794220810953,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,cnn,all,hela,hela,h3k4me3,,,-0.00338825,,,0.00030416666666666667,0.025974999514193835,0.3062789812390985,CNN_IG,-,Inconclusive,Moderate attribution evidence,7,1.9723862173116726,0.0069930069930069,ISM_SNR,1.9723862173116726,,,False,strict,False,filter_mode=strict excludes: Moderate attribution evidence,24.0,24.0,0.025974999514193835,CNN_IG,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,cnn,all,hela,hela,rrbs,,,0.0009984583333333336,,,-9.029166666666667e-05,0.0009084943502272458,0.010712328363934273,CNN_IG,+,Inconclusive,below min effect,7,2.1379940727374693,0.0069930069930069,ISM_SNR,2.1379940727374693,,,False,strict,False,filter_mode=strict excludes: below min effect,24.0,24.0,0.0009084943502272458,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,cnn,all,hl60,hl60,ctcf,,,0.023183875000000003,,,-0.0012959583333333334,0.06665797682035078,0.4063652096760957,CNN_IG,+,Inconclusive,not attribution-supported,7,1.091808077433835,0.0069930069930069,ISM_SNR,1.091808077433835,,,False,strict,False,filter_mode=strict excludes: not attribution-supported,24.0,24.0,0.06665797682035078,CNN_IG,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,cnn,all,hl60,hl60,dnase,,,-0.0011032083333333336,,,5.8791666666666655e-05,0.05116023208029106,0.311886730262087,CNN_IG,-,Inconclusive,Weak attribution evidence,7,1.3387817161670628,0.0069930069930069,ISM_SNR,1.3387817161670628,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.05116023208029106,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,cnn,all,hl60,hl60,h3k4me3,,,0.016789666666666668,,,-0.0009345416666666667,0.044248311124949445,0.26974977468283406,CNN_IG,+,Inconclusive,Weak attribution evidence,7,1.2513512527381165,0.0069930069930069,ISM_SNR,1.2513512527381165,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,24.0,24.0,0.044248311124949445,CNN_IG,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,cnn,all,hl60,hl60,rrbs,,,0.011162499999999999,,,-0.0006260833333333333,0.0019681345982194504,0.011998285378983342,CNN_IG,+,Inconclusive,below min effect,7,1.2624819410451944,0.0069930069930069,ISM_SNR,1.2624819410451944,,,False,strict,False,filter_mode=strict excludes: below min effect,24.0,24.0,0.0019681345982194504,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
ctcf,cnn,mixed,none,,ctcf,,,0.0006879166666666669,,,-5.979166666666667e-05,0.06414290463991658,0.41597805469856824,CNN_IG,+,Inconclusive,Weak attribution evidence,7,1.458280432321455,0.0069930069930069,ISM_SNR,1.458280432321455,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,96.0,96.0,0.06414290463991658,CNN_IG,Context-conflicting,0.5714285714285714,0.0069930069930069,False
dnase,cnn,mixed,none,,dnase,,,0.000233,,,-2.0166666666666664e-05,0.043307175560887194,0.28085467512639695,CNN_IG,+,Inconclusive,Weak attribution evidence,7,1.5431298846783845,0.0069930069930069,ISM_SNR,1.5431298846783845,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,96.0,96.0,0.043307175560887194,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
h3k4me3,cnn,mixed,none,,h3k4me3,,,0.000945875,,,-8.2125e-05,0.0459015505859183,0.2976796549449659,CNN_IG,+,Inconclusive,Weak attribution evidence,7,1.414237439983349,0.0069930069930069,ISM_SNR,1.414237439983349,,,False,strict,False,filter_mode=strict excludes: Weak attribution evidence,96.0,96.0,0.0459015505859183,CNN_IG,Context-conflicting,0.7142857142857143,0.0069930069930069,False
rrbs,cnn,mixed,none,,rrbs,,,-0.0010784166666666665,,,9.154166666666668e-05,0.0008461782452873259,0.005487615230069,CNN_IG,-,Inconclusive,below min effect,7,1.4156272305931517,0.0069930069930069,ISM_SNR,1.4156272305931517,,,False,strict,False,filter_mode=strict excludes: below min effect,96.0,96.0,0.0008461782452873259,CNN_IG,Uncertain,0.5714285714285714,0.0069930069930069,False
