split_type,cell_line,model,parent_combination,child_combination,added_environment,parent_r2,child_r2,delta_r2,parent_rmse,child_rmse,delta_rmse,parent_mae,child_mae,delta_mae,delta_pearson,delta_spearman,n_paired,status,warning,ci_low,ci_high,ci_excludes_zero,n_bootstrap,bootstrap_status
all,hct116,cnn(3|3),sequence,sequence_ctcf,ctcf,0.0462508330760303,0.0462619734289424,1.114035291210208e-05,0.1677044686419086,0.1677034891954849,-9.79446423715613e-07,0.1338693705839878,0.1344070145791863,0.0005376439951985112,-0.004592169039997901,-0.005984290089407984,1,ok,CI_AVAILABLE,-0.0092701567336916,0.0093203950673341,False,2000,ok
all,hct116,cnn(3|3),sequence,sequence_dnase,dnase,0.0462508330760303,0.044802007162228,-0.0014488259138022985,0.1677044686419086,0.1678317989629831,0.0001273303210744814,0.1338693705839878,0.1352599444191302,0.0013905738351424057,-0.00932440231648049,-0.0027853861965946025,1,ok,CI_AVAILABLE,-0.0095443604514002,0.0064958883449435,False,2000,ok
all,hct116,cnn(3|3),sequence,sequence_h3k4me3,h3k4me3,0.0462508330760303,0.0428633908565029,-0.0033874422195274007,0.1677044686419086,0.168002023643097,0.0002975550011883876,0.1338693705839878,0.1352940142948797,0.0014246437108919041,-0.013462974070791583,0.0008414849558681103,1,ok,CI_AVAILABLE,-0.0124769601970911,0.0053630261681973,False,2000,ok
all,hct116,cnn(3|3),sequence,sequence_rrbs,rrbs,0.0462508330760303,0.0493531114793655,0.0031022784033351986,0.1677044686419086,0.1674314986994332,-0.00027296994247541506,0.1338693705839878,0.1351680146421393,0.001298644058151499,0.0021449040054292157,0.0007050006581214019,1,ok,CI_AVAILABLE,-0.0041834921576082,0.010246044024825,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf,sequence_ctcf_dnase,dnase,0.0462619734289424,0.0355393683641209,-0.010722605064821498,0.1677034891954849,0.1686435755882413,0.0009400863927564174,0.1344070145791863,0.1340622092810175,-0.0003448052981687988,-0.010567378234867808,0.0022075425926083025,1,ok,CI_AVAILABLE,-0.0188777595758438,-0.0025460317265242,True,2000,ok
all,hct116,cnn(3|3),sequence_ctcf,sequence_ctcf_h3k4me3,h3k4me3,0.0462619734289424,0.036599156327575,-0.009662817101367398,0.1677034891954849,0.168550893963615,0.0008474047681301111,0.1344070145791863,0.133608850359348,-0.0007981642198383043,-0.013293900050349805,0.008413299510128508,1,ok,CI_AVAILABLE,-0.0187963359057903,0.0005468040471896,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf,sequence_ctcf_rrbs,rrbs,0.0462619734289424,0.0425483658645327,-0.0037136075644097002,0.1677034891954849,0.1680296688514904,0.0003261796560055097,0.1344070145791863,0.1339999796801671,-0.000407034899019193,-0.004058307758875307,0.012693922776814193,1,ok,CI_AVAILABLE,-0.0108017055317759,0.0035063803661614,False,2000,ok
all,hct116,cnn(3|3),sequence_dnase,sequence_ctcf_dnase,ctcf,0.044802007162228,0.0355393683641209,-0.009262638798107098,0.1678317989629831,0.1686435755882413,0.0008117766252582204,0.1352599444191302,0.1340622092810175,-0.0011977351381126933,-0.005835144958385219,-0.0009913613002050792,1,ok,CI_AVAILABLE,-0.0177846830338239,-0.0005627989885397,True,2000,ok
all,hct116,cnn(3|3),sequence_dnase,sequence_dnase_h3k4me3,h3k4me3,0.044802007162228,0.0370189578246916,-0.007783049337536402,0.1678317989629831,0.1685141669729995,0.0006823680100164209,0.1352599444191302,0.1351609782041477,-9.896621498248215e-05,-0.016956435361235506,-0.016700904942718392,1,ok,CI_AVAILABLE,-0.0169429127126932,0.0015428498154506,False,2000,ok
all,hct116,cnn(3|3),sequence_dnase,sequence_dnase_rrbs,rrbs,0.044802007162228,0.0421067714709796,-0.002695235691248403,0.1678317989629831,0.1680684135793332,0.00023661461635010594,0.1352599444191302,0.133667898950719,-0.001592045468411185,0.0024679717879896867,0.0027472514797909076,1,ok,CI_AVAILABLE,-0.009224203415215,0.0041453167796134,False,2000,ok
all,hct116,cnn(3|3),sequence_h3k4me3,sequence_ctcf_h3k4me3,ctcf,0.0428633908565029,0.036599156327575,-0.006264234528927895,0.168002023643097,0.168550893963615,0.0005488703205180079,0.1352940142948797,0.133608850359348,-0.0016851639355316972,-0.0044230950195561225,0.0015875244648524134,1,ok,CI_AVAILABLE,-0.0158193819224834,0.0036407471634447,False,2000,ok
all,hct116,cnn(3|3),sequence_h3k4me3,sequence_dnase_h3k4me3,dnase,0.0428633908565029,0.0370189578246916,-0.0058444330318113,0.168002023643097,0.1685141669729995,0.0005121433299025147,0.1352940142948797,0.1351609782041477,-0.00013303609073198053,-0.012817863606924412,-0.020327776095181105,1,ok,CI_AVAILABLE,-0.0144959706813097,0.0029761134646832,False,2000,ok
all,hct116,cnn(3|3),sequence_h3k4me3,sequence_h3k4me3_rrbs,rrbs,0.0428633908565029,0.0436923716117737,0.0008289807552708042,0.168002023643097,0.1679292541910212,-7.276945207579377e-05,0.1352940142948797,0.1340302570188115,-0.0012637572760682003,0.007075748949581101,0.016039514595396986,1,ok,CI_AVAILABLE,-0.0074504404328763,0.0092260716482996,False,2000,ok
all,hct116,cnn(3|3),sequence_rrbs,sequence_ctcf_rrbs,ctcf,0.0493531114793655,0.0425483658645327,-0.006804745614832797,0.1674314986994332,0.1680296688514904,0.0005981701520572091,0.1351680146421393,0.1339999796801671,-0.0011680349619721808,-0.010795380804302424,0.0060046320292848065,1,ok,CI_AVAILABLE,-0.0179602932184934,0.0036095604300498,False,2000,ok
all,hct116,cnn(3|3),sequence_rrbs,sequence_dnase_rrbs,dnase,0.0493531114793655,0.0421067714709796,-0.0072463400083859,0.1674314986994332,0.1680684135793332,0.0006369148799000024,0.1351680146421393,0.133667898950719,-0.0015001156914202785,-0.009001334533920019,-0.0007431353749250968,1,ok,CI_AVAILABLE,-0.0170847661793231,0.0029824941884726,False,2000,ok
all,hct116,cnn(3|3),sequence_rrbs,sequence_h3k4me3_rrbs,h3k4me3,0.0493531114793655,0.0436923716117737,-0.005660739867591795,0.1674314986994332,0.1679292541910212,0.0004977554915880089,0.1351680146421393,0.1340302570188115,-0.0011377576233277953,-0.008532129126639698,0.016175998893143695,1,ok,CI_AVAILABLE,-0.016781898215413,0.0059107467532157,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_dnase,sequence_ctcf_dnase_h3k4me3,h3k4me3,0.0355393683641209,0.0412892124301426,0.005749844066021699,0.1686435755882413,0.1681401212292792,-0.0005034543589620966,0.1340622092810175,0.1349086297601364,0.0008464204791188978,0.0006260226043894035,-0.01974849811256571,1,ok,CI_AVAILABLE,-0.0035741806495934,0.0149938520044088,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_dnase,sequence_ctcf_dnase_rrbs,rrbs,0.0355393683641209,0.046835997591478,0.011296629227357101,0.1686435755882413,0.1676530139384193,-0.0009905616498220027,0.1340622092810175,0.1353873424328332,0.001325133151815705,0.010850989100400915,0.014370812546475487,1,ok,CI_AVAILABLE,0.0032512873876839,0.0189858395606279,True,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3,sequence_ctcf_dnase_h3k4me3,dnase,0.036599156327575,0.0412892124301426,0.004690056102567598,0.168550893963615,0.1681401212292792,-0.0004107727343357903,0.133608850359348,0.1349086297601364,0.0012997794007884034,0.0033525444198714005,-0.025954255030085915,1,ok,CI_AVAILABLE,-0.0054681794717907,0.0150852035731077,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3,sequence_ctcf_h3k4me3_rrbs,rrbs,0.036599156327575,0.0424132485970503,0.005814092269475296,0.168550893963615,0.1680415247552047,-0.0005093692084102985,0.133608850359348,0.1350266043835519,0.00141775402420391,0.004365689899762215,-0.005099230951367717,1,ok,CI_AVAILABLE,-0.0024764300324022,0.0139097645878791,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_rrbs,sequence_ctcf_dnase_rrbs,dnase,0.0425483658645327,0.046835997591478,0.004287631726945303,0.1680296688514904,0.1676530139384193,-0.000376654913071095,0.1339999796801671,0.1353873424328332,0.0013873627526660992,0.004341918624408414,0.0038844323622695964,1,ok,CI_AVAILABLE,-0.0044385655783116,0.0127664003521204,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_rrbs,sequence_ctcf_h3k4me3_rrbs,h3k4me3,0.0425483658645327,0.0424132485970503,-0.00013511726748240138,0.1680296688514904,0.1680415247552047,1.1855903714302896e-05,0.1339999796801671,0.1350266043835519,0.0010266247033847986,-0.004869902391712283,-0.009379854218053402,1,ok,CI_AVAILABLE,-0.0092505142092704,0.0088636307045817,False,2000,ok
all,hct116,cnn(3|3),sequence_dnase_h3k4me3,sequence_ctcf_dnase_h3k4me3,ctcf,0.0370189578246916,0.0412892124301426,0.004270254605451003,0.1685141669729995,0.1681401212292792,-0.0003740457437202971,0.1351609782041477,0.1349086297601364,-0.0002523484440113133,0.01174731300723969,-0.004038954470052397,1,ok,CI_AVAILABLE,-0.0063944743014872,0.014894719235599,False,2000,ok
