motif_id,foreground_definition,background_definition,foreground_count,foreground_total,background_count,background_total,effect,enrichment,odds_ratio,p_value,FDR,fdr_family,status,reason
motif_cnn33_hela_sequence_cnn_ig_001,efficacy >= q0.67,all_eligible_sequences,1192,5528,4150,16749,-0.03214646419480818,0.8702599689641344,0.8345934290668208,0.9999995461087219,0.9999999981280304,motif_enrichment,ok,
motif_cnn33_hela_all_cnn_ig_002,efficacy >= q0.67,all_eligible_sequences,1192,5528,4150,16749,-0.03214646419480818,0.8702599689641344,0.8345934290668208,0.9999995461087219,0.9999999981280304,motif_enrichment,ok,
motif_cnn53_hela_sequence_cnn_ig_003,efficacy >= q0.67,all_eligible_sequences,1192,5528,4150,16749,-0.03214646419480818,0.8702599689641344,0.8345934290668208,0.9999995461087219,0.9999999981280304,motif_enrichment,ok,
motif_cnn73_hela_all_cnn_ig_004,efficacy >= q0.67,all_eligible_sequences,1192,5528,4150,16749,-0.03214646419480818,0.8702599689641344,0.8345934290668208,0.9999995461087219,0.9999999981280304,motif_enrichment,ok,
motif_cnn73_hela_sequence_cnn_ig_005,efficacy >= q0.67,all_eligible_sequences,1192,5528,4150,16749,-0.03214646419480818,0.8702599689641344,0.8345934290668208,0.9999995461087219,0.9999999981280304,motif_enrichment,ok,
motif_cnn73_hela_all_cnn_ig_006,efficacy >= q0.67,all_eligible_sequences,1192,5528,4150,16749,-0.03214646419480818,0.8702599689641344,0.8345934290668208,0.9999995461087219,0.9999999981280304,motif_enrichment,ok,
motif_cnn73_hela_sequence_cnn_ig_007,efficacy >= q0.67,all_eligible_sequences,1192,5528,4150,16749,-0.03214646419480818,0.8702599689641344,0.8345934290668208,0.9999995461087219,0.9999999981280304,motif_enrichment,ok,
motif_cnn33_hela_all_cnn_ism_008,efficacy >= q0.67,all_eligible_sequences,1192,5528,4150,16749,-0.03214646419480818,0.8702599689641344,0.8345934290668208,0.9999995461087219,0.9999999981280304,motif_enrichment,ok,
motif_cnn33_hela_all_cnn_ig_009,efficacy >= q0.67,all_eligible_sequences,1192,5528,4150,16749,-0.03214646419480818,0.8702599689641344,0.8345934290668208,0.9999995461087219,0.9999999981280304,motif_enrichment,ok,
motif_cnn53_hela_sequence_cnn_ig_010,efficacy >= q0.67,all_eligible_sequences,1192,5528,4150,16749,-0.03214646419480818,0.8702599689641344,0.8345934290668208,0.9999995461087219,0.9999999981280304,motif_enrichment,ok,
