split_type,cell_line,model,random_seed,test_type,parent_combination,child_combination,added_environment,factor,null_hypothesis,alternative,observed_effect,p_value,n_permutations,seed,n_values,n_values_excluded,family_key,status,reason,fdr_family,FDR,fdr_status
all,hct116,cnn(3|3),42,environment_edge,sequence,sequence_ctcf,ctcf,,mean per-sample loss difference (SE_parent - SE_child) = 0 on the same test samples (sign-flip randomization),greater (adding the environment reduces squared error),3.2850711368634675e-07,0.4935064935064935,1000,2024,4239,,environment_edge|all|hct116|cnn(3|3),ok,,environment_edge|all|hct116|cnn(3|3),0.997002997002997,ok
all,hct116,cnn(3|3),42,environment_edge,sequence,sequence_dnase,dnase,,mean per-sample loss difference (SE_parent - SE_child) = 0 on the same test samples (sign-flip randomization),greater (adding the environment reduces squared error),-4.272393868563845e-05,0.6453546453546454,1000,2024,4239,,environment_edge|all|hct116|cnn(3|3),ok,,environment_edge|all|hct116|cnn(3|3),0.997002997002997,ok
all,hct116,cnn(3|3),42,environment_edge,sequence,sequence_h3k4me3,h3k4me3,,mean per-sample loss difference (SE_parent - SE_child) = 0 on the same test samples (sign-flip randomization),greater (adding the environment reduces squared error),-9.989118470498374e-05,0.7552447552447552,1000,2024,4239,,environment_edge|all|hct116|cnn(3|3),ok,,environment_edge|all|hct116|cnn(3|3),0.997002997002997,ok
all,hct116,cnn(3|3),42,environment_edge,sequence,sequence_rrbs,rrbs,,mean per-sample loss difference (SE_parent - SE_child) = 0 on the same test samples (sign-flip randomization),greater (adding the environment reduces squared error),9.148204965636499e-05,0.1918081918081918,1000,2024,4239,,environment_edge|all|hct116|cnn(3|3),ok,,environment_edge|all|hct116|cnn(3|3),0.578088578088578,ok
all,hct116,cnn(3|3),42,environment_edge,sequence_ctcf,sequence_ctcf_dnase,dnase,,mean per-sample loss difference (SE_parent - SE_child) = 0 on the same test samples (sign-flip randomization),greater (adding the environment reduces squared error),-0.0003161953304758248,0.997002997002997,1000,2024,4239,,environment_edge|all|hct116|cnn(3|3),ok,,environment_edge|all|hct116|cnn(3|3),0.997002997002997,ok
all,hct116,cnn(3|3),42,environment_edge,sequence_ctcf,sequence_ctcf_h3k4me3,h3k4me3,,mean per-sample loss difference (SE_parent - SE_child) = 0 on the same test samples (sign-flip randomization),greater (adding the environment reduces squared error),-0.00028494359265703506,0.971028971028971,1000,2024,4239,,environment_edge|all|hct116|cnn(3|3),ok,,environment_edge|all|hct116|cnn(3|3),0.997002997002997,ok
all,hct116,cnn(3|3),42,environment_edge,sequence_ctcf,sequence_ctcf_rrbs,rrbs,,mean per-sample loss difference (SE_parent - SE_child) = 0 on the same test samples (sign-flip randomization),greater (adding the environment reduces squared error),-0.00010950935074283797,0.8451548451548452,1000,2024,4239,,environment_edge|all|hct116|cnn(3|3),ok,,environment_edge|all|hct116|cnn(3|3),0.997002997002997,ok
all,hct116,cnn(3|3),42,environment_edge,sequence_dnase,sequence_ctcf_dnase,ctcf,,mean per-sample loss difference (SE_parent - SE_child) = 0 on the same test samples (sign-flip randomization),greater (adding the environment reduces squared error),-0.0002731428846765,0.97002997002997,1000,2024,4239,,environment_edge|all|hct116|cnn(3|3),ok,,environment_edge|all|hct116|cnn(3|3),0.997002997002997,ok
all,hct116,cnn(3|3),42,environment_edge,sequence_dnase,sequence_dnase_h3k4me3,h3k4me3,,mean per-sample loss difference (SE_parent - SE_child) = 0 on the same test samples (sign-flip randomization),greater (adding the environment reduces squared error),-0.00022951177896328274,0.957042957042957,1000,2024,4239,,environment_edge|all|hct116|cnn(3|3),ok,,environment_edge|all|hct116|cnn(3|3),0.997002997002997,ok
all,hct116,cnn(3|3),42,environment_edge,sequence_dnase,sequence_dnase_rrbs,rrbs,,mean per-sample loss difference (SE_parent - SE_child) = 0 on the same test samples (sign-flip randomization),greater (adding the environment reduces squared error),-7.947891569716233e-05,0.7812187812187812,1000,2024,4239,,environment_edge|all|hct116|cnn(3|3),ok,,environment_edge|all|hct116|cnn(3|3),0.997002997002997,ok
