model_scope,split_type,cell_line,model,factor,effect,F_statistic,p_value,df_num,df_den,effect_size,ci_low,ci_high,n_obs,family_key,status,reason
blocked_factorial,ALL,ALL,ALL,ctcf,-0.0024663942737907837,0.07733663803873399,0.9891895493793831,4.0,1301.0,5.972168467589161e-05,-0.018315079990352492,0.012306742533138708,1324,environment_anova|global,ok,
blocked_factorial,ALL,ALL,ALL,dnase,-0.0012435852799140873,0.014234291256402038,0.9996017911068739,4.0,1301.0,1.0992149071360896e-05,-0.015653212199820608,0.013577543324423787,1324,environment_anova|global,ok,
blocked_factorial,ALL,ALL,ALL,h3k4me3,-0.00423645898975799,0.12035194446006225,0.9752589445297369,4.0,1301.0,9.293940180816167e-05,-0.019083231626507748,0.011305119017053118,1324,environment_anova|global,ok,
blocked_factorial,ALL,ALL,ALL,rrbs,-0.0040811773126102225,0.08631692203867002,0.9866917153029929,4.0,1301.0,6.665653086193242e-05,-0.018836484989999146,0.010994427900980283,1324,environment_anova|global,ok,
blocked_factorial,ALL,ALL,ALL,ctcf*dnase,,0.0013759256208172206,0.9704161680962023,1.0,1301.0,2.656328169540108e-07,,,1324,environment_anova|global,ok,
blocked_factorial,ALL,ALL,ALL,ctcf*h3k4me3,,0.29997553005496597,0.5839917097223591,1.0,1301.0,5.79125381926138e-05,,,1324,environment_anova|global,ok,
blocked_factorial,ALL,ALL,ALL,ctcf*rrbs,,0.007360624370019129,0.9316433125815504,1.0,1301.0,1.4210240411013148e-06,,,1324,environment_anova|global,ok,
blocked_factorial,ALL,ALL,ALL,dnase*h3k4me3,,0.0049104883374216585,0.9441448322846937,1.0,1301.0,9.480068035323026e-07,,,1324,environment_anova|global,ok,
blocked_factorial,ALL,ALL,ALL,dnase*rrbs,,0.05063066811233788,0.8220048121276532,1.0,1301.0,9.774632284960205e-06,,,1324,environment_anova|global,ok,
blocked_factorial,ALL,ALL,ALL,h3k4me3*rrbs,,0.17331533265515436,0.6772506868842635,1.0,1301.0,3.345983194001871e-05,,,1324,environment_anova|global,ok,
per_group_additive_main,all,hct116,cnn(3|3),(none),,,,,,,,,16,environment_anova_group|all|hct116|cnn(3|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hct116,cnn(5|3),(none),,,,,,,,,16,environment_anova_group|all|hct116|cnn(5|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hct116,cnn(7|3),(none),,,,,,,,,16,environment_anova_group|all|hct116|cnn(7|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hct116,linear,(none),,,,,,,,,8,environment_anova_group|all|hct116|linear,unavailable,insufficient_data: n=8 < 32
per_group_additive_main,all,hct116,mlp,(none),,,,,,,,,16,environment_anova_group|all|hct116|mlp,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hct116,transformer,(none),,,,,,,,,16,environment_anova_group|all|hct116|transformer,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hct116,xgboost,(none),,,,,,,,,16,environment_anova_group|all|hct116|xgboost,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hek293t,cnn(3|3),(none),,,,,,,,,16,environment_anova_group|all|hek293t|cnn(3|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hek293t,cnn(5|3),(none),,,,,,,,,16,environment_anova_group|all|hek293t|cnn(5|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hek293t,cnn(7|3),(none),,,,,,,,,16,environment_anova_group|all|hek293t|cnn(7|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hek293t,linear,(none),,,,,,,,,16,environment_anova_group|all|hek293t|linear,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hek293t,mlp,(none),,,,,,,,,16,environment_anova_group|all|hek293t|mlp,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hek293t,transformer,(none),,,,,,,,,16,environment_anova_group|all|hek293t|transformer,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hek293t,xgboost,(none),,,,,,,,,16,environment_anova_group|all|hek293t|xgboost,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hela,cnn(3|3),(none),,,,,,,,,16,environment_anova_group|all|hela|cnn(3|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hela,cnn(5|3),(none),,,,,,,,,16,environment_anova_group|all|hela|cnn(5|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hela,cnn(7|3),(none),,,,,,,,,16,environment_anova_group|all|hela|cnn(7|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hela,linear,(none),,,,,,,,,16,environment_anova_group|all|hela|linear,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hela,mlp,(none),,,,,,,,,16,environment_anova_group|all|hela|mlp,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hela,transformer,(none),,,,,,,,,16,environment_anova_group|all|hela|transformer,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hela,xgboost,(none),,,,,,,,,16,environment_anova_group|all|hela|xgboost,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hl60,cnn(3|3),(none),,,,,,,,,16,environment_anova_group|all|hl60|cnn(3|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hl60,cnn(5|3),(none),,,,,,,,,16,environment_anova_group|all|hl60|cnn(5|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hl60,cnn(7|3),(none),,,,,,,,,16,environment_anova_group|all|hl60|cnn(7|3),unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hl60,linear,(none),,,,,,,,,16,environment_anova_group|all|hl60|linear,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hl60,mlp,(none),,,,,,,,,16,environment_anova_group|all|hl60|mlp,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hl60,transformer,(none),,,,,,,,,16,environment_anova_group|all|hl60|transformer,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,all,hl60,xgboost,(none),,,,,,,,,16,environment_anova_group|all|hl60|xgboost,unavailable,insufficient_data: n=16 < 32
per_group_additive_main,mixed,none,cnn(3|3),ctcf,0.0013111330146710733,0.4994825451638305,0.4825095228768547,1.0,59.0,0.007881434156594997,,,64,environment_anova_group|mixed|none|cnn(3|3),ok,
