split_type,model,factor,factor_type,n_cell_lines,consensus_direction,context_label,majority_ratio,minority_ratio,heterogeneity,ci_overlap_relaxed,context_reason,effect_hct116,effect_hek293t,effect_hela,effect_hl60,ci_low_hct116,ci_low_hek293t,ci_low_hela,ci_low_hl60,ci_high_hct116,ci_high_hek293t,ci_high_hela,ci_high_hl60,effect_none,ci_low_none,ci_high_none
all,cnn(3|3),ctcf,environment,4,+,Context-conflicting,0.5,0.5,2.4571630340577153,False,minority direction ratio 0.50 >= 0.25,-0.001918,0.020772,-0.010381,0.038274,-0.006912000000000001,0.007451339285714285,-0.003579428571428571,-0.023311046428571423,-0.003793541666666673,0.027022857142857144,0.0037295678571428563,0.021332296428571422,,,
all,cnn(3|3),dnase,environment,4,-,Context-dependent,1.0,0.0,3.4619170377314274,False,magnitude heterogeneity max/median=3.46,-0.001257,-0.000918,-0.00301,-0.007386,-0.004166666666666667,-0.009729964285714286,-0.00191405,-0.01572915,0.00044350000000000005,0.027635285714285713,0.001173721428571427,0.006526,,,
all,cnn(3|3),h3k4me3,environment,4,+,Context-conflicting,0.5,0.5,3.7070485885068356,False,minority direction ratio 0.50 >= 0.25,-0.002186,0.014711,-0.001372,0.031319,-0.008732833333333334,-0.005789285714285714,-0.002727285714285714,0.00556362857142857,-0.0021011666666666665,0.01403233214285714,0.0015510214285714284,0.027673060714285696,,,
all,cnn(3|3),rrbs,environment,4,+,Context-dependent,0.75,0.25,1.8441290322580641,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,0.003582,-0.023543,0.002174,0.025011,-0.0023294250000000004,-0.02963890357142857,-0.004295285714285715,-0.007331857142857142,0.0017409374999999996,0.008757142857142857,0.0003914107142857137,0.012893285714285713,,,
all,cnn(5|3),ctcf,environment,4,+,Context-conflicting,0.5,0.5,1.8801724137931035,False,minority direction ratio 0.50 >= 0.25,-0.006549,-0.012011,0.004633,0.017448,-0.006912000000000001,0.007451339285714285,-0.003579428571428571,-0.023311046428571423,-0.003793541666666673,0.027022857142857144,0.0037295678571428563,0.021332296428571422,,,
all,cnn(5|3),dnase,environment,4,+,Context-dependent,0.75,0.25,1.948526729623475,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,0.002556,-0.024038,0.003444,0.021229,-0.004166666666666667,-0.009729964285714286,-0.00191405,-0.01572915,0.00044350000000000005,0.027635285714285713,0.001173721428571427,0.006526,,,
all,cnn(5|3),h3k4me3,environment,4,-,Context-conflicting,0.75,0.25,2.285539683752196,False,minority direction ratio 0.25 >= 0.25,-0.003707,-0.00902,-0.004071,0.01496,-0.008732833333333334,-0.005789285714285714,-0.002727285714285714,0.00556362857142857,-0.0021011666666666665,0.01403233214285714,0.0015510214285714284,0.027673060714285696,,,
all,cnn(5|3),rrbs,environment,4,-,Context-dependent,0.75,0.25,13.20064524134508,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,0.001969,-0.053192,-0.001097,-0.00609,-0.0023294250000000004,-0.02963890357142857,-0.004295285714285715,-0.007331857142857142,0.0017409374999999996,0.008757142857142857,0.0003914107142857137,0.012893285714285713,,,
all,cnn(7|3),ctcf,environment,4,+,Context-conflicting,0.75,0.25,2.4230714319706848,False,minority direction ratio 0.25 >= 0.25,-0.007183,0.025458,0.00209,0.01383,-0.006912000000000001,0.007451339285714285,-0.003579428571428571,-0.023311046428571423,-0.003793541666666673,0.027022857142857144,0.0037295678571428563,0.021332296428571422,,,
all,cnn(7|3),dnase,environment,4,-,Context-dependent,0.75,0.25,5.369529837251356,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,-0.004968,0.059387,-0.001235,-0.017152,-0.004166666666666667,-0.009729964285714286,-0.00191405,-0.01572915,0.00044350000000000005,0.027635285714285713,0.001173721428571427,0.006526,,,
all,cnn(7|3),h3k4me3,environment,4,-,Context-conflicting,0.75,0.25,1.706228586488623,False,minority direction ratio 0.25 >= 0.25,-0.006661,-0.009711,-0.004722,0.00409,-0.008732833333333334,-0.005789285714285714,-0.002727285714285714,0.00556362857142857,-0.0021011666666666665,0.01403233214285714,0.0015510214285714284,0.027673060714285696,,,
all,cnn(7|3),rrbs,environment,4,+,Context-dependent,0.75,0.25,1.7740839602038336,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,6.9e-05,-0.014622,0.001918,0.014566,-0.0023294250000000004,-0.02963890357142857,-0.004295285714285715,-0.007331857142857142,0.0017409374999999996,0.008757142857142857,0.0003914107142857137,0.012893285714285713,,,
all,linear,ctcf,environment,4,+,Context-dependent,1.0,0.0,8.731433629167693e+21,False,magnitude heterogeneity max/median=8731433629167692808192.00,9.830721123079905e+19,0.013564,0.004272,0.008954,-0.006912000000000001,0.007451339285714285,-0.003579428571428571,-0.023311046428571423,-0.003793541666666673,0.027022857142857144,0.0037295678571428563,0.021332296428571422,,,
all,linear,dnase,environment,4,-,Context-dependent,0.75,0.25,6.909549344841274e+22,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,-1.1196924713315284e+20,0.000638,-0.000876,-0.002365,-0.004166666666666667,-0.009729964285714286,-0.00191405,-0.01572915,0.00044350000000000005,0.027635285714285713,0.001173721428571427,0.006526,,,
all,linear,h3k4me3,environment,4,+,Context-dependent,0.75,0.25,1.2028570670358663e+22,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,7.102269552313273e+19,-0.008887,0.001826,0.002922,-0.008732833333333334,-0.005789285714285714,-0.002727285714285714,0.00556362857142857,-0.0021011666666666665,0.01403233214285714,0.0015510214285714284,0.027673060714285696,,,
all,linear,rrbs,environment,4,-,Context-dependent,1.0,0.0,7.425117550378811e+20,False,magnitude heterogeneity max/median=742511755037881139200.00,-6.883826480956196e+18,-0.002338,-0.007785,-0.010757,-0.0023294250000000004,-0.02963890357142857,-0.004295285714285715,-0.007331857142857142,0.0017409374999999996,0.008757142857142857,0.0003914107142857137,0.012893285714285713,,,
all,mlp,ctcf,environment,4,+,Context-conflicting,0.5,0.5,4.979888144005334,False,minority direction ratio 0.50 >= 0.25,-0.00417,0.022829,0.000562,-0.067226,-0.006912000000000001,0.007451339285714285,-0.003579428571428571,-0.023311046428571423,-0.003793541666666673,0.027022857142857144,0.0037295678571428563,0.021332296428571422,,,
all,mlp,dnase,environment,4,-,Context-dependent,0.75,0.25,1.835519646093822,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,-0.005657,0.026894,-0.002797,-0.029874,-0.004166666666666667,-0.009729964285714286,-0.00191405,-0.01572915,0.00044350000000000005,0.027635285714285713,0.001173721428571427,0.006526,,,
all,mlp,h3k4me3,environment,4,-,Context-conflicting,0.75,0.25,4.712168592794018,False,minority direction ratio 0.25 >= 0.25,-0.005817,-0.001538,-0.001308,0.017329,-0.008732833333333334,-0.005789285714285714,-0.002727285714285714,0.00556362857142857,-0.0021011666666666665,0.01403233214285714,0.0015510214285714284,0.027673060714285696,,,
all,mlp,rrbs,environment,4,+,Uncertain,0.5,0.5,1.9940595956692537,True,no majority direction (ratio 0.50 < 0.75),-0.000439,0.006568,-0.003869,0.010406,-0.0023294250000000004,-0.02963890357142857,-0.004295285714285715,-0.007331857142857142,0.0017409374999999996,0.008757142857142857,0.0003914107142857137,0.012893285714285713,,,
all,transformer,ctcf,environment,4,+,Context-conflicting,0.75,0.25,2.582860307351516,False,minority direction ratio 0.25 >= 0.25,-0.007266,0.027984,0.004672,0.014403,-0.006912000000000001,0.007451339285714285,-0.003579428571428571,-0.023311046428571423,-0.003793541666666673,0.027022857142857144,0.0037295678571428563,0.021332296428571422,,,
all,transformer,dnase,environment,4,+,Uncertain,0.5,0.5,4.697019325253849,True,no majority direction (ratio 0.50 < 0.75),-0.002493,-0.01434,0.00038,0.003613,-0.004166666666666667,-0.009729964285714286,-0.00191405,-0.01572915,0.00044350000000000005,0.027635285714285713,0.001173721428571427,0.006526,,,
all,transformer,h3k4me3,environment,4,+,Context-conflicting,0.75,0.25,2.229526350229023,False,minority direction ratio 0.25 >= 0.25,-0.013281,0.026453,0.003381,0.044294,-0.008732833333333334,-0.005789285714285714,-0.002727285714285714,0.00556362857142857,-0.0021011666666666665,0.01403233214285714,0.0015510214285714284,0.027673060714285696,,,
all,transformer,rrbs,environment,4,-,Context-dependent,1.0,0.0,3.5837665184442917,False,magnitude heterogeneity max/median=3.58,-0.002601,-0.028611,-0.00081,-0.013366,-0.0023294250000000004,-0.02963890357142857,-0.004295285714285715,-0.007331857142857142,0.0017409374999999996,0.008757142857142857,0.0003914107142857137,0.012893285714285713,,,
all,xgboost,ctcf,environment,4,-,Context-conflicting,0.75,0.25,7.96031268791341,False,minority direction ratio 0.25 >= 0.25,-0.006025,0.033095,-0.001409,-0.00229,-0.006912000000000001,0.007451339285714285,-0.003579428571428571,-0.023311046428571423,-0.003793541666666673,0.027022857142857144,0.0037295678571428563,0.021332296428571422,,,
all,xgboost,dnase,environment,4,+,Context-dependent,0.75,0.25,2.457912457912458,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,0.000212,0.00365,0.000869,-0.002101,-0.004166666666666667,-0.009729964285714286,-0.00191405,-0.01572915,0.00044350000000000005,0.027635285714285713,0.001173721428571427,0.006526,,,
all,xgboost,h3k4me3,environment,4,+,Context-conflicting,0.75,0.25,5.990295544772827,False,minority direction ratio 0.25 >= 0.25,0.00035,0.01358,0.001732,-0.002802,-0.008732833333333334,-0.005789285714285714,-0.002727285714285714,0.00556362857142857,-0.0021011666666666665,0.01403233214285714,0.0015510214285714284,0.027673060714285696,,,
all,xgboost,rrbs,environment,4,-,Context-dependent,0.75,0.25,9.044342317724507,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,-0.004387,0.036408,-0.003664,-0.003155,-0.0023294250000000004,-0.02963890357142857,-0.004295285714285715,-0.007331857142857142,0.0017409374999999996,0.008757142857142857,0.0003914107142857137,0.012893285714285713,,,
mixed,cnn(3|3),ctcf,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.001311,-0.001184166666666667,0.001147
mixed,cnn(3|3),dnase,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,-0.001346,-0.00014641249999999996,0.0019144291666666642
mixed,cnn(3|3),h3k4me3,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,-0.000178,-0.00019705833333333333,0.001786833333333333
mixed,cnn(3|3),rrbs,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,-0.00339,-0.0023831666666666667,0.00035213333333333085
mixed,cnn(5|3),ctcf,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,7.5e-05,-0.001184166666666667,0.001147
mixed,cnn(5|3),dnase,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.001318,-0.00014641249999999996,0.0019144291666666642
mixed,cnn(5|3),h3k4me3,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.000404,-0.00019705833333333333,0.001786833333333333
mixed,cnn(5|3),rrbs,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,-0.001857,-0.0023831666666666667,0.00035213333333333085
mixed,cnn(7|3),ctcf,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.000677,-0.001184166666666667,0.001147
mixed,cnn(7|3),dnase,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.000727,-0.00014641249999999996,0.0019144291666666642
mixed,cnn(7|3),h3k4me3,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.002613,-0.00019705833333333333,0.001786833333333333
mixed,cnn(7|3),rrbs,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.002012,-0.0023831666666666667,0.00035213333333333085
mixed,linear,ctcf,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,3.0612414210032835e+18,-0.001184166666666667,0.001147
mixed,linear,dnase,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,-3.1406834750701896e+18,-0.00014641249999999996,0.0019144291666666642
mixed,linear,h3k4me3,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,1.0074952503127882e+18,-0.00019705833333333333,0.001786833333333333
mixed,linear,rrbs,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,7.494481861194821e+17,-0.0023831666666666667,0.00035213333333333085
mixed,mlp,ctcf,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.000539,-0.001184166666666667,0.001147
mixed,mlp,dnase,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.002878,-0.00014641249999999996,0.0019144291666666642
mixed,mlp,h3k4me3,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.002074,-0.00019705833333333333,0.001786833333333333
mixed,mlp,rrbs,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,-0.00079,-0.0023831666666666667,0.00035213333333333085
mixed,transformer,ctcf,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,-0.003056,-0.001184166666666667,0.001147
mixed,transformer,dnase,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.001528,-0.00014641249999999996,0.0019144291666666642
mixed,transformer,h3k4me3,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.000851,-0.00019705833333333333,0.001786833333333333
mixed,transformer,rrbs,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,-0.002436,-0.0023831666666666667,0.00035213333333333085
mixed,xgboost,ctcf,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.001522,-0.001184166666666667,0.001147
mixed,xgboost,dnase,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.000317,-0.00014641249999999996,0.0019144291666666642
mixed,xgboost,h3k4me3,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,-0.00104,-0.00019705833333333333,0.001786833333333333
mixed,xgboost,rrbs,environment,1,,Uncertain,,,,False,insufficient finite cell-line effects (<2),,,,,,,,,,,,,0.000174,-0.0023831666666666667,0.00035213333333333085
single,cnn(3|3),ctcf,environment,4,+,Context-conflicting,0.75,0.25,2.1049693520140105,False,minority direction ratio 0.25 >= 0.25,0.005187,0.011439,0.006833,-0.019231,-0.006328296428571429,-0.010136142857142857,-0.0035712857142857143,-0.028578166666666665,0.004092214285714282,0.010959982142857141,0.004213996428571426,-0.0096425,,,
single,cnn(3|3),dnase,environment,4,-,Context-dependent,0.75,0.25,1.7777325876970005,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,-0.008742,-0.005743,-0.002614,0.004092,-0.005129432142857142,-0.0005271928571428573,-0.004019,-0.009877166666666666,0.006740628571428555,0.008361746428571425,0.005918142857142858,0.022762999999999995,,,
single,cnn(3|3),h3k4me3,environment,4,-,Context-conflicting,0.75,0.25,3.453296703296703,False,minority direction ratio 0.25 >= 0.25,-0.011313,-0.003294,0.003258,-0.001441,-0.007065857142857144,-0.03585158571428571,-0.0038729999999999993,0.0004205041666666669,0.006060589285714285,-0.014463171428571432,0.004484285714285714,0.017679666666666666,,,
single,cnn(3|3),rrbs,environment,4,+,Uncertain,0.5,0.5,1.4259229491507261,True,no majority direction (ratio 0.50 < 0.75),0.005814,-0.012849,0.000185,-0.013306,-0.0029671428571428566,-0.009414275,0.0005460214285714284,-0.007445666666666666,0.0022284678571428524,0.002075632142857143,0.009929428571428572,0.008107166666666665,,,
single,cnn(5|3),ctcf,environment,4,+,Context-conflicting,0.5,0.5,3.4481043372763116,False,minority direction ratio 0.50 >= 0.25,0.002254,0.014231,-0.000737,-0.028421,-0.006328296428571429,-0.010136142857142857,-0.0035712857142857143,-0.028578166666666665,0.004092214285714282,0.010959982142857141,0.004213996428571426,-0.0096425,,,
single,cnn(5|3),dnase,environment,4,+,Context-dependent,1.0,0.0,5.519096870141283,False,magnitude heterogeneity max/median=5.52,0.003615,0.007942,0.006851,0.040822,-0.005129432142857142,-0.0005271928571428573,-0.004019,-0.009877166666666666,0.006740628571428555,0.008361746428571425,0.005918142857142858,0.022762999999999995,,,
single,cnn(5|3),h3k4me3,environment,4,-,Context-conflicting,0.75,0.25,2.632397913293758,False,minority direction ratio 0.25 >= 0.25,-0.012714,-0.009311,-0.009522,0.029267,-0.007065857142857144,-0.03585158571428571,-0.0038729999999999993,0.0004205041666666669,0.006060589285714285,-0.014463171428571432,0.004484285714285714,0.017679666666666666,,,
single,cnn(5|3),rrbs,environment,4,+,Uncertain,0.5,0.5,1.754285148122461,True,no majority direction (ratio 0.50 < 0.75),-0.005188,-0.004037,0.017706,0.014998,-0.0029671428571428566,-0.009414275,0.0005460214285714284,-0.007445666666666666,0.0022284678571428524,0.002075632142857143,0.009929428571428572,0.008107166666666665,,,
single,cnn(7|3),ctcf,environment,4,+,Context-conflicting,0.75,0.25,2.3728913011588673,False,minority direction ratio 0.25 >= 0.25,0.009596,0.016176,0.000965,-0.004038,-0.006328296428571429,-0.010136142857142857,-0.0035712857142857143,-0.028578166666666665,0.004092214285714282,0.010959982142857141,0.004213996428571426,-0.0096425,,,
single,cnn(7|3),dnase,environment,4,+,Context-dependent,0.75,0.25,1.6231356140782676,True,minority direction 0.25 but majority 0.75 >= 0.75; CI overlap relaxed,0.016487,0.01455,0.005765,-0.005392,-0.005129432142857142,-0.0005271928571428573,-0.004019,-0.009877166666666666,0.006740628571428555,0.008361746428571425,0.005918142857142858,0.022762999999999995,,,
single,cnn(7|3),h3k4me3,environment,4,+,Context-conflicting,0.75,0.25,3.7225664601239257,False,minority direction ratio 0.25 >= 0.25,0.007346,-0.037248,0.005406,0.012666,-0.007065857142857144,-0.03585158571428571,-0.0038729999999999993,0.0004205041666666669,0.006060589285714285,-0.014463171428571432,0.004484285714285714,0.017679666666666666,,,
