split_type,cell_line,model,factor_a,factor_b,interaction_r2,n_seeds,n_with_b,n_without_b
all,hct116,cnn(3|3),ctcf,dnase,0.003332,1,4.0,4.0
all,hct116,cnn(3|3),ctcf,h3k4me3,0.001827,1,4.0,4.0
all,hct116,cnn(3|3),ctcf,rrbs,0.001786,1,4.0,4.0
all,hct116,cnn(3|3),dnase,h3k4me3,0.00505,1,4.0,4.0
all,hct116,cnn(3|3),dnase,rrbs,0.004148,1,4.0,4.0
all,hct116,cnn(3|3),h3k4me3,rrbs,0.003169,1,4.0,4.0
all,hct116,cnn(5|3),ctcf,dnase,0.007392,1,4.0,4.0
all,hct116,cnn(5|3),ctcf,h3k4me3,0.002707,1,4.0,4.0
all,hct116,cnn(5|3),ctcf,rrbs,0.000965,1,4.0,4.0
all,hct116,cnn(5|3),dnase,h3k4me3,-0.005194,1,4.0,4.0
all,hct116,cnn(5|3),dnase,rrbs,0.006255,1,4.0,4.0
all,hct116,cnn(5|3),h3k4me3,rrbs,-0.007846,1,4.0,4.0
all,hct116,cnn(7|3),ctcf,dnase,0.010785,1,4.0,4.0
all,hct116,cnn(7|3),ctcf,h3k4me3,0.02349,1,4.0,4.0
all,hct116,cnn(7|3),ctcf,rrbs,0.005249,1,4.0,4.0
all,hct116,cnn(7|3),dnase,h3k4me3,0.009243,1,4.0,4.0
all,hct116,cnn(7|3),dnase,rrbs,0.012732,1,4.0,4.0
all,hct116,cnn(7|3),h3k4me3,rrbs,0.007227,1,4.0,4.0
all,hct116,linear,ctcf,dnase,1.9661442246159807e+20,1,4.0,4.0
all,hct116,linear,ctcf,h3k4me3,-1.2817146247661288e+20,1,4.0,4.0
all,hct116,linear,ctcf,rrbs,3.9961457074674614e+19,1,4.0,4.0
all,hct116,linear,dnase,h3k4me3,1.4204539104626544e+20,1,4.0,4.0
all,hct116,linear,dnase,rrbs,-1.376765296191239e+19,1,4.0,4.0
all,hct116,linear,h3k4me3,rrbs,1.7009778189994582e+19,1,4.0,4.0
all,hct116,mlp,ctcf,dnase,-0.003241,1,4.0,4.0
all,hct116,mlp,ctcf,h3k4me3,0.009323,1,4.0,4.0
all,hct116,mlp,ctcf,rrbs,0.00042,1,4.0,4.0
all,hct116,mlp,dnase,h3k4me3,0.004803,1,4.0,4.0
all,hct116,mlp,dnase,rrbs,0.00086,1,4.0,4.0
all,hct116,mlp,h3k4me3,rrbs,-0.006331,1,4.0,4.0
all,hct116,transformer,ctcf,dnase,-0.007728,1,4.0,4.0
all,hct116,transformer,ctcf,h3k4me3,0.004975,1,4.0,4.0
all,hct116,transformer,ctcf,rrbs,0.006411,1,4.0,4.0
all,hct116,transformer,dnase,h3k4me3,0.003291,1,4.0,4.0
all,hct116,transformer,dnase,rrbs,-0.004195,1,4.0,4.0
all,hct116,transformer,h3k4me3,rrbs,0.006612,1,4.0,4.0
all,hct116,xgboost,ctcf,dnase,-0.001508,1,4.0,4.0
all,hct116,xgboost,ctcf,h3k4me3,0.011515,1,4.0,4.0
all,hct116,xgboost,ctcf,rrbs,-0.001025,1,4.0,4.0
all,hct116,xgboost,dnase,h3k4me3,-0.005343,1,4.0,4.0
all,hct116,xgboost,dnase,rrbs,0.002101,1,4.0,4.0
all,hct116,xgboost,h3k4me3,rrbs,0.003649,1,4.0,4.0
all,hek293t,cnn(3|3),ctcf,dnase,0.027387,1,4.0,4.0
all,hek293t,cnn(3|3),ctcf,h3k4me3,0.004358,1,4.0,4.0
all,hek293t,cnn(3|3),ctcf,rrbs,0.054767,1,4.0,4.0
all,hek293t,cnn(3|3),dnase,h3k4me3,0.042466,1,4.0,4.0
all,hek293t,cnn(3|3),dnase,rrbs,-0.034215,1,4.0,4.0
all,hek293t,cnn(3|3),h3k4me3,rrbs,0.03826,1,4.0,4.0
all,hek293t,cnn(5|3),ctcf,dnase,-0.057619,1,4.0,4.0
all,hek293t,cnn(5|3),ctcf,h3k4me3,0.010553,1,4.0,4.0
all,hek293t,cnn(5|3),ctcf,rrbs,-0.057415,1,4.0,4.0
all,hek293t,cnn(5|3),dnase,h3k4me3,-0.038897,1,4.0,4.0
all,hek293t,cnn(5|3),dnase,rrbs,-0.011418,1,4.0,4.0
