split_type,cell_line,factor,estimate,ci_low,ci_high,excludes_zero,n_bootstrap,n_models,estimate_basis,status
all,hct116,ctcf,-0.0055185,-0.006912000000000001,-0.003793541666666673,True,2000,6,cross_model_mean_main_effect_per_cellline,ok
all,hct116,dnase,-0.0019345000000000002,-0.004166666666666667,0.00044350000000000005,False,2000,6,cross_model_mean_main_effect_per_cellline,ok
all,hct116,h3k4me3,-0.005216999999999999,-0.008732833333333334,-0.0021011666666666665,True,2000,6,cross_model_mean_main_effect_per_cellline,ok
all,hct116,rrbs,-0.00030116666666666676,-0.0023294250000000004,0.0017409374999999996,False,2000,6,cross_model_mean_main_effect_per_cellline,ok
all,hek293t,ctcf,0.018813,0.007451339285714285,0.027022857142857144,True,2000,7,cross_model_mean_main_effect_per_cellline,ok
all,hek293t,dnase,0.007324714285714287,-0.009729964285714286,0.027635285714285713,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
all,hek293t,h3k4me3,0.003655428571428571,-0.005789285714285714,0.01403233214285714,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
all,hek293t,rrbs,-0.011332857142857141,-0.02963890357142857,0.008757142857142857,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
all,hela,ctcf,0.0006341428571428572,-0.003579428571428571,0.0037295678571428563,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
all,hela,dnase,-0.00046071428571428576,-0.00191405,0.001173721428571427,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
all,hela,h3k4me3,-0.0006477142857142859,-0.002727285714285714,0.0015510214285714284,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
all,hela,rrbs,-0.0018761428571428573,-0.004295285714285715,0.0003914107142857137,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
all,hl60,ctcf,0.0033418571428571442,-0.023311046428571423,0.021332296428571422,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
all,hl60,dnase,-0.004862285714285715,-0.01572915,0.006526,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
all,hl60,h3k4me3,0.016016,0.00556362857142857,0.027673060714285696,True,2000,7,cross_model_mean_main_effect_per_cellline,ok
all,hl60,rrbs,0.0023735714285714293,-0.007331857142857142,0.012893285714285713,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
mixed,none,ctcf,0.000178,-0.001184166666666667,0.001147,False,2000,6,cross_model_mean_main_effect_per_cellline,ok
mixed,none,dnase,0.0009036666666666667,-0.00014641249999999996,0.0019144291666666642,False,2000,6,cross_model_mean_main_effect_per_cellline,ok
mixed,none,h3k4me3,0.0007873333333333334,-0.00019705833333333333,0.001786833333333333,False,2000,6,cross_model_mean_main_effect_per_cellline,ok
mixed,none,rrbs,-0.0010478333333333333,-0.0023831666666666667,0.00035213333333333085,False,2000,6,cross_model_mean_main_effect_per_cellline,ok
single,hct116,ctcf,-0.0009515714285714286,-0.006328296428571429,0.004092214285714282,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hct116,dnase,0.0005885714285714289,-0.005129432142857142,0.006740628571428555,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hct116,h3k4me3,-0.00034428571428571467,-0.007065857142857144,0.006060589285714285,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hct116,rrbs,-0.0005168571428571428,-0.0029671428571428566,0.0022284678571428524,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hek293t,ctcf,0.0013805714285714276,-0.010136142857142857,0.010959982142857141,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hek293t,dnase,0.004216285714285714,-0.0005271928571428573,0.008361746428571425,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hek293t,h3k4me3,-0.025336,-0.03585158571428571,-0.014463171428571432,True,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hek293t,rrbs,-0.003293142857142857,-0.009414275,0.002075632142857143,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hela,ctcf,0.0005738571428571428,-0.0035712857142857143,0.004213996428571426,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hela,dnase,0.0012092857142857146,-0.004019,0.005918142857142858,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hela,h3k4me3,0.000595714285714286,-0.0038729999999999993,0.004484285714285714,False,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hela,rrbs,0.004618857142857142,0.0005460214285714284,0.009929428571428572,True,2000,7,cross_model_mean_main_effect_per_cellline,ok
single,hl60,ctcf,-0.019110333333333333,-0.028578166666666665,-0.0096425,True,2000,6,cross_model_mean_main_effect_per_cellline,ok
single,hl60,dnase,0.005679833333333333,-0.009877166666666666,0.022762999999999995,False,2000,6,cross_model_mean_main_effect_per_cellline,ok
single,hl60,h3k4me3,0.008108833333333334,0.0004205041666666669,0.017679666666666666,True,2000,6,cross_model_mean_main_effect_per_cellline,ok
single,hl60,rrbs,0.0001424999999999999,-0.007445666666666666,0.008107166666666665,False,2000,6,cross_model_mean_main_effect_per_cellline,ok
