model,cell_line,R2_mean,R2_median,MAE_mean,MAE_median,RMSE_mean,RMSE_median,Pearson_mean,Pearson_median,Spearman_mean,Spearman_median,n_experiments,n_valid
cnn(3|3),hct116,0.043119149801583094,0.043277881234138296,0.13453502634171616,0.13439088814285793,0.1679792369991167,0.1679656389170591,0.21208833919889422,0.2134255436083709,0.21805954500450775,0.2187811363879938,16,16
cnn(3|3),hek293t,-0.2665144416667525,-0.26585551537631336,0.10912541442491235,0.10846166625184606,0.1348088529638929,0.13478469256952444,-0.13281805000933505,-0.13229890121536625,-0.08706553023687655,-0.08841959950922315,16,16
cnn(3|3),hela,-0.02474563321832287,-0.0233496904240998,0.14539711815099482,0.14526752586830344,0.1843237997108022,0.1841991775688086,-0.019746594914280127,-0.018659417860289948,-0.018767066173213175,-0.021717666336738252,16,16
cnn(3|3),hl60,-0.041088620908899726,-0.03656425504468285,0.09119031259337856,0.0908438065286675,0.1157721453710346,0.11553711615009246,0.14172887519354305,0.14717726247310636,0.14054610944137727,0.14804908822537524,16,16
cnn(5|3),hct116,0.07175741453134654,0.07212730950502425,0.13284093261180832,0.132597277995923,0.16544548152506008,0.16541366891276224,0.27471774542309474,0.2731799146101209,0.2819472743077852,0.2834834274775294,16,16
cnn(5|3),hek293t,-0.3835314009674867,-0.3804915353857602,0.11274083372344411,0.11281456068745765,0.1408896312029888,0.140755568252793,-0.1406612345630079,-0.1416270188296163,-0.10832283125365375,-0.10843244715240996,16,16
cnn(5|3),hela,-0.0296676078608165,-0.0275075522729285,0.14498341362980502,0.1450156260609642,0.18476478491501191,0.1845729961430479,0.02100924336036001,0.018236137772647848,0.018194062258845636,0.01414197369225045,16,16
cnn(5|3),hl60,0.00711151658682675,0.015707767707087,0.08824967214862789,0.0876942815300371,0.11305994062730335,0.11258620626542301,0.2348721393130266,0.23506787327403622,0.2451960754060659,0.24967974980400576,16,16
cnn(7|3),hct116,0.0833522089992263,0.0804330492311493,0.13185255413778832,0.13138832022349262,0.1644075129400415,0.1646717969552398,0.2964206420887866,0.29176958316256396,0.302882977350291,0.29963693904961897,16,16
cnn(7|3),hek293t,-0.42749627367197973,-0.4303033011693095,0.11398267194483404,0.11391879795889606,0.1430974429391352,0.1432680275332718,-0.15732881450425265,-0.1585422279716762,-0.1312383709438677,-0.1358403318222033,16,16
cnn(7|3),hela,-0.020907152686881914,-0.0217570477909324,0.14487708003924668,0.1449102133594315,0.1839765095632844,0.18405576785845865,0.039112940342812055,0.03916892080069685,0.035412979474716805,0.035975374308515704,16,16
cnn(7|3),hl60,0.027886756781248963,0.036322792711144,0.08764745046919376,0.087121400523658,0.11186918344897676,0.1114010291479743,0.26231380842713703,0.27549055570177405,0.2658680897905197,0.28475370468289696,16,16
linear,hct116,0.0933137531225192,0.09331240571902971,0.13203005493367254,0.13198609487726876,0.16351429517748967,0.16351454310841523,0.31122355414168434,0.3109819840861064,0.311970332586472,0.31204454827724665,16,8
linear,hek293t,-0.45045845756837277,-0.4506475073404996,0.11397199670454208,0.1139896601445573,0.14427785980671398,0.1442878348993445,-0.17476669870684303,-0.1746232045008937,-0.13566514980281846,-0.1357144165423631,16,16
