split_type,cell_line,model,parent_combination,child_combination,ci_low,ci_high,ci_excludes_zero,n_bootstrap,bootstrap_status
all,hct116,cnn(3|3),sequence,sequence_ctcf,-0.009270156733691692,0.009320395067334175,False,2000,ok
all,hct116,cnn(3|3),sequence,sequence_dnase,-0.00954436045140028,0.006495888344943523,False,2000,ok
all,hct116,cnn(3|3),sequence,sequence_h3k4me3,-0.012476960197091103,0.005363026168197393,False,2000,ok
all,hct116,cnn(3|3),sequence,sequence_rrbs,-0.004183492157608271,0.010246044024825096,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf,sequence_ctcf_dnase,-0.01887775957584381,-0.002546031726524234,True,2000,ok
all,hct116,cnn(3|3),sequence_ctcf,sequence_ctcf_h3k4me3,-0.01879633590579033,0.0005468040471896529,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf,sequence_ctcf_rrbs,-0.010801705531775951,0.0035063803661614656,False,2000,ok
all,hct116,cnn(3|3),sequence_dnase,sequence_ctcf_dnase,-0.017784683033823967,-0.0005627989885397255,True,2000,ok
all,hct116,cnn(3|3),sequence_dnase,sequence_dnase_h3k4me3,-0.016942912712693214,0.0015428498154506087,False,2000,ok
all,hct116,cnn(3|3),sequence_dnase,sequence_dnase_rrbs,-0.009224203415215015,0.004145316779613495,False,2000,ok
all,hct116,cnn(3|3),sequence_h3k4me3,sequence_ctcf_h3k4me3,-0.015819381922483444,0.0036407471634447575,False,2000,ok
all,hct116,cnn(3|3),sequence_h3k4me3,sequence_dnase_h3k4me3,-0.0144959706813097,0.0029761134646832943,False,2000,ok
all,hct116,cnn(3|3),sequence_h3k4me3,sequence_h3k4me3_rrbs,-0.0074504404328763485,0.009226071648299694,False,2000,ok
all,hct116,cnn(3|3),sequence_rrbs,sequence_ctcf_rrbs,-0.01796029321849346,0.0036095604300498962,False,2000,ok
all,hct116,cnn(3|3),sequence_rrbs,sequence_dnase_rrbs,-0.017084766179323196,0.0029824941884726286,False,2000,ok
all,hct116,cnn(3|3),sequence_rrbs,sequence_h3k4me3_rrbs,-0.016781898215413094,0.00591074675321579,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_dnase,sequence_ctcf_dnase_h3k4me3,-0.0035741806495934725,0.014993852004408836,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_dnase,sequence_ctcf_dnase_rrbs,0.0032512873876839876,0.018985839560627937,True,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3,sequence_ctcf_dnase_h3k4me3,-0.0054681794717907906,0.01508520357310772,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3,sequence_ctcf_h3k4me3_rrbs,-0.002476430032402277,0.013909764587879181,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_rrbs,sequence_ctcf_dnase_rrbs,-0.004438565578311682,0.0127664003521204,False,2000,ok
all,hct116,cnn(3|3),sequence_ctcf_rrbs,sequence_ctcf_h3k4me3_rrbs,-0.009250514209270477,0.008863630704581738,False,2000,ok
all,hct116,cnn(3|3),sequence_dnase_h3k4me3,sequence_ctcf_dnase_h3k4me3,-0.006394474301487207,0.014894719235599041,False,2000,ok
all,hct116,cnn(3|3),sequence_dnase_h3k4me3,sequence_dnase_h3k4me3_rrbs,0.0024667978286743164,0.016546551138162613,True,2000,ok
all,hct116,cnn(3|3),sequence_dnase_rrbs,sequence_ctcf_dnase_rrbs,-0.0037047327496111393,0.01275878120213747,False,2000,ok
all,hct116,cnn(3|3),sequence_dnase_rrbs,sequence_dnase_h3k4me3_rrbs,-0.0057253106497228146,0.014251550659537315,False,2000,ok
all,hct116,cnn(3|3),sequence_h3k4me3_rrbs,sequence_ctcf_h3k4me3_rrbs,-0.009409768506884575,0.0063012270256876945,False,2000,ok
