split_type,cell_line,model,environment,main_r2_delta,main_mae_delta,main_rmse_delta,n_seeds,n_backgrounds_avg
all,hct116,cnn(3|3),ctcf,-0.001918,-0.000136,0.000168,1,8.0
all,hct116,cnn(3|3),dnase,-0.001257,0.000219,0.00011,1,8.0
all,hct116,cnn(3|3),h3k4me3,-0.002186,0.000115,0.000192,1,8.0
all,hct116,cnn(3|3),rrbs,0.003582,-7.3e-05,-0.000314,1,8.0
all,hct116,cnn(5|3),ctcf,-0.006549,0.000613,0.000583,1,8.0
all,hct116,cnn(5|3),dnase,0.002556,0.000501,-0.000228,1,8.0
all,hct116,cnn(5|3),h3k4me3,-0.003707,0.000314,0.000331,1,8.0
all,hct116,cnn(5|3),rrbs,0.001969,-0.000876,-0.000176,1,8.0
all,hct116,cnn(7|3),ctcf,-0.007183,0.001269,0.000647,1,8.0
all,hct116,cnn(7|3),dnase,-0.004968,9.7e-05,0.000449,1,8.0
all,hct116,cnn(7|3),h3k4me3,-0.006661,-0.000289,0.000601,1,8.0
all,hct116,cnn(7|3),rrbs,6.9e-05,-0.000357,-5e-06,1,8.0
all,hct116,linear,ctcf,9.830721123079905e+19,-52715311.680311,-928578280.372735,1,8.0
all,hct116,linear,dnase,-1.1196924713315284e+20,70730578.300808,1406994627.901759,1,8.0
all,hct116,linear,h3k4me3,7.102269552313273e+19,-14682299.505786,-466725840.59107,1,8.0
all,hct116,linear,rrbs,-6.883826480956196e+18,3012496.729209,-121737507.27233,1,8.0
all,hct116,mlp,ctcf,-0.00417,0.000411,0.000374,1,8.0
all,hct116,mlp,dnase,-0.005657,0.00219,0.000507,1,8.0
all,hct116,mlp,h3k4me3,-0.005817,0.00102,0.000522,1,8.0
all,hct116,mlp,rrbs,-0.000439,-0.001186,3.9e-05,1,8.0
all,hct116,transformer,ctcf,-0.007266,9.8e-05,0.000652,1,8.0
all,hct116,transformer,dnase,-0.002493,0.000343,0.000223,1,8.0
all,hct116,transformer,h3k4me3,-0.013281,0.001216,0.001191,1,8.0
all,hct116,transformer,rrbs,-0.002601,0.000219,0.000235,1,8.0
all,hct116,xgboost,ctcf,-0.006025,0.000454,0.000544,1,8.0
all,hct116,xgboost,dnase,0.000212,6e-06,-1.9e-05,1,8.0
all,hct116,xgboost,h3k4me3,0.00035,-9.6e-05,-3e-05,1,8.0
all,hct116,xgboost,rrbs,-0.004387,0.000365,0.000395,1,8.0
all,hek293t,cnn(3|3),ctcf,0.020772,-0.001663,-0.0011,1,8.0
all,hek293t,cnn(3|3),dnase,-0.000918,0.000206,3.9e-05,1,8.0
all,hek293t,cnn(3|3),h3k4me3,0.014711,-0.000842,-0.000789,1,8.0
all,hek293t,cnn(3|3),rrbs,-0.023543,0.001224,0.001246,1,8.0
all,hek293t,cnn(5|3),ctcf,-0.012011,-9.5e-05,0.000593,1,8.0
all,hek293t,cnn(5|3),dnase,-0.024038,0.001196,0.001201,1,8.0
all,hek293t,cnn(5|3),h3k4me3,-0.00902,-0.000668,0.00047,1,8.0
all,hek293t,cnn(5|3),rrbs,-0.053192,0.002719,0.002698,1,8.0
all,hek293t,cnn(7|3),ctcf,0.025458,-0.0008,-0.001273,1,8.0
all,hek293t,cnn(7|3),dnase,0.059387,-0.002865,-0.003004,1,8.0
all,hek293t,cnn(7|3),h3k4me3,-0.009711,-0.000104,0.000522,1,8.0
all,hek293t,cnn(7|3),rrbs,-0.014622,0.001217,0.000729,1,8.0
all,hek293t,linear,ctcf,0.013564,-0.000631,-0.000675,1,8.0
all,hek293t,linear,dnase,0.000638,1.4e-05,-3.2e-05,1,8.0
all,hek293t,linear,h3k4me3,-0.008887,0.00014,0.000442,1,8.0
all,hek293t,linear,rrbs,-0.002338,0.000261,0.000116,1,8.0
all,hek293t,mlp,ctcf,0.022829,-0.001429,-0.001181,1,8.0
all,hek293t,mlp,dnase,0.026894,-0.000566,-0.001374,1,8.0
all,hek293t,mlp,h3k4me3,-0.001538,0.000346,7.6e-05,1,8.0
all,hek293t,mlp,rrbs,0.006568,0.000555,-0.000324,1,8.0
all,hek293t,transformer,ctcf,0.027984,-0.001742,-0.001403,1,8.0
all,hek293t,transformer,dnase,-0.01434,0.000701,0.000711,1,8.0
all,hek293t,transformer,h3k4me3,0.026453,-0.000677,-0.001308,1,8.0
all,hek293t,transformer,rrbs,-0.028611,0.001848,0.001399,1,8.0
all,hek293t,xgboost,ctcf,0.033095,-0.000992,-0.001665,1,8.0
all,hek293t,xgboost,dnase,0.00365,1.2e-05,-0.000183,1,8.0
all,hek293t,xgboost,h3k4me3,0.01358,-0.000461,-0.000697,1,8.0
all,hek293t,xgboost,rrbs,0.036408,-0.001101,-0.001834,1,8.0
all,hela,cnn(3|3),ctcf,-0.010381,0.000585,0.000933,1,8.0
all,hela,cnn(3|3),dnase,-0.00301,0.000341,0.00027,1,8.0
all,hela,cnn(3|3),h3k4me3,-0.001372,-0.00035,0.000123,1,8.0
all,hela,cnn(3|3),rrbs,0.002174,0.000103,-0.000195,1,8.0
all,hela,cnn(5|3),ctcf,0.004633,0.00136,-0.000418,1,8.0
all,hela,cnn(5|3),dnase,0.003444,-0.000217,-0.000306,1,8.0
all,hela,cnn(5|3),h3k4me3,-0.004071,-0.000945,0.000364,1,8.0
all,hela,cnn(5|3),rrbs,-0.001097,-0.000334,9.8e-05,1,8.0
all,hela,cnn(7|3),ctcf,0.00209,0.000372,-0.00019,1,8.0
all,hela,cnn(7|3),dnase,-0.001235,-9.1e-05,0.000114,1,8.0
all,hela,cnn(7|3),h3k4me3,-0.004722,-0.000968,0.000425,1,8.0
all,hela,cnn(7|3),rrbs,0.001918,0.001206,-0.000174,1,8.0
all,hela,linear,ctcf,0.004272,0.000602,-0.00039,1,8.0
all,hela,linear,dnase,-0.000876,6.7e-05,8e-05,1,8.0
all,hela,linear,h3k4me3,0.001826,0.000131,-0.000167,1,8.0
all,hela,linear,rrbs,-0.007785,0.000549,0.000711,1,8.0
all,hela,mlp,ctcf,0.000562,0.001467,-5e-05,1,8.0
all,hela,mlp,dnase,-0.002797,-0.000188,0.000254,1,8.0
all,hela,mlp,h3k4me3,-0.001308,-0.001237,0.000119,1,8.0
all,hela,mlp,rrbs,-0.003869,-0.000174,0.000351,1,8.0
all,hela,transformer,ctcf,0.004672,0.001029,-0.000424,1,8.0
all,hela,transformer,dnase,0.00038,-9.9e-05,-3.5e-05,1,8.0
all,hela,transformer,h3k4me3,0.003381,0.000681,-0.000307,1,8.0
all,hela,transformer,rrbs,-0.00081,0.000137,7.3e-05,1,8.0
all,hela,xgboost,ctcf,-0.001409,0.000789,0.000128,1,8.0
all,hela,xgboost,dnase,0.000869,-8.7e-05,-7.9e-05,1,8.0
all,hela,xgboost,h3k4me3,0.001732,2.1e-05,-0.000157,1,8.0
all,hela,xgboost,rrbs,-0.003664,0.00024,0.000333,1,8.0
all,hl60,cnn(3|3),ctcf,0.038274,-0.002412,-0.002113,1,8.0
all,hl60,cnn(3|3),dnase,-0.007386,0.000531,0.000401,1,8.0
all,hl60,cnn(3|3),h3k4me3,0.031319,-0.001616,-0.001724,1,8.0
all,hl60,cnn(3|3),rrbs,0.025011,-0.001325,-0.001371,1,8.0
all,hl60,cnn(5|3),ctcf,0.017448,-0.001265,-0.000985,1,8.0
all,hl60,cnn(5|3),dnase,0.021229,-9.3e-05,-0.001208,1,8.0
all,hl60,cnn(5|3),h3k4me3,0.01496,-0.000473,-0.000844,1,8.0
all,hl60,cnn(5|3),rrbs,-0.00609,6.7e-05,0.000336,1,8.0
all,hl60,cnn(7|3),ctcf,0.01383,-0.001703,-0.00079,1,8.0
all,hl60,cnn(7|3),dnase,-0.017152,0.000558,0.000983,1,8.0
all,hl60,cnn(7|3),h3k4me3,0.00409,0.000143,-0.000236,1,8.0
all,hl60,cnn(7|3),rrbs,0.014566,-0.000691,-0.000843,1,8.0
all,hl60,linear,ctcf,0.008954,-0.001117,-0.000515,1,8.0
all,hl60,linear,dnase,-0.002365,0.000117,0.000136,1,8.0
all,hl60,linear,h3k4me3,0.002922,-0.00019,-0.000168,1,8.0
all,hl60,linear,rrbs,-0.010757,0.000705,0.000619,1,8.0
all,hl60,mlp,ctcf,-0.067226,0.002185,0.003806,1,8.0
all,hl60,mlp,dnase,-0.029874,0.001344,0.001662,1,8.0
all,hl60,mlp,h3k4me3,0.017329,-0.000876,-0.000961,1,8.0
all,hl60,mlp,rrbs,0.010406,-0.000281,-0.000563,1,8.0
all,hl60,transformer,ctcf,0.014403,-0.000759,-0.000792,1,8.0
all,hl60,transformer,dnase,0.003613,-0.000219,-0.000184,1,8.0
all,hl60,transformer,h3k4me3,0.044294,-0.002022,-0.002457,1,8.0
all,hl60,transformer,rrbs,-0.013366,0.000588,0.000746,1,8.0
all,hl60,xgboost,ctcf,-0.00229,-0.000586,0.000128,1,8.0
all,hl60,xgboost,dnase,-0.002101,0.000146,0.000117,1,8.0
all,hl60,xgboost,h3k4me3,-0.002802,8.5e-05,0.000157,1,8.0
all,hl60,xgboost,rrbs,-0.003155,9.4e-05,0.000178,1,8.0
mixed,none,cnn(3|3),ctcf,0.001311,8.4e-05,-0.000112,4,8.0
mixed,none,cnn(3|3),dnase,-0.001346,-0.000163,0.000115,4,8.0
mixed,none,cnn(3|3),h3k4me3,-0.000178,-0.000461,1.6e-05,4,8.0
mixed,none,cnn(3|3),rrbs,-0.00339,-8.3e-05,0.000286,4,8.0
mixed,none,cnn(5|3),ctcf,7.5e-05,0.000698,-2e-06,4,8.0
mixed,none,cnn(5|3),dnase,0.001318,0.000125,-0.000108,4,8.0
mixed,none,cnn(5|3),h3k4me3,0.000404,0.000483,-3.2e-05,4,8.0
mixed,none,cnn(5|3),rrbs,-0.001857,0.000317,0.000167,4,8.0
mixed,none,cnn(7|3),ctcf,0.000677,-9.4e-05,-6.5e-05,4,8.0
mixed,none,cnn(7|3),dnase,0.000727,9.7e-05,-6.7e-05,4,8.0
mixed,none,cnn(7|3),h3k4me3,0.002613,-0.000181,-0.000231,4,8.0
mixed,none,cnn(7|3),rrbs,0.002012,-0.000465,-0.000178,4,8.0
mixed,none,linear,ctcf,3.0612414210032835e+18,-1835925.402447,-92272376.052447,4,8.0
