cell_line,channel,n_unique,variance,frac_major,status
hct116,A,2,0.181687,0.7614,informative
hct116,C,2,0.188779,0.7474,informative
hct116,G,2,0.221507,0.6688,informative
hct116,T,2,0.146055,0.8224,informative
hct116,CTCF,2,0.115769,0.8664,informative
hct116,Dnase,2,0.046457,0.9512,informative
hct116,H3K4me3,2,0.13441,0.84,informative
hct116,RRBS,2,0.009186,0.9907,near-constant
hek293t,A,2,0.175922,0.7722,informative
hek293t,C,2,0.175445,0.773,informative
hek293t,G,2,0.220671,0.6713,informative
hek293t,T,2,0.169615,0.7835,informative
hek293t,CTCF,2,0.221369,0.6692,informative
hek293t,Dnase,1,0.0,1.0,constant
hek293t,H3K4me3,2,0.162004,0.7966,informative
hek293t,RRBS,2,0.005836,0.9941,near-constant
hela,A,2,0.181311,0.7621,informative
hela,C,2,0.188423,0.7481,informative
hela,G,2,0.222257,0.6666,informative
hela,T,2,0.145539,0.8232,informative
hela,CTCF,2,0.009993,0.9899,near-constant
hela,Dnase,1,0.0,1.0,constant
hela,H3K4me3,2,0.027018,0.9722,informative
hela,RRBS,2,0.00973,0.9902,near-constant
hl60,A,2,0.169777,0.7832,informative
hl60,C,2,0.184158,0.7566,informative
hl60,G,2,0.22317,0.6638,informative
hl60,T,2,0.162166,0.7964,informative
hl60,CTCF,2,0.236659,0.6155,informative
hl60,Dnase,2,0.025573,0.9737,informative
hl60,H3K4me3,2,0.151034,0.8146,informative
hl60,RRBS,2,0.011386,0.9885,informative
