run_name,model,split_type,cell_line,cell_lines,environment,random_seed,sequence_kernel,input_shape_train,input_shape_valid,input_shape_test,R2
single_hct116_linear_sequence,linear,single,hct116,['hct116'],sequence,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.090741899561539
single_hek293t_linear_sequence,linear,single,hek293t,['hek293t'],sequence,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0261015121651116
single_hela_linear_sequence,linear,single,hela,['hela'],sequence,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1035213065198945
single_hl60_linear_sequence,linear,single,hl60,['hl60'],sequence,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.111203191050894
single_hct116_xgboost_sequence,xgboost,single,hct116,['hct116'],sequence,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.1198882144689987
single_hek293t_xgboost_sequence,xgboost,single,hek293t,['hek293t'],sequence,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0532619576252786
single_hela_xgboost_sequence,xgboost,single,hela,['hela'],sequence,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1169439157385205
single_hl60_xgboost_sequence,xgboost,single,hl60,['hl60'],sequence,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1308269969207478
single_hct116_mlp_sequence,mlp,single,hct116,['hct116'],sequence,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0936789632522199
single_hek293t_mlp_sequence,mlp,single,hek293t,['hek293t'],sequence,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0325878340275225
single_hela_mlp_sequence,mlp,single,hela,['hela'],sequence,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1034884522478648
single_hl60_mlp_sequence,mlp,single,hl60,['hl60'],sequence,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1075945306962123
single_hct116_cnn_sequence_kernel_3,cnn(3|3),single,hct116,['hct116'],sequence,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",-0.0056821632419343
single_hek293t_cnn_sequence_kernel_3,cnn(3|3),single,hek293t,['hek293t'],sequence,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0347834116047183
single_hela_cnn_sequence_kernel_3,cnn(3|3),single,hela,['hela'],sequence,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0629940852378942
single_hl60_cnn_sequence_kernel_3,cnn(3|3),single,hl60,['hl60'],sequence,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0571621628466464
single_hct116_cnn_sequence_kernel_5,cnn(5|3),single,hct116,['hct116'],sequence,42,5,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0445070644291446
single_hek293t_cnn_sequence_kernel_5,cnn(5|3),single,hek293t,['hek293t'],sequence,42,5,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0133205859349219
single_hela_cnn_sequence_kernel_5,cnn(5|3),single,hela,['hela'],sequence,42,5,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1007255856627609
single_hl60_cnn_sequence_kernel_5,cnn(5|3),single,hl60,['hl60'],sequence,42,5,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0895550801126111
