split_type,cell_line,model,parent_combination,child_combination,added_environment,parent_r2,child_r2,delta_r2,parent_rmse,child_rmse,delta_rmse,parent_mae,child_mae,delta_mae,delta_pearson,delta_spearman,n_paired,status,warning,ci_low,ci_high,ci_excludes_zero,n_bootstrap,bootstrap_status,abs_delta_r2,rel_delta_r2
all,hct116,cnn(3|3),sequence,sequence_ctcf,ctcf,0.0865487224308253,0.0993553147910129,0.0128065923601875,0.1641233008443476,0.1629687349766577,-0.0011545658676898,0.1314801125417534,0.131168686220791,-0.0003114263209623,0.0144396993051432,0.0117621085934779,1,ok,CI_AVAILABLE,0.0028438717126846,0.0222992412745952,True,2000,ok,0.0128065923601875,0.1479697446767428
all,hct116,cnn(3|3),sequence,sequence_dnase,dnase,0.0865487224308253,0.084024691974295,-0.0025240304565302,0.1641233008443476,0.1643498955470038,0.0002265947026562,0.1314801125417534,0.1325877690039307,0.0011076564621773,0.0078025990190224,0.0088711463093041,1,ok,CI_AVAILABLE,-0.0096794385462999,0.0038682699669152,False,2000,ok,0.0025240304565302,-0.02916311628455925
all,hct116,cnn(3|3),sequence,sequence_h3k4me3,h3k4me3,0.0865487224308253,0.0828954037563811,-0.0036533186744441,0.1641233008443476,0.1644511762415263,0.0003278753971787,0.1314801125417534,0.1319747730460018,0.0004946605042484,0.0014277310584552,0.003302714440356,1,ok,CI_AVAILABLE,-0.010810911655426,0.0037829026114195,False,2000,ok,0.0036533186744441,-0.04221112191880177
all,hct116,cnn(3|3),sequence,sequence_rrbs,rrbs,0.0865487224308253,0.0871261424233498,0.0005774199925245,0.1641233008443476,0.1640714190096804,-5.188183466720009e-05,0.1314801125417534,0.131544569607831,6.44570660776056e-05,0.0183981661771036,0.0184339985297942,1,ok,CI_AVAILABLE,-0.0048830015584826,0.0060557513497769,False,2000,ok,0.0005774199925245,0.006671617746709169
all,hct116,cnn(3|3),sequence_ctcf,sequence_ctcf_dnase,dnase,0.0993553147910129,0.0892356398973307,-0.0101196748936821,0.1629687349766577,0.1638817386820656,0.0009130037054078,0.131168686220791,0.1309901894678223,-0.0001784967529687,-0.0183607823148213,-0.0135575080726665,1,ok,CI_AVAILABLE,-0.0164456460624933,-0.0035663768649101,True,2000,ok,0.0101196748936821,-0.10185338262948633
all,hct116,cnn(3|3),sequence_ctcf,sequence_ctcf_h3k4me3,h3k4me3,0.0993553147910129,0.0865798286951786,-0.0127754860958342,0.1629687349766577,0.1641205063295378,0.0011517713528801,0.131168686220791,0.1309596180852214,-0.0002090681355695,-0.0115009368278145,-0.0082275240032451,1,ok,CI_AVAILABLE,-0.019907945767045,-0.0055883303284645,True,2000,ok,0.0127754860958342,-0.12858382183888764
all,hct116,cnn(3|3),sequence_ctcf,sequence_ctcf_rrbs,rrbs,0.0993553147910129,0.1001150986005469,0.000759783809534,0.1629687349766577,0.1628999802650613,-6.875471159639712e-05,0.131168686220791,0.1313221401961515,0.0001534539753604,-0.0031585475275974,-0.0033469112837934,1,ok,CI_AVAILABLE,-0.0049251629970967,0.0063653467223048,False,2000,ok,0.000759783809534,0.00764713806334521
all,hct116,cnn(3|3),sequence_dnase,sequence_ctcf_dnase,ctcf,0.084024691974295,0.0892356398973307,0.0052109479230356,0.1643498955470038,0.1638817386820656,-0.0004681568649382,0.1325877690039307,0.1309901894678223,-0.0015975795361084,-0.0117236820287005,-0.0106665457884927,1,ok,CI_AVAILABLE,-0.0033655599690973,0.0132755041122436,False,2000,ok,0.0052109479230356,0.062016864335899535
all,hct116,cnn(3|3),sequence_dnase,sequence_dnase_h3k4me3,h3k4me3,0.084024691974295,0.095673119461391,0.0116484274870959,0.1643498955470038,0.1633015358196418,-0.001048359727362,0.1325877690039307,0.1304785999578747,-0.002109169046056,0.0014538615819554,0.0018711372961078,1,ok,CI_AVAILABLE,0.0042033060453832,0.0191614795476198,True,2000,ok,0.0116484274870959,0.13863100492721125
all,hct116,cnn(3|3),sequence_dnase,sequence_dnase_rrbs,rrbs,0.084024691974295,0.0896863518796554,0.0056616599053603,0.1643498955470038,0.1638411834039661,-0.0005087121430376,0.1325877690039307,0.1322380976206678,-0.0003496713832629,-0.0047956185552558,-0.0058818005941759,1,ok,CI_AVAILABLE,0.0010021298658102,0.0099757490679621,True,2000,ok,0.0056616599053603,0.06738090640180301
