Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
RRBS_pos_16,16,RRBS,0.15823426842689514,3.7579410076141357,2.3227086067199707
H3K4me3_pos_16,16,H3K4me3,0.15823426842689514,3.7579410076141357,2.3227086067199707
Dnase_pos_16,16,Dnase,0.15823426842689514,3.7579410076141357,2.3227086067199707
CTCF_pos_16,16,CTCF,0.15823426842689514,3.7579410076141357,2.3227086067199707
T_pos_16,16,T,0.15823426842689514,3.7579410076141357,2.3227086067199707
G_pos_16,16,G,0.15823426842689514,3.7579410076141357,2.3227086067199707
C_pos_16,16,C,0.15823426842689514,3.7579410076141357,2.3227086067199707
A_pos_16,16,A,0.15823426842689514,3.7579410076141357,2.3227086067199707
RRBS_pos_17,17,RRBS,0.11700296401977539,3.7579410076141357,1.4616526365280151
H3K4me3_pos_17,17,H3K4me3,0.11700296401977539,3.7579410076141357,1.4616526365280151
Dnase_pos_17,17,Dnase,0.11700296401977539,3.7579410076141357,1.4616526365280151
CTCF_pos_17,17,CTCF,0.11700296401977539,3.7579410076141357,1.4616526365280151
T_pos_17,17,T,0.11700296401977539,3.7579410076141357,1.4616526365280151
G_pos_17,17,G,0.11700296401977539,3.7579410076141357,1.4616526365280151
C_pos_17,17,C,0.11700296401977539,3.7579410076141357,1.4616526365280151
A_pos_17,17,A,0.11700296401977539,3.7579410076141357,1.4616526365280151
A_pos_15,15,A,0.11550064384937286,3.7579410076141357,1.4495317935943604
C_pos_15,15,C,0.11550064384937286,3.7579410076141357,1.4495317935943604
G_pos_15,15,G,0.11550064384937286,3.7579410076141357,1.4495317935943604
T_pos_15,15,T,0.11550064384937286,3.7579410076141357,1.4495317935943604
CTCF_pos_15,15,CTCF,0.11550064384937286,3.7579410076141357,1.4495317935943604
Dnase_pos_15,15,Dnase,0.11550064384937286,3.7579410076141357,1.4495317935943604
H3K4me3_pos_15,15,H3K4me3,0.11550064384937286,3.7579410076141357,1.4495317935943604
RRBS_pos_15,15,RRBS,0.11550064384937286,3.7579410076141357,1.4495317935943604
A_pos_14,14,A,0.06383755058050156,3.7579410076141357,1.1537120342254639
C_pos_14,14,C,0.06383755058050156,3.7579410076141357,1.1537120342254639
G_pos_14,14,G,0.06383755058050156,3.7579410076141357,1.1537120342254639
T_pos_14,14,T,0.06383755058050156,3.7579410076141357,1.1537120342254639
CTCF_pos_14,14,CTCF,0.06383755058050156,3.7579410076141357,1.1537120342254639
Dnase_pos_14,14,Dnase,0.06383755058050156,3.7579410076141357,1.1537120342254639
H3K4me3_pos_14,14,H3K4me3,0.06383755058050156,3.7579410076141357,1.1537120342254639
RRBS_pos_14,14,RRBS,0.06383755058050156,3.7579410076141357,1.1537120342254639
A_pos_13,13,A,0.05193028599023819,3.7579410076141357,1.117098331451416
C_pos_13,13,C,0.05193028599023819,3.7579410076141357,1.117098331451416
G_pos_13,13,G,0.05193028599023819,3.7579410076141357,1.117098331451416
T_pos_13,13,T,0.05193028599023819,3.7579410076141357,1.117098331451416
CTCF_pos_13,13,CTCF,0.05193028599023819,3.7579410076141357,1.117098331451416
Dnase_pos_13,13,Dnase,0.05193028599023819,3.7579410076141357,1.117098331451416
H3K4me3_pos_13,13,H3K4me3,0.05193028599023819,3.7579410076141357,1.117098331451416
RRBS_pos_13,13,RRBS,0.05193028599023819,3.7579410076141357,1.117098331451416
RRBS_pos_10,10,RRBS,0.042448628693819046,3.7579410076141357,1.1271679401397705
H3K4me3_pos_10,10,H3K4me3,0.042448628693819046,3.7579410076141357,1.1271679401397705
Dnase_pos_10,10,Dnase,0.042448628693819046,3.7579410076141357,1.1271679401397705
CTCF_pos_10,10,CTCF,0.042448628693819046,3.7579410076141357,1.1271679401397705
T_pos_10,10,T,0.042448628693819046,3.7579410076141357,1.1271679401397705
G_pos_10,10,G,0.042448628693819046,3.7579410076141357,1.1271679401397705
C_pos_10,10,C,0.042448628693819046,3.7579410076141357,1.1271679401397705
A_pos_10,10,A,0.042448628693819046,3.7579410076141357,1.1271679401397705
RRBS_pos_11,11,RRBS,0.03813627362251282,3.7579410076141357,1.1573312282562256
H3K4me3_pos_11,11,H3K4me3,0.03813627362251282,3.7579410076141357,1.1573312282562256
Dnase_pos_11,11,Dnase,0.03813627362251282,3.7579410076141357,1.1573312282562256
CTCF_pos_11,11,CTCF,0.03813627362251282,3.7579410076141357,1.1573312282562256
T_pos_11,11,T,0.03813627362251282,3.7579410076141357,1.1573312282562256
G_pos_11,11,G,0.03813627362251282,3.7579410076141357,1.1573312282562256
C_pos_11,11,C,0.03813627362251282,3.7579410076141357,1.1573312282562256
A_pos_11,11,A,0.03813627362251282,3.7579410076141357,1.1573312282562256
RRBS_pos_9,9,RRBS,0.036707229912281036,3.7579410076141357,0.9783886075019836
H3K4me3_pos_9,9,H3K4me3,0.036707229912281036,3.7579410076141357,0.9783886075019836
Dnase_pos_9,9,Dnase,0.036707229912281036,3.7579410076141357,0.9783886075019836
CTCF_pos_9,9,CTCF,0.036707229912281036,3.7579410076141357,0.9783886075019836
T_pos_9,9,T,0.036707229912281036,3.7579410076141357,0.9783886075019836
G_pos_9,9,G,0.036707229912281036,3.7579410076141357,0.9783886075019836
C_pos_9,9,C,0.036707229912281036,3.7579410076141357,0.9783886075019836
A_pos_9,9,A,0.036707229912281036,3.7579410076141357,0.9783886075019836
RRBS_pos_0,0,RRBS,0.036133989691734314,3.7579410076141357,1.0413192510604858
H3K4me3_pos_0,0,H3K4me3,0.036133989691734314,3.7579410076141357,1.0413192510604858
Dnase_pos_0,0,Dnase,0.036133989691734314,3.7579410076141357,1.0413192510604858
CTCF_pos_0,0,CTCF,0.036133989691734314,3.7579410076141357,1.0413192510604858
T_pos_0,0,T,0.036133989691734314,3.7579410076141357,1.0413192510604858
G_pos_0,0,G,0.036133989691734314,3.7579410076141357,1.0413192510604858
C_pos_0,0,C,0.036133989691734314,3.7579410076141357,1.0413192510604858
A_pos_0,0,A,0.036133989691734314,3.7579410076141357,1.0413192510604858
A_pos_18,18,A,0.03436214476823807,3.7579410076141357,0.9726686477661133
C_pos_18,18,C,0.03436214476823807,3.7579410076141357,0.9726686477661133
G_pos_18,18,G,0.03436214476823807,3.7579410076141357,0.9726686477661133
T_pos_18,18,T,0.03436214476823807,3.7579410076141357,0.9726686477661133
CTCF_pos_18,18,CTCF,0.03436214476823807,3.7579410076141357,0.9726686477661133
Dnase_pos_18,18,Dnase,0.03436214476823807,3.7579410076141357,0.9726686477661133
H3K4me3_pos_18,18,H3K4me3,0.03436214476823807,3.7579410076141357,0.9726686477661133
RRBS_pos_18,18,RRBS,0.03436214476823807,3.7579410076141357,0.9726686477661133
A_pos_12,12,A,0.03333507105708122,3.7579410076141357,1.2668052911758423
C_pos_12,12,C,0.03333507105708122,3.7579410076141357,1.2668052911758423
G_pos_12,12,G,0.03333507105708122,3.7579410076141357,1.2668052911758423
T_pos_12,12,T,0.03333507105708122,3.7579410076141357,1.2668052911758423
CTCF_pos_12,12,CTCF,0.03333507105708122,3.7579410076141357,1.2668052911758423
Dnase_pos_12,12,Dnase,0.03333507105708122,3.7579410076141357,1.2668052911758423
H3K4me3_pos_12,12,H3K4me3,0.03333507105708122,3.7579410076141357,1.2668052911758423
RRBS_pos_12,12,RRBS,0.03333507105708122,3.7579410076141357,1.2668052911758423
RRBS_pos_20,20,RRBS,0.03223961219191551,3.7579410076141357,0.9641656875610352
H3K4me3_pos_20,20,H3K4me3,0.03223961219191551,3.7579410076141357,0.9641656875610352
Dnase_pos_20,20,Dnase,0.03223961219191551,3.7579410076141357,0.9641656875610352
