position,cnn33,cnn53,cnn73
1,0.04596866101356249,0.04694166188962034,0.038080600008366584
2,0.03633201742731441,0.03700440184573031,0.03369926944613962
3,0.050227686836019095,0.042595076014553805,0.03880149393408305
4,0.0447292173114481,0.04646983065639381,0.037556275223452354
5,0.04287812712320572,0.04377205647384602,0.037997963549098665
6,0.04607816775666902,0.047114122041545234,0.044187536937238966
7,0.04463223950874544,0.0433157422850887,0.040730248442533874
8,0.043496639570963135,0.042350355331849616,0.03970124737345355
9,0.04520089645155589,0.04370145127767214,0.041652769619282416
10,0.04311783752646907,0.0425311914152568,0.04040411673378947
11,0.04250594047836178,0.04270844032970215,0.041180716217522347
12,0.04493631514693808,0.04311173588891092,0.04063419777407683
13,0.04408784592125439,0.0419825686109806,0.03934601989078141
14,0.043463322254178975,0.041913745528773735,0.04015617009516045
15,0.04382856998943212,0.04235916135555145,0.03978129198968314
16,0.04265776702640645,0.04149247136534608,0.041325627748966406
17,0.041295571221560655,0.039624792528759216,0.045100786597062535
18,0.04824226678167015,0.05434462047436462,0.06161295573586697
19,0.04804613806600826,0.050808410862331614,0.052384927561777865
20,0.05586913301122641,0.05420130092309465,0.06381395624621032
21,0.06812978716622307,0.04417968538911831,0.04621577990898868
22,0.014913065333301199,0.027762218459643058,0.05046943965472428
23,0.019362787077485986,0.039714959051866894,0.04516660931174007
