cell_line,environment,split_type,model,C18_abs,pos18_total_abs,C18_share_within_pos18
hct116,all,all,cnn,0.0207315832376478,0.0723653337918217,0.2864850081019147
hct116,all,all,linear,10999538781.684494,32998616344.8889,0.3333333333349958
hct116,all,all,mlp,0.019904621,0.0333618969,0.5966273758252637
hct116,all,all,transformer,0.0880102813243866,0.3520411252975464,0.25
hct116,all,all,xgboost,0.0266617387533187,0.0408341211732475,0.6529279432805855
hct116,all,single,cnn,0.0207315832376478,0.0723653337918217,0.2864850081019147
hct116,all,single,linear,10999538781.684494,32998616344.8889,0.3333333333349958
hct116,all,single,mlp,0.019904621,0.0333618969,0.5966273758252637
hct116,all,single,transformer,0.0880102813243866,0.3520411252975464,0.25
hct116,all,single,xgboost,0.0266617387533187,0.0408341211732475,0.6529279432805855
hct116,sequence,all,cnn,0.0327067263424395,0.1109634835738684,0.2947521588997936
hct116,sequence,all,linear,64303478488.31557,192910435464.78513,0.33333333333361254
hct116,sequence,all,mlp,0.016922358,0.029156181,0.5804037915665292
hct116,sequence,all,transformer,0.0660483464598655,0.264193385839462,0.25
hct116,sequence,all,xgboost,0.0276315417140722,0.0402171325404195,0.6870589713550965
hct116,sequence,single,cnn,0.0327067263424395,0.1109634835738684,0.2947521588997936
hct116,sequence,single,linear,64303478488.31557,192910435464.78513,0.33333333333361254
hct116,sequence,single,mlp,0.016922358,0.029156181,0.5804037915665292
hct116,sequence,single,transformer,0.0660483464598655,0.264193385839462,0.25
hct116,sequence,single,xgboost,0.0276315417140722,0.0402171325404195,0.6870589713550965
hct116,sequence_ctcf,all,cnn,0.0459758276119827,0.1425345186144109,0.3225592513232393
hct116,sequence_ctcf,all,linear,14371161733.21724,43113485199.4905,0.33333333333457976
hct116,sequence_ctcf,all,mlp,0.017434796,0.027849520500000002,0.6260357696284213
hct116,sequence_ctcf,all,transformer,0.0577206499874591,0.2308825999498364,0.25
hct116,sequence_ctcf,all,xgboost,0.0265532806515693,0.0402432284317909,0.6598198426494291
hct116,sequence_ctcf,single,cnn,0.0459758276119827,0.1425345186144109,0.3225592513232393
hct116,sequence_ctcf,single,linear,14371161733.21724,43113485199.4905,0.33333333333457976
hct116,sequence_ctcf,single,mlp,0.017434796,0.027849520500000002,0.6260357696284213
hct116,sequence_ctcf,single,transformer,0.0577206499874591,0.2308825999498364,0.25
hct116,sequence_ctcf,single,xgboost,0.0265532806515693,0.0402432284317909,0.6598198426494291
hct116,sequence_ctcf_dnase,all,cnn,0.034204733557998995,0.10413397452793971,0.3284685302088578
hct116,sequence_ctcf_dnase,all,linear,0.0716821144659406,0.09232556079473819,0.7764059470519447
hct116,sequence_ctcf_dnase,all,mlp,0.01975169,0.035866866000000004,0.5506946160280632
hct116,sequence_ctcf_dnase,all,transformer,0.0876753702759742,0.3507014811038968,0.25
hct116,sequence_ctcf_dnase,all,xgboost,0.0260542202740907,0.0402531817089765,0.6472586555382921
hct116,sequence_ctcf_dnase,single,cnn,0.034204733557998995,0.10413397452793971,0.3284685302088578
hct116,sequence_ctcf_dnase,single,linear,0.0716821144659406,0.09232556079473819,0.7764059470519447
hct116,sequence_ctcf_dnase,single,mlp,0.01975169,0.035866866000000004,0.5506946160280632
hct116,sequence_ctcf_dnase,single,transformer,0.0876753702759742,0.3507014811038968,0.25
hct116,sequence_ctcf_dnase,single,xgboost,0.0260542202740907,0.0402531817089765,0.6472586555382921
hct116,sequence_ctcf_dnase_h3k4me3,all,cnn,0.0369262006133794,0.12871145317330923,0.28689133486558094
hct116,sequence_ctcf_dnase_h3k4me3,all,linear,40964943728.8646,122894831186.43243,0.333333333333771
hct116,sequence_ctcf_dnase_h3k4me3,all,mlp,0.021611646,0.037051191000000004,0.5832915330576013
hct116,sequence_ctcf_dnase_h3k4me3,all,transformer,0.0896350890398025,0.35854035615921,0.25
hct116,sequence_ctcf_dnase_h3k4me3,all,xgboost,0.026083642616868,0.040392043069004804,0.6457619034597315
hct116,sequence_ctcf_dnase_h3k4me3,single,cnn,0.0369262006133794,0.12871145317330923,0.28689133486558094
hct116,sequence_ctcf_dnase_h3k4me3,single,linear,40964943728.8646,122894831186.43243,0.333333333333771
hct116,sequence_ctcf_dnase_h3k4me3,single,mlp,0.021611646,0.037051191000000004,0.5832915330576013
hct116,sequence_ctcf_dnase_h3k4me3,single,transformer,0.0896350890398025,0.35854035615921,0.25
hct116,sequence_ctcf_dnase_h3k4me3,single,xgboost,0.026083642616868,0.040392043069004804,0.6457619034597315
hct116,sequence_ctcf_dnase_rrbs,all,cnn,0.021345721092075,0.0914798895828422,0.23333785370111074
hct116,sequence_ctcf_dnase_rrbs,all,linear,33397778243.75545,100193334731.10124,0.33333333333388265
hct116,sequence_ctcf_dnase_rrbs,all,mlp,0.019918049,0.0351156577,0.5672127564906752
hct116,sequence_ctcf_dnase_rrbs,all,transformer,0.0855130702257156,0.3420522809028624,0.25
hct116,sequence_ctcf_dnase_rrbs,all,xgboost,0.0268382132053375,0.040200015297159504,0.6676169898680079
hct116,sequence_ctcf_dnase_rrbs,single,cnn,0.021345721092075,0.0914798895828422,0.23333785370111074
