cell_line,environment,region,model,mean_norm_attribution
hct116,all,PAM (21-23),cnn,0.04538645248660389
hct116,all,PAM (21-23),linear,0.0644233543791547
hct116,all,PAM (21-23),mlp,0.03262613224968302
hct116,all,PAM (21-23),transformer,0.024378704511849415
hct116,all,PAM (21-23),xgboost,0.013784384067279352
hct116,all,PAM-proximal seed (17-20),cnn,0.047575779677638895
hct116,all,PAM-proximal seed (17-20),linear,0.20168248421523793
hct116,all,PAM-proximal seed (17-20),mlp,0.06691239171951194
hct116,all,PAM-proximal seed (17-20),transformer,0.06313602998659283
hct116,all,PAM-proximal seed (17-20),xgboost,0.07977199145648615
hct116,all,seed core (9-16),cnn,0.0414658296567378
hct116,all,seed core (9-16),linear,1.1803844749550618e-13
hct116,all,seed core (9-16),mlp,0.045026871134399536
hct116,all,seed core (9-16),transformer,0.03376534973057753
hct116,all,seed core (9-16),xgboost,0.04800538018819303
hct116,all,PAM-distal (1-8),cnn,0.04272636082196629
hct116,all,PAM-distal (1-8),linear,7.998962881784108e-14
hct116,all,PAM-distal (1-8),mlp,0.03428213341221336
hct116,all,PAM-distal (1-8),transformer,0.05052462108418253
hct116,all,PAM-distal (1-8),xgboost,0.031939480058334135
hct116,sequence,PAM (21-23),cnn,0.040376255022108974
hct116,sequence,PAM (21-23),linear,0.06092950363217875
hct116,sequence,PAM (21-23),mlp,0.04704805366854351
hct116,sequence,PAM (21-23),transformer,0.046414129388838876
hct116,sequence,PAM (21-23),xgboost,0.01570834404808057
hct116,sequence,PAM-proximal seed (17-20),cnn,0.04958033379448784
hct116,sequence,PAM-proximal seed (17-20),linear,0.20430287227561078
hct116,sequence,PAM-proximal seed (17-20),mlp,0.061467574412797044
hct116,sequence,PAM-proximal seed (17-20),transformer,0.07818828765957934
hct116,sequence,PAM-proximal seed (17-20),xgboost,0.0756155015693038
hct116,sequence,seed core (9-16),cnn,0.042524208862572445
hct116,sequence,seed core (9-16),linear,7.458351446539784e-14
hct116,sequence,seed core (9-16),mlp,0.04199845435774944
hct116,sequence,seed core (9-16),transformer,0.028783468003395624
hct116,sequence,seed core (9-16),xgboost,0.049168277249772324
hct116,sequence,PAM-distal (1-8),cnn,0.04254452860689278
hct116,sequence,PAM-distal (1-8),linear,5.299039233724905e-14
hct116,sequence,PAM-distal (1-8),mlp,0.03462473831014823
hct116,sequence,PAM-distal (1-8),transformer,0.039717089646000125
hct116,sequence,PAM-distal (1-8),xgboost,0.03213334294754557
hek293t,all,PAM (21-23),cnn,0.024303720762549424
hek293t,all,PAM (21-23),linear,0.3333333333187204
hek293t,all,PAM (21-23),mlp,0.042353238689445814
hek293t,all,PAM (21-23),transformer,0.03044708292840668
hek293t,all,PAM (21-23),xgboost,0.027279398931353838
hek293t,all,PAM-proximal seed (17-20),cnn,0.05349549582570261
hek293t,all,PAM-proximal seed (17-20),linear,4.99050305447855e-12
hek293t,all,PAM-proximal seed (17-20),mlp,0.05744447555479798
hek293t,all,PAM-proximal seed (17-20),transformer,0.07835299567571298
hek293t,all,PAM-proximal seed (17-20),xgboost,0.07300445354095703
hek293t,all,seed core (9-16),cnn,0.04787490245778625
hek293t,all,seed core (9-16),linear,1.6495998143516572e-12
hek293t,all,seed core (9-16),mlp,0.04132035795088703
hek293t,all,seed core (9-16),transformer,0.03435273552379799
hek293t,all,seed core (9-16),xgboost,0.04347576477777876
hek293t,all,PAM-distal (1-8),cnn,0.04126345434340642
hek293t,all,PAM-distal (1-8),linear,1.3350007938134604e-12
hek293t,all,PAM-distal (1-8),mlp,0.039074939763171807
hek293t,all,PAM-distal (1-8),transformer,0.040053110540193
hek293t,all,PAM-distal (1-8),xgboost,0.03479223385248503
hek293t,sequence,PAM (21-23),cnn,0.03509560362603834
hek293t,sequence,PAM (21-23),linear,0.3333333333326007
