Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,0.0010439858749885307,0.004209689245158337,0.24799594796438798,0.8041419146148843,1.0
pos1_C,-0.0144680633199084,0.00406977669519469,-3.555001761396709,0.00037947476554367476,0.0030737456009037657
pos1_G,0.025982986803246996,0.004186973487225904,6.205672637411929,5.631333177547049e-10,1.6257543311581912e-08
pos1_CTCF,-33613939018.983177,63617827969.61528,-0.5283729434308515,0.5972505817527112,1.0
pos1_Dnase,5943056386.458798,11247843895.770166,0.5283729434308497,0.5972505817527125,1.0
pos1_H3K4me3,-6165874157.19824,11669549385.253805,-0.5283729434308518,0.5972505817527107,1.0
pos1_RRBS,-767385977.7664802,1452356687.274073,-0.5283729434308498,0.5972505817527125,1.0
pos2_A,0.013157974699260952,0.004476337648980874,2.9394508929094356,0.003294401534624347,0.020526655715736315
pos2_C,0.014232546102632746,0.004409443557626824,3.2277419852705282,0.0012511682796041423,0.00844538588732796
pos2_G,0.012306390419193357,0.004360855299404465,2.8220130167753936,0.004780408646806178,0.028682451880837068
pos2_CTCF,-664387876.5454922,1257422214.3765764,-0.5283729434308525,0.5972505817527103,1.0
pos2_Dnase,-52036720.96437237,98484832.75181592,-0.5283729434308542,0.5972505817527092,1.0
pos2_H3K4me3,376178894.34863085,711957148.876724,0.5283729434308504,0.5972505817527116,1.0
pos2_RRBS,256574899.99157888,485594319.65909815,0.5283729434308503,0.5972505817527121,1.0
pos3_A,-0.009320950065072078,0.004116975411565991,-2.264028597034207,0.02359066970855217,0.11580874220561975
pos3_C,-0.018834923281305115,0.004186383628160305,-4.499091567865239,6.89054623603802e-06,0.00010971810261637607
pos3_G,0.0036419029336414205,0.004196156128009614,0.8679140676705241,0.3854592620834907,1.0
pos3_CTCF,-14462496.585493967,27371758.462092236,-0.5283729434308506,0.5972505817527116,1.0
pos3_Dnase,-28983095.29160711,54853481.148018256,-0.5283729434308512,0.5972505817527116,1.0
pos3_H3K4me3,-10274429.761779517,19445412.354132302,-0.528372943430851,0.5972505817527116,1.0
pos3_RRBS,-11955906.769550536,22627780.090172682,-0.5283729434308505,0.5972505817527116,1.0
pos4_A,0.018934726815763164,0.004332723795475536,4.37016706108426,1.2522712253160151e-05,0.00015665285081984266
pos4_C,0.011077359592942398,0.004224824721296567,2.621969033911267,0.00875371094837396,0.04574519914956715
pos4_G,0.017156072191388306,0.004233811224577855,4.052158039497593,5.1076921120607466e-05,0.0005516307481025606
pos4_CTCF,-146258.9335819552,276810.036169265,-0.5283729434308522,0.5972505817527107,1.0
pos4_Dnase,-1120455.5784730255,2120577.127204212,-0.52837294343085,0.5972505817527121,1.0
pos4_H3K4me3,240038.20049151688,454296.91939351015,0.5283729434308507,0.5972505817527116,1.0
pos4_RRBS,100815.77283553293,190804.19254799862,0.5283729434308513,0.5972505817527116,1.0
pos5_A,0.004282149050525058,0.004318508960826862,0.9915804481056716,0.3214228336511922,1.0
pos5_C,0.012879364676501047,0.004229297856079929,3.0452725522715327,0.0023298905559798744,0.015097690802749586
pos5_G,0.0021998044740242626,0.004229794372212422,0.5200736207121199,0.603022149823123,1.0
pos5_CTCF,-3450.060163392406,6529.592792905634,-0.5283729434308487,0.597250581752713,1.0
pos5_Dnase,18894.41574385776,35759.62012962259,0.52837294343085,0.5972505817527121,1.0
pos5_H3K4me3,3663.6924907766684,6933.913888526206,0.5283729434308537,0.5972505817527094,1.0
pos5_RRBS,5399.224191696692,10218.585676696937,0.5283729434308507,0.5972505817527116,1.0
pos6_A,0.010959718186152125,0.004113214837357748,2.6645139190425664,0.007720591582787151,0.04292182276259626
pos6_C,0.01847643110899618,0.004121960752576778,4.482437417058359,7.449994622099609e-06,0.00010971810261637607
pos6_G,0.025936049896602,0.00421575620413897,6.152170249109366,7.893821152293867e-10,1.826855752388009e-08
pos6_CTCF,22.286111167139453,42.17875166436515,0.5283729434308494,0.597250581752713,1.0
pos6_Dnase,2.066694796548066,3.9114319199021286,0.5283729434308494,0.597250581752713,1.0
pos6_H3K4me3,3.666307733591574,6.938863503845146,0.528372943430852,0.5972505817527107,1.0
pos6_RRBS,0.5473897371519558,1.0359912330060386,0.5283729434308497,0.5972505817527125,1.0
pos7_A,0.00026133701891471896,0.004339275239024013,0.0602259604471411,0.9519767032774522,1.0
pos7_C,0.0037699863197627557,0.004221020061680775,0.8931457952515816,0.3717975580575832,1.0
pos7_G,-0.00010717749503031879,0.0041972206504018,-0.0255353492125935,0.9796283906200627,1.0
pos7_CTCF,-0.012072790014596201,0.022848993622203065,-0.5283729434308522,0.5972505817527107,1.0
pos7_Dnase,-0.00781634223482433,0.01479322953986062,-0.5283729434308484,0.5972505817527134,1.0
pos7_H3K4me3,0.0011099097676363749,0.0021006180983255494,0.5283729434308451,0.5972505817527156,1.0
pos7_RRBS,0.00010179926152732419,0.00019266554579104928,0.5283729434308306,0.5972505817527258,1.0
pos8_A,0.0030053952260510565,0.004292451568509249,0.7001582145037033,0.4838424908991814,1.0
pos8_C,0.0070041858302228996,0.00428801787528416,1.633432050410644,0.10240519473169529,0.4147410386633659
pos8_G,0.009034982403920803,0.0042855491764455834,2.1082437820523108,0.03503121439370327,0.16189311081958335
pos8_CTCF,2.165941734620806e-06,4.099266931724453e-06,0.5283729434300712,0.5972505817532525,1.0
pos8_Dnase,-1.0829708673141151e-06,2.0496334658622266e-06,-0.5283729434318823,0.5972505817519962,1.0
pos8_H3K4me3,-2.7074271682653047e-07,5.124083664655566e-07,-0.5283729434279825,0.5972505817547018,1.0
pos8_RRBS,-9.948275029330856e-18,3.162277660168379e-08,-3.1459207882463896e-10,0.9999999997489972,1.0
pos9_A,0.004418638016396657,0.0040730911192190305,1.084836525150923,0.27801652336283933,0.9791016692343473
pos9_C,-0.005330854524814312,0.004146857617571372,-1.285516652953316,0.198637365003153,0.7313466620570633
pos9_G,-0.004401973144905346,0.004163746888402505,-1.0572143943634964,0.2904356826085859,1.0
pos9_CTCF,2.6439718498649934e-10,3.162277660168379e-08,0.008360973114942133,0.9933291295836293,1.0
pos9_Dnase,4.9574483836033855e-11,3.162277660168379e-08,0.001567682827490683,0.9987491974411691,1.0
pos9_H3K4me3,-4.168615786601899e-18,3.162277660168379e-08,-1.318232057579642e-10,0.9999999998948226,1.0
pos9_RRBS,3.6480090112605476e-18,3.162277660168379e-08,1.1536017400402167e-10,0.9999999999079578,1.0
pos10_A,0.023328857655959122,0.004339755144508848,5.375616107161586,7.779456012713126e-08,1.4003020822883627e-06
pos10_C,0.00818832793193064,0.004233830869889484,1.9340233900614885,0.05313445156879881,0.2326427338958218
pos10_G,0.005567927360883276,0.00422153265766548,1.3189350438336667,0.1872167646005023,0.7053282759367762
pos10_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos10_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos10_H3K4me3,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos10_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos11_A,0.01521556816878251,0.0043015495286835735,3.5372295651420784,0.0004059210131002189,0.003131390672487403
pos11_C,-0.007229684250282453,0.004271945820363332,-1.6923632822823496,0.09060348034631183,0.37635291836160295
pos11_G,0.002590693784506573,0.004258772330654787,0.608319389571185,0.5429875280202427,1.0
pos11_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos11_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos11_H3K4me3,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos11_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos12_A,0.015199417656350623,0.0040969291006185534,3.709953792965521,0.00020826139595819804,0.0019846085967781223
pos12_C,0.001780125532506464,0.004179094535074502,0.4259596229676411,0.6701451405069885,1.0
pos12_G,-0.005046331616898684,0.004281130844897401,-1.1787380016458295,0.23852660270742154,0.8586957697467175
pos12_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos12_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos12_H3K4me3,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos12_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos13_A,0.00158478744218067,0.004393446659890243,0.36071621322933306,0.718318146100756,1.0
pos13_C,0.00929530361436871,0.004237313747739008,2.193678393375661,0.02827823218856018,0.13473745925137498
pos13_G,0.0019130163643198144,0.004223443576505064,0.4529517986133136,0.6505918894895002,1.0
