cell_line,environment,region,model,mean_norm_attribution
hct116,all,PAM-distal (1-8),cnn,0.3394351712998278
hct116,all,seed core (9-16),cnn,0.34425102793263307
hct116,all,PAM-proximal seed (17-20),cnn,0.19393111490564843
hct116,all,PAM (21-23),cnn,0.12238268586189069
hct116,all,PAM-distal (1-8),linear,0.0013443401502317006
hct116,all,seed core (9-16),linear,1.5095322066345742e-11
hct116,all,PAM-proximal seed (17-20),linear,0.8241823398258621
hct116,all,PAM (21-23),linear,0.17447332000881088
hct116,all,PAM-distal (1-8),mlp,0.2923618018754584
hct116,all,seed core (9-16),mlp,0.3401760254990932
hct116,all,PAM-proximal seed (17-20),mlp,0.23274723940858508
hct116,all,PAM (21-23),mlp,0.13471493321686334
hct116,all,PAM-distal (1-8),transformer,0.29014120961007867
hct116,all,seed core (9-16),transformer,0.16113129292997214
hct116,all,PAM-proximal seed (17-20),transformer,0.3840674621077988
hct116,all,PAM (21-23),transformer,0.1646600353521504
hct116,all,PAM-distal (1-8),xgboost,0.27878307290585097
hct116,all,seed core (9-16),xgboost,0.32715408818651814
hct116,all,PAM-proximal seed (17-20),xgboost,0.35351234038633517
hct116,all,PAM (21-23),xgboost,0.04055049852129582
hct116,sequence,PAM-distal (1-8),cnn,0.3341049151124549
hct116,sequence,seed core (9-16),cnn,0.33733204830322117
hct116,sequence,PAM-proximal seed (17-20),cnn,0.1936808495909933
hct116,sequence,PAM (21-23),cnn,0.13488218699333057
hct116,sequence,PAM-distal (1-8),linear,0.48072284210470007
hct116,sequence,seed core (9-16),linear,3.036584858529236e-12
hct116,sequence,PAM-proximal seed (17-20),linear,0.40402086429419415
hct116,sequence,PAM (21-23),linear,0.11525629359806887
hct116,sequence,PAM-distal (1-8),mlp,0.31112881192494285
hct116,sequence,seed core (9-16),mlp,0.3381982154480567
hct116,sequence,PAM-proximal seed (17-20),mlp,0.256361214654565
hct116,sequence,PAM (21-23),mlp,0.09431175797243534
hct116,sequence,PAM-distal (1-8),transformer,0.26536532037785837
hct116,sequence,seed core (9-16),transformer,0.24670075085507645
hct116,sequence,PAM-proximal seed (17-20),transformer,0.33347383658966356
hct116,sequence,PAM (21-23),transformer,0.1544600921774016
hct116,sequence,PAM-distal (1-8),xgboost,0.27132375545760873
hct116,sequence,seed core (9-16),xgboost,0.33553955208047037
hct116,sequence,PAM-proximal seed (17-20),xgboost,0.3505542799979112
hct116,sequence,PAM (21-23),xgboost,0.04258241246400967
hct116,sequence_ctcf,PAM-distal (1-8),cnn,0.35062817286566306
hct116,sequence_ctcf,seed core (9-16),cnn,0.35228501886461533
hct116,sequence_ctcf,PAM-proximal seed (17-20),cnn,0.18794745239562538
hct116,sequence_ctcf,PAM (21-23),cnn,0.10913935587409619
hct116,sequence_ctcf,PAM-distal (1-8),linear,0.0319060199114432
hct116,sequence_ctcf,seed core (9-16),linear,8.50439461588135e-05
hct116,sequence_ctcf,PAM-proximal seed (17-20),linear,0.4009770123441608
hct116,sequence_ctcf,PAM (21-23),linear,0.5670319237982373
hct116,sequence_ctcf,PAM-distal (1-8),mlp,0.30567547738136436
hct116,sequence_ctcf,seed core (9-16),mlp,0.3325076848738413
hct116,sequence_ctcf,PAM-proximal seed (17-20),mlp,0.2209960997788807
hct116,sequence_ctcf,PAM (21-23),mlp,0.1408207379659135
hct116,sequence_ctcf,PAM-distal (1-8),transformer,0.2587589887309888
hct116,sequence_ctcf,seed core (9-16),transformer,0.2934347174862658
hct116,sequence_ctcf,PAM-proximal seed (17-20),transformer,0.3150815760948441
hct116,sequence_ctcf,PAM (21-23),transformer,0.13272471768790123
hct116,sequence_ctcf,PAM-distal (1-8),xgboost,0.2755242632218585
hct116,sequence_ctcf,seed core (9-16),xgboost,0.3304076850743189
hct116,sequence_ctcf,PAM-proximal seed (17-20),xgboost,0.35458952058662496
hct116,sequence_ctcf,PAM (21-23),xgboost,0.03947853111719769
hct116,sequence_ctcf_dnase,PAM-distal (1-8),cnn,0.3427442802935997
hct116,sequence_ctcf_dnase,seed core (9-16),cnn,0.3489518233512838
hct116,sequence_ctcf_dnase,PAM-proximal seed (17-20),cnn,0.18921499025317753
