cell_line,pos18_base,n,mean_efficacy,median_efficacy,std_efficacy
hct116,A,1652,0.21902491151980838,0.17713526530555024,0.1513656640467807
hct116,C,1377,0.30941960242595723,0.2802895375189668,0.190325305500618
hct116,G,1210,0.23965134873571503,0.19897662602766655,0.15969566914243638
hct116,ALL,4239,0.25427649878308134,0.2096072882040778,0.17174289542140428
hek293t,A,584,0.23893976184655993,0.20771203520411685,0.12230479527480041
hek293t,C,618,0.22347565807746075,0.20024815440855595,0.11011361199905598
hek293t,G,554,0.23959710848115504,0.21024933781362198,0.11708960470967082
hek293t,T,577,0.24947714938177895,0.2164138493657716,0.1283617300363989
hek293t,ALL,2333,0.23760561118821608,0.2080873967164433,0.1198234677042839
hela,A,3278,0.22265833677918653,0.17596702817837145,0.16286495659621425
hela,C,2483,0.3150623142604956,0.2738557993730408,0.1995668564100222
hela,G,2340,0.2432210276379662,0.1952246603968652,0.17316351367205346
hela,ALL,8101,0.25692025169038696,0.2065308254959247,0.18209686413149534
hl60,A,495,0.22849419858946377,0.2202541071121675,0.1132732047522739
hl60,C,602,0.25577722891253946,0.2408275240400672,0.11672519421696294
hl60,G,472,0.2264003855021547,0.2144030726294089,0.11348188522246291
hl60,T,507,0.2130968781072317,0.2026304080526064,0.10519866600384052
hl60,ALL,2076,0.23216937344148209,0.21984213219053733,0.11350840831618816
