cell_line,environment,n_positions,peak_linear,peak_xgboost,peak_mlp,peak_cnn,peak_transformer,mean_pairwise_spearman,mean_top3_overlap
hct116,all,23,20,18,18,20,19,0.3366600790513834,0.5666666666666667
hct116,sequence,23,1,18,18,20,21,0.33314867579479224,0.39999999999999997
hct116,sequence_ctcf,23,23,18,18,18,20,0.29535573122529646,0.39999999999999997
hct116,sequence_ctcf_dnase,23,20,18,18,20,19,0.2871541501976284,0.4333333333333333
hct116,sequence_ctcf_dnase_h3k4me3,23,20,18,18,20,21,0.3099802371541502,0.6666666666666667
hct116,sequence_ctcf_dnase_rrbs,23,20,18,18,20,19,0.38063241106719364,0.6
hct116,sequence_ctcf_h3k4me3,23,1,18,18,20,19,0.2767786561264822,0.36666666666666664
hct116,sequence_ctcf_h3k4me3_rrbs,23,1,18,18,18,19,0.32786561264822134,0.36666666666666664
hct116,sequence_ctcf_rrbs,23,23,18,18,20,20,0.2099802371541502,0.36666666666666664
hct116,sequence_dnase,23,19,18,18,18,19,0.37490118577075093,0.5333333333333334
hct116,sequence_dnase_h3k4me3,23,19,18,18,20,21,0.34525691699604744,0.6666666666666667
hct116,sequence_dnase_h3k4me3_rrbs,23,20,18,18,20,21,0.36363636363636365,0.5666666666666667
hct116,sequence_dnase_rrbs,23,3,18,18,20,21,0.3183794466403162,0.33333333333333337
hct116,sequence_h3k4me3,23,18,18,18,18,21,0.47476568097543026,0.5333333333333333
hct116,sequence_h3k4me3_rrbs,23,19,18,18,20,21,0.40938735177865615,0.5666666666666667
hct116,sequence_rrbs,23,1,18,18,18,20,0.349901185770751,0.36666666666666664
hek293t,all,23,3,18,18,18,20,0.3271739130434783,0.3666666666666667
hek293t,sequence,23,1,18,20,20,19,0.15972074144061202,0.4666666666666666
hek293t,sequence_ctcf,23,22,18,20,20,19,0.1158102766798419,0.4333333333333333
hek293t,sequence_ctcf_dnase,23,3,18,14,20,20,0.28922924901185765,0.36666666666666664
hek293t,sequence_ctcf_dnase_h3k4me3,23,3,18,18,20,20,0.22806324110671938,0.33333333333333337
hek293t,sequence_ctcf_dnase_rrbs,23,3,18,20,18,19,0.22025691699604746,0.4666666666666666
hek293t,sequence_ctcf_h3k4me3,23,1,18,18,20,20,0.05731225296442686,0.33333333333333337
hek293t,sequence_ctcf_h3k4me3_rrbs,23,20,18,20,18,20,0.4823122529644269,0.5666666666666667
hek293t,sequence_ctcf_rrbs,23,23,18,20,18,20,0.045454545454545456,0.3666666666666667
hek293t,sequence_dnase,23,3,18,18,20,20,0.31719367588932806,0.3666666666666667
hek293t,sequence_dnase_h3k4me3,23,3,18,18,20,20,0.31739130434782614,0.5
hek293t,sequence_dnase_h3k4me3_rrbs,23,3,18,18,20,20,0.2966403162055336,0.36666666666666664
hek293t,sequence_dnase_rrbs,23,3,18,18,20,20,0.34377470355731227,0.33333333333333337
hek293t,sequence_h3k4me3,23,1,18,20,20,20,0.33503149406020727,0.39999999999999997
hek293t,sequence_h3k4me3_rrbs,23,20,18,20,20,20,0.557905138339921,0.6333333333333334
hek293t,sequence_rrbs,23,1,18,20,20,19,0.06442687747035572,0.4666666666666666
hela,all,23,5,18,18,20,19,0.26511857707509884,0.26666666666666666
hela,sequence,23,1,18,18,21,19,0.32623473220722665,0.26666666666666666
hela,sequence_ctcf,23,1,18,14,18,20,0.24851778656126483,0.36666666666666664
hela,sequence_ctcf_dnase,23,1,18,1,18,19,0.2909090909090909,0.4666666666666667
hela,sequence_ctcf_dnase_h3k4me3,23,2,18,18,20,19,0.24851778656126483,0.2333333333333333
hela,sequence_ctcf_dnase_rrbs,23,1,18,18,18,19,0.2522727272727273,0.3333333333333333
hela,sequence_ctcf_h3k4me3,23,17,18,18,18,1,0.21679841897233204,0.2666666666666667
hela,sequence_ctcf_h3k4me3_rrbs,23,1,18,18,18,1,0.24871541501976285,0.33333333333333337
hela,sequence_ctcf_rrbs,23,23,18,22,20,20,0.026284584980237148,0.23333333333333334
hela,sequence_dnase,23,5,18,18,18,1,0.3116525638959494,0.2333333333333333
hela,sequence_dnase_h3k4me3,23,5,18,18,20,1,0.2908033475967021,0.36666666666666664
hela,sequence_dnase_h3k4me3_rrbs,23,5,18,18,18,1,0.3839920948616601,0.4666666666666666
hela,sequence_dnase_rrbs,23,5,18,18,21,20,0.21966403162055337,0.2333333333333333
hela,sequence_h3k4me3,23,17,18,18,18,1,0.34496448524131756,0.33333333333333337
hela,sequence_h3k4me3_rrbs,23,1,18,18,20,1,0.38270750988142294,0.4333333333333333
hela,sequence_rrbs,23,1,18,18,18,1,0.3194664031620553,0.36666666666666664
hl60,all,23,21,18,18,20,19,0.49486166007905136,0.4333333333333333
hl60,sequence,23,1,18,20,20,19,0.3762375648899815,0.5
hl60,sequence_ctcf,23,1,18,18,20,19,0.3859683794466403,0.4333333333333333
hl60,sequence_ctcf_dnase,23,5,18,20,20,19,0.3791501976284585,0.39999999999999997
hl60,sequence_ctcf_dnase_h3k4me3,23,21,20,18,20,1,0.44713438735177863,0.39999999999999997
hl60,sequence_ctcf_dnase_rrbs,23,5,18,18,20,19,0.40237154150197635,0.39999999999999997
hl60,sequence_ctcf_h3k4me3,23,1,18,18,20,20,0.3852766798418973,0.3666666666666666
hl60,sequence_ctcf_h3k4me3_rrbs,23,23,18,18,20,21,0.17144268774703555,0.36666666666666664
hl60,sequence_ctcf_rrbs,23,23,18,20,20,21,0.1766798418972332,0.33333333333333337
hl60,sequence_dnase,23,5,18,1,20,1,0.41847826086956524,0.4333333333333333
hl60,sequence_dnase_h3k4me3,23,4,18,18,20,19,0.4838932806324111,0.4333333333333333
hl60,sequence_dnase_h3k4me3_rrbs,23,21,18,18,20,19,0.5561264822134387,0.4333333333333333
hl60,sequence_dnase_rrbs,23,5,18,1,20,1,0.3896245059288538,0.39999999999999997
