position,cnn,linear,mlp,transformer,xgboost,mean
1,0.04548183464400483,0.1976895316097282,0.053142816937357874,0.06833867981765022,0.067338342147878,0.08639824103132382
2,0.03696748741207671,0.04270043658028761,0.03556800955747436,0.034603163828061105,0.033216789229873984,0.03661117732155476
3,0.04359008404382078,0.05569097340716229,0.042072034347821786,0.0362170710733235,0.03620189459472144,0.04275441149336996
4,0.04297757058877912,0.04847621444419733,0.035935232828832826,0.03634870808914046,0.03506831097042779,0.03976120738427551
5,0.04277965572682056,0.04150640870498892,0.031326470164400946,0.03339506683635123,0.028299893289141204,0.03546149894434057
6,0.044485903445746953,0.01906722263628298,0.04015568030799532,0.03404121741166313,0.040257043432535194,0.03560141344684471
7,0.043106258094258304,0.013673394267443566,0.030786537716558426,0.03001271921068679,0.02674784370841397,0.028865350599472213
8,0.04311654476586783,0.01849396464637074,0.04271112364133788,0.02408169181353206,0.0289619824506905,0.031473061463559805
9,0.043309133095456954,0.011269360115990217,0.030930685368406263,0.026471146697328033,0.02752299454552282,0.027900663964540856
10,0.042818397861035744,0.01635895980491981,0.042326331632096904,0.029238921839422005,0.03528531165951323,0.03320558455939754
11,0.0429992465433946,0.011862432341036832,0.03845846348005501,0.026820283735496317,0.0391600282939957,0.03186009087879569
12,0.04351925697448725,0.015715464244460308,0.040748926438467135,0.025015225894669743,0.029922955144729275,0.03098436573936274
13,0.04276781021811724,0.01210064426617609,0.030124329049200257,0.026151331792208504,0.026615888467099405,0.0275520007585603
14,0.042738039644193024,0.023380195085281,0.056386703761030256,0.04009050971628183,0.06249956836658205,0.045019003314673636
15,0.04293077521721128,0.015530383744737142,0.04160259332498104,0.04775710381613057,0.04618208397012796,0.0388005880146376
16,0.04251451844248345,0.018357379245160194,0.05401168619421861,0.045958367607834616,0.05787722129936435,0.04374383455781224
17,0.0429989896664624,0.052743948943346525,0.04043186787903789,0.04457083023024689,0.04194177369842986,0.044537482083504706
18,0.05181091743038746,0.04842974849200682,0.0856500706931712,0.07905393692080057,0.13454460348987912,0.07989785540524905
19,0.047732421287853766,0.051259289869175974,0.047977511479303535,0.10446035103298794,0.06724940630787182,0.06373579599543862
20,0.052947114563986285,0.04833056519506396,0.06498253299118516,0.10187255032841873,0.08567862692324112,0.07076227800037906
21,0.048226158515997056,0.022716691259015282,0.041570074090213995,0.07084843833831704,0.0471151547280105,0.04609530338631078
22,0.03630895412334287,0.10448152381087925,0.030845748566460034,0.018996618839840138,0.0016269533885447344,0.038451959745813405
23,0.03387292769421571,0.11016526728628905,0.04225456955039341,0.015656065129608376,0.0006853298934059894,0.040526831910782504
