position,importance
1,0.008878964634909052
2,0.008365281121954149
3,0.009753932697515582
4,0.0098464013582273
5,0.010226659864799651
6,0.010259311093056552
7,0.010196619630909835
8,0.010173781510190886
9,0.010142919965717149
10,0.010177187336054196
11,0.010175241472080805
12,0.010169769611787076
13,0.010278108289446194
14,0.010316467682354433
15,0.01047401916503914
16,0.010757689972015838
17,0.010811628872471763
18,0.014237342344223905
19,0.0124328485046084
20,0.013145687481474566
21,0.011238052293543207
22,0.010216766020962277
23,0.008628433015465531
