factor,cell_line,mean_dR2,n
ctcf,hct116,7.021943659342789e+18,14
ctcf,hek293t,0.010096785714285714,14
ctcf,hela,0.000604,14
ctcf,hl60,803524098712949.2,14
dnase,hct116,-7.997803366653774e+18,14
dnase,hek293t,0.0057705,14
dnase,hela,0.0003742857142857144,14
dnase,hl60,817815322224872.2,14
h3k4me3,hct116,5.073049680223767e+18,14
h3k4me3,hek293t,-0.010840285714285715,14
h3k4me3,hela,-2.599999999999988e-05,14
h3k4me3,hl60,-889626276513381.6,14
rrbs,hct116,-4.917018914968711e+17,14
rrbs,hek293t,-0.007313,14
rrbs,hela,0.001371357142857143,14
rrbs,hl60,834890477472468.0,14
