position,cnn33,cnn53,cnn73
1,0.050985813214831775,0.042589624192903575,0.04287006652427911
2,0.03881097573789158,0.03669333787745813,0.03539814862088034
3,0.045984538712438065,0.04597050369477296,0.03881520972425132
4,0.043296552442458114,0.045505999541563195,0.04013015978231605
5,0.04290992742654087,0.044504062330856416,0.040924977423064314
6,0.043948878420458075,0.045547178526633314,0.04396165339014954
7,0.04357976389642571,0.0437797238346089,0.04195928655174031
8,0.04358060576098399,0.043999631418225375,0.04176939711839403
9,0.04391870014065252,0.04414736882261682,0.0418613303231016
10,0.04321822386715619,0.04382374433936983,0.04141322537658112
11,0.0434370696271936,0.0437332713067372,0.041827398696253064
12,0.04426557688330727,0.04436192787905188,0.041930266161102826
13,0.04327939661797233,0.04327531839200702,0.041748715644372214
14,0.04302050118693176,0.04350811050835051,0.04168550723729691
15,0.043692612791329154,0.04391223589429541,0.04118747696600919
16,0.04177714708355635,0.04361271846337437,0.04215368978051951
17,0.04220408132222365,0.04303117604119191,0.04376171163597175
18,0.04593523590065659,0.05101252322223179,0.058484993168273824
19,0.04640292095885607,0.048331671342371325,0.04846267156233375
20,0.052694543848005405,0.05206006384222713,0.05408673600172618
21,0.054616318619552066,0.04582347941091001,0.044238677517528864
22,0.030312712228074492,0.030124042457821697,0.04849010768413251
23,0.0281279033125043,0.030652286660421118,0.04283859310972165
