训练方式(split_type),细胞系(cell_line),环境配置(environment),模型(model),特征名(feature),显著性等级(significance),核心贡献指标值,信噪比(SNR/t_stat),FDR校正q值
all,hct116,all,cnn33,pos1_C,*,0.0172524955123662,1.2869263887405396,
all,hct116,all,cnn33,pos13_H3K4me3,*,0.0064958287402987,1.2007391452789309,
all,hct116,all,cnn33,pos11_H3K4me3,*,0.0064878077246248,1.2039211988449097,
all,hct116,all,cnn33,pos17_H3K4me3,*,0.0064866165630519,1.2001227140426636,
all,hct116,all,cnn33,pos8_H3K4me3,*,0.0064839832484722,1.2093294858932495,
all,hct116,all,cnn33,pos10_H3K4me3,*,0.0064838845282793,1.2047218084335327,
all,hct116,all,cnn33,pos9_H3K4me3,*,0.0064821033738553,1.2109547853469849,
all,hct116,all,cnn33,pos15_H3K4me3,*,0.0064793764613568,1.2055004835128784,
all,hct116,all,cnn33,pos7_H3K4me3,*,0.006479078438133,1.210726976394653,
all,hct116,all,cnn33,pos6_H3K4me3,*,0.0064675486646592,1.215187430381775,
all,hct116,all,cnn33,pos5_H3K4me3,*,0.0064596785232424,1.217302918434143,
all,hct116,all,cnn33,pos4_H3K4me3,*,0.0063323760405182,1.206158995628357,
all,hct116,all,cnn33,pos20_H3K4me3,*,0.006173244677484,1.20707905292511,
all,hct116,all,cnn33,pos2_H3K4me3,*,0.0058036656118929,1.2654660940170288,
all,hct116,all,cnn33,pos23_H3K4me3,*,0.0040418789722025,1.2203861474990845,
all,hct116,all,cnn33,pos23_Dnase,*,0.0027137459255754,1.2406431436538696,
all,hct116,all,cnn33,pos3_Dnase,*,0.0024846668820828,1.449376106262207,
all,hct116,all,cnn33,pos1_CTCF,*,0.0022168741561472,1.2669086456298828,
all,hct116,all,cnn33,pos1_H3K4me3,*,0.0011464892886579,1.303410291671753,
all,hct116,all,cnn33,pos20_T,.,0.0167296938598155,0.9649115204811096,
all,hct116,all,cnn33,pos23_G,.,0.0162968374788761,1.0247690677642822,
all,hct116,all,cnn33,pos21_A,.,0.0162620358169078,1.0820168256759644,
all,hct116,all,cnn33,pos20_C,.,0.015840234234929,0.9488743543624878,
all,hct116,all,cnn33,pos19_A,.,0.015621812082827,0.9061091542243958,
all,hct116,all,cnn33,pos3_C,.,0.015581858344376,0.9639680981636048,
all,hct116,all,cnn33,pos18_A,.,0.0155680971220135,1.0349791049957275,
all,hct116,all,cnn33,pos2_T,.,0.0146032804623246,1.0759143829345703,
all,hct116,all,cnn33,pos22_C,.,0.0128062907606363,0.8262381553649902,
all,hct116,all,cnn33,pos19_C,.,0.0124218268319964,0.8913421034812927,
all,hct116,all,cnn33,pos1_RRBS,.,0.0122637031599879,1.099321961402893,
all,hct116,all,cnn33,pos19_G,.,0.0122564621269702,0.9008848667144777,
all,hct116,all,cnn33,pos22_G,.,0.0120688779279589,0.9141587615013124,
all,hct116,all,cnn33,pos23_C,.,0.0119063388556241,0.9376368522644044,
all,hct116,all,cnn33,pos19_T,.,0.0117690777406096,0.8839446902275085,
all,hct116,all,cnn33,pos16_A,.,0.011761968024075,0.8381023406982422,
all,hct116,all,cnn33,pos5_T,.,0.0117166750133037,0.952852725982666,
all,hct116,all,cnn33,pos11_T,.,0.0116526531055569,0.9591406583786012,
all,hct116,all,cnn33,pos8_T,.,0.0116448458284139,0.9376604557037354,
all,hct116,all,cnn33,pos6_T,.,0.0115358708426356,0.9517055749893188,
all,hct116,all,cnn33,pos10_T,.,0.0115148685872554,0.9673279523849488,
all,hct116,all,cnn33,pos12_T,.,0.0114762308076024,0.9934651851654052,
all,hct116,all,cnn33,pos20_G,.,0.0114718517288565,0.9663069248199464,
all,hct116,all,cnn33,pos7_T,.,0.0114701241254806,0.9560495018959044,
all,hct116,all,cnn33,pos9_T,.,0.0114209139719605,0.9682068824768066,
all,hct116,all,cnn33,pos1_A,.,0.0113058015704154,0.9496154189109802,
all,hct116,all,cnn33,pos18_G,.,0.0113043142482638,0.8306464552879333,
all,hct116,all,cnn33,pos4_T,.,0.0112634906545281,0.9666743278503418,
all,hct116,all,cnn33,pos13_T,.,0.0112527692690491,0.9593011140823364,
all,hct116,all,cnn33,pos15_T,.,0.0111865689978003,0.9165884852409364,
all,hct116,all,cnn33,pos15_A,.,0.0111840702593326,0.8565835356712341,
all,hct116,all,cnn33,pos16_G,.,0.0111530451104044,0.8314995169639587,
all,hct116,all,cnn33,pos22_A,.,0.0110658351331949,0.9388639330863952,
all,hct116,all,cnn33,pos14_T,.,0.0109543167054653,0.9510894417762756,
all,hct116,all,cnn33,pos18_C,.,0.0108667751774191,0.8328731656074524,
all,hct116,all,cnn33,pos16_C,.,0.010861612856388,0.8101528882980347,
all,hct116,all,cnn33,pos7_G,.,0.0106361918151378,0.8355883955955505,
all,hct116,all,cnn33,pos12_A,.,0.0106274662539362,0.8420425653457642,
all,hct116,all,cnn33,pos6_G,.,0.010624611750245,0.8197492361068726,
all,hct116,all,cnn33,pos3_T,.,0.0105464048683643,0.9541054368019104,
