cell_line,model,environment,MAE/RMSE,Pearson/Spearman,R2,delta_R2,validation_MAE/RMSE,validation_Pearson/Spearman,validation_R2
hct116,linear,sequence,0.1341/0.1680,0.3634/0.3419,0.13202456760201375,0.0,0.1265/0.1583,0.3751/0.3635,0.14040698557845444
hek293t,linear,sequence,0.1000/0.1203,0.1299/0.1056,-0.0033419667602085923,0.0,0.0992/0.1247,0.1654/0.1426,0.012514936025063261
hela,linear,sequence,0.1409/0.1789,0.2892/0.2900,0.08060709048119474,0.0,0.1373/0.1719,0.3323/0.3188,0.11021247534390866
hl60,linear,sequence,0.0789/0.1030,0.3946/0.4177,0.14948393332256238,0.0,0.0883/0.1122,0.4064/0.4240,0.16123866129517195
hct116,xgboost,sequence,0.1328/0.1662,0.3897/0.3740,0.15058273502882014,0.0,0.1272/0.1600,0.3499/0.3455,0.12159184392953559
hek293t,xgboost,sequence,0.0971/0.1178,0.1991/0.1223,0.037249722625136705,0.0,0.0988/0.1234,0.1928/0.1587,0.033983673283042415
hela,xgboost,sequence,0.1389/0.1770,0.3176/0.3258,0.09926083772044414,0.0,0.1352/0.1698,0.3633/0.3590,0.13183881647421847
hl60,xgboost,sequence,0.0777/0.1027,0.3953/0.4300,0.15466375242564723,0.0,0.0906/0.1125,0.4043/0.3874,0.15729914143427015
hct116,mlp,sequence,0.1327/0.1690,0.3557/0.3425,0.12151353597663439,0.0,0.1260/0.1595,0.3608/0.3529,0.1270235194691166
hek293t,mlp,sequence,0.1005/0.1203,0.0930/0.0681,-0.0036809091350349377,0.0,0.1004/0.1250,0.1159/0.0789,0.007597272407991573
hela,mlp,sequence,0.1394/0.1796,0.2845/0.2862,0.07309181166192813,0.0,0.1350/0.1721,0.3346/0.3198,0.1078877269846027
hl60,mlp,sequence,0.0789/0.1026,0.3964/0.4217,0.1560170469981641,0.0,0.0888/0.1120,0.4061/0.4204,0.1646972351275069
hct116,cnn(3|3),sequence,0.1378/0.1730,0.2893/0.2778,0.07952778693080576,0.0,0.1311/0.1643,0.2728/0.2740,0.07409536941357708
hek293t,cnn(3|3),sequence,0.0955/0.1157,0.2689/0.1988,0.07196803770013727,0.0,0.0987/0.1217,0.2483/0.1835,0.06060727301553337
hela,cnn(3|3),sequence,0.1404/0.1800,0.2742/0.2569,0.06851701698184764,0.0,0.1406/0.1775,0.2377/0.2196,0.051053182999431734
hl60,cnn(3|3),sequence,0.0861/0.1075,0.2935/0.2723,0.07379116633200988,0.0,0.0932/0.1158,0.3296/0.3360,0.10696886710427977
hct116,cnn(5|3),sequence,0.1338/0.1697,0.3390/0.3366,0.11359942529969813,0.0,0.1284/0.1619,0.3190/0.3061,0.10138965379172493
hek293t,cnn(5|3),sequence,0.0979/0.1180,0.2182/0.1590,0.035220988850447,0.0,0.0981/0.1223,0.2409/0.2180,0.050986044346165604
hela,cnn(5|3),sequence,0.1349/0.1769,0.3347/0.3381,0.10048975762595791,0.0,0.1338/0.1712,0.3578/0.3495,0.11734271259486939
hl60,cnn(5|3),sequence,0.0849/0.1102,0.2907/0.2995,0.026499744558865168,0.0,0.0918/0.1154,0.3664/0.3485,0.11221139992937068
hct116,cnn(7|3),sequence,0.1354/0.1698,0.3397/0.3058,0.11305853315299808,0.0,0.1290/0.1633,0.3066/0.2875,0.08493435612373079
hek293t,cnn(7|3),sequence,0.0947/0.1157,0.2876/0.2177,0.07162632192981644,0.0,0.0971/0.1221,0.2554/0.2120,0.05339236354739829
hela,cnn(7|3),sequence,0.1355/0.1751,0.3477/0.3502,0.11875344235728902,0.0,0.1336/0.1689,0.3774/0.3664,0.14077386792797075
hl60,cnn(7|3),sequence,0.0819/0.1060,0.3244/0.3182,0.09861340495133897,0.0,0.0887/0.1123,0.4035/0.3898,0.15936097265832783
hct116,transformer,sequence,0.1374/0.1699,0.3378/0.3269,0.11173707630572272,0.0,0.1282/0.1600,0.3540/0.3254,0.12204579617020872
hek293t,transformer,sequence,0.0954/0.1179,0.2104/0.0918,0.03653171191187399,0.0,0.0963/0.1228,0.2251/0.1064,0.043449736856635224
hela,transformer,sequence,0.1401/0.1783,0.3000/0.3107,0.0865409599937047,0.0,0.1355/0.1701,0.3583/0.3585,0.12837444908763107
hl60,transformer,sequence,0.0790/0.1034,0.3824/0.4142,0.14280127313209923,0.0,0.0891/0.1117,0.4136/0.4000,0.16840913961125747
hct116,linear,sequence_ctcf,0.1347/0.1693,0.3447/0.3221,0.11826792801828279,-0.013756639583730967,0.1257/0.1576,0.3854/0.3791,0.14827806254124565
hek293t,linear,sequence_ctcf,0.1003/0.1205,0.1318/0.1061,-0.006175306505342704,-0.0028333397451341114,0.0995/0.1261,0.1432/0.1319,-0.008498485619920615
hela,linear,sequence_ctcf,0.1415/0.1796,0.2803/0.2894,0.07349347267012285,-0.007113617811071893,525521.9966/12952807.9591,-0.0522/0.3124,-5054222598214290.0
hl60,linear,sequence_ctcf,0.0799/0.1041,0.3769/0.3961,0.13131816633824211,-0.018165766984320264,0.0890/0.1130,0.3926/0.4090,0.14927179301582783
hct116,xgboost,sequence_ctcf,0.1336/0.1670,0.3775/0.3607,0.14172527114000155,-0.008857463888818584,0.1269/0.1595,0.3593/0.3669,0.12775406301002457
hek293t,xgboost,sequence_ctcf,0.0967/0.1173,0.2312/0.1552,0.04586325060127949,0.008613527976142787,0.0985/0.1239,0.1724/0.1504,0.02611986654462428
hela,xgboost,sequence_ctcf,0.1395/0.1771,0.3147/0.3215,0.09877728139872899,-0.0004835563217151506,0.1357/0.1700,0.3619/0.3553,0.12952205647209003
hl60,xgboost,sequence_ctcf,0.0786/0.1036,0.3755/0.4122,0.13946241641557489,-0.015201336010072342,0.0895/0.1112,0.4329/0.4071,0.1757164633537025
hct116,mlp,sequence_ctcf,0.1354/0.1686,0.3571/0.3386,0.1254704148088992,0.00395687883226481,0.1279/0.1582,0.3811/0.3753,0.14136923900113885
hek293t,mlp,sequence_ctcf,0.0990/0.1202,0.1315/0.1320,-0.0015757067286830129,0.002105202406351925,0.0984/0.1243,0.1781/0.1499,0.019655480599168662
hela,mlp,sequence_ctcf,0.1396/0.1790,0.2888/0.2849,0.0796082455552054,0.006516433893277274,0.1344/0.1705,0.3560/0.3405,0.12399123604807072
hl60,mlp,sequence_ctcf,0.0788/0.1027,0.3944/0.4217,0.15403116295308616,-0.0019858840450779347,0.0887/0.1120,0.4063/0.4142,0.16371683442039564
