model,split_type,cell_line,R2,MAE,RMSE,Pearson,Spearman
linear,single,hct116,0.13202456760201375,0.13408004764742773,0.16795746456088648,0.3634216323987913,0.34192348051993804
linear,single,hek293t,-0.0033419667602085923,0.10004505600098153,0.1202920052575513,0.12988315995073285,0.1055578105112673
linear,single,hela,0.08060709048119474,0.14089991133300883,0.1788709407821487,0.2891781692431445,0.2899514750425211
linear,single,hl60,0.14948393332256238,0.07892819656990469,0.1029858465286419,0.39463472291282553,0.41767536696915786
xgboost,single,hct116,0.15058273502882014,0.13282604817060883,0.1661522151262323,0.38968988617760975,0.37402431186644225
xgboost,single,hek293t,0.037249722625136705,0.09709565019313718,0.11783358795985031,0.19905219576734098,0.12232599558501264
xgboost,single,hela,0.09926083772044414,0.13890345005851623,0.1770470679383228,0.31756137473285895,0.32577970159910763
xgboost,single,hl60,0.15466375242564723,0.077680611033709,0.10267176501911823,0.39529414555631853,0.4299503184220113
mlp,single,hct116,0.12151353597663439,0.132717385224752,0.16897137208877047,0.35565488670985484,0.3424764252103359
mlp,single,hek293t,-0.0036809091350349377,0.1005012834261001,0.12031232166837118,0.09304628380010865,0.06812786833359709
mlp,single,hela,0.07309181166192813,0.1393779189299898,0.17960051411515202,0.28454208135773384,0.28618472458114963
mlp,single,hl60,0.1560170469981641,0.07889560070963433,0.10258954874337431,0.39640781192305347,0.4217276102979235
cnn(3|3),single,hct116,0.07952778693080576,0.13782666394422594,0.17296209416928013,0.2893450653082441,0.2778201222934178
cnn(3|3),single,hek293t,0.07196803770013727,0.09554255433695417,0.11568944634273355,0.2689219921518645,0.19876857795027641
cnn(3|3),single,hela,0.06851701698184764,0.14044584696929258,0.1800431815642036,0.2742200810839765,0.25688271943118685
cnn(3|3),single,hl60,0.07379116633200988,0.08607989096512589,0.10747086428815132,0.29347321011459493,0.2723118647067981
cnn(5|3),single,hct116,0.11359942529969813,0.13381454356032302,0.16973078040719095,0.3390107709534017,0.33657855155261795
cnn(5|3),single,hek293t,0.035220988850447,0.097885688352333,0.11795767370828693,0.21815948356472897,0.15904871238476373
cnn(5|3),single,hela,0.10048975762595791,0.13489904699131297,0.17692624998222004,0.334683745711875,0.3380522116087896
cnn(5|3),single,hl60,0.026499744558865168,0.08494148917424564,0.11018039298454506,0.29072525365759355,0.2995347933042477
cnn(7|3),single,hct116,0.11305853315299808,0.13535449202113883,0.16978255837743503,0.3397464586435825,0.30578331548496546
cnn(7|3),single,hek293t,0.07162632192981644,0.09465613487950512,0.1157107437071526,0.28762235841544653,0.21769642804455758
cnn(7|3),single,hela,0.11875344235728902,0.13550742525193055,0.1751208807993611,0.3476920889537434,0.3502336406479465
cnn(7|3),single,hl60,0.09861340495133897,0.08189726986874564,0.10602098377153876,0.32444569564918674,0.3181920552147482
transformer,single,hct116,0.11173707630572272,0.13741392985941056,0.16990899108247237,0.33781579409799095,0.32685804506362165
transformer,single,hek293t,0.03653171191187399,0.09544860360697961,0.11787751939868908,0.21035823047149999,0.09180410974703679
transformer,single,hela,0.0865409599937047,0.1400797075010431,0.17829277939159316,0.2999970130990734,0.3107328003833856
transformer,single,hl60,0.14280127313209923,0.07902164738744688,0.10338964421233364,0.3823771648893028,0.41424060360707066
linear,all,hct116,0.09685070336521173,0.131835120192893,0.16319517831383665,0.3220260385691417,0.316636124856664
linear,all,hek293t,-0.45272644252298755,0.1141084817090849,0.14439119385774019,-0.1813376713648645,-0.14367521057297106
linear,all,hela,0.007291341586057931,0.1425859325577663,0.18142058592519664,0.14366743669362533,0.14104782147321673
linear,all,hl60,0.02861491556917395,0.08923065513533922,0.11184565692747839,0.29084249291140113,0.29355031591506703
xgboost,all,hct116,0.10226866842819238,0.13134511343131286,0.16270494053080112,0.33471910047963216,0.33163972291238597
xgboost,all,hek293t,-0.4586661654382509,0.11441843708728804,0.1446860769098345,-0.19187023070001077,-0.15198952955189493
xgboost,all,hela,0.0017708616812232014,0.14308393919105936,0.18192432897532634,0.11821408204363422,0.11202935695987097
xgboost,all,hl60,-0.016126636666379257,0.09115914790577082,0.11439244099969256,0.21526419849429484,0.2098973102781539
