model,environment,MAE/RMSE,Pearson/Spearman,R2,delta_R2,validation_MAE/RMSE,validation_Pearson/Spearman,validation_R2
linear,sequence,0.1257/0.1591,0.2788/0.2711,0.07665283404818168,0.0,0.1245/0.1579,0.2579/0.2564,0.062202953958083784
xgboost,sequence,0.1241/0.1573,0.3118/0.3045,0.09659103099505184,0.0,0.1220/0.1555,0.3065/0.3032,0.09119063167585575
mlp,sequence,0.1256/0.1595,0.2762/0.2675,0.07117013110556625,0.0,0.1236/0.1579,0.2648/0.2599,0.06281798528538221
cnn(3|3),sequence,0.1285/0.1616,0.2176/0.2152,0.04630740709358755,0.0,0.1262/0.1589,0.2266/0.2160,0.05067794264676859
cnn(5|3),sequence,0.1237/0.1595,0.2891/0.2749,0.07092037200682302,0.0,0.1215/0.1566,0.2949/0.2828,0.07753622302798968
cnn(7|3),sequence,0.1234/0.1586,0.2983/0.2829,0.08155694587199952,0.0,0.1213/0.1561,0.2967/0.2862,0.08326364216359722
transformer,sequence,0.1257/0.1589,0.2908/0.2784,0.07823754200488647,0.0,0.1218/0.1550,0.3161/0.3096,0.0969134955311681
linear,sequence_ctcf,0.1259/0.1592,0.2773/0.2678,0.07533994538434671,-0.0013128886638349713,0.1247/0.1581,0.2571/0.2537,0.06087991598669468
xgboost,sequence_ctcf,0.1240/0.1574,0.3110/0.3014,0.09596313266213344,-0.0006278983329184029,0.1220/0.1553,0.3068/0.3034,0.0928684594213171
mlp,sequence_ctcf,0.1254/0.1593,0.2789/0.2666,0.07323673156865679,0.00206660046309054,0.1231/0.1573,0.2714/0.2665,0.06995911068129368
cnn(3|3),sequence_ctcf,0.1290/0.1620,0.2203/0.2097,0.04216225620863462,-0.004145150884952931,0.1261/0.1585,0.2431/0.2210,0.05521400388039438
cnn(5|3),sequence_ctcf,0.1245/0.1595,0.2763/0.2607,0.07182278874230044,0.0009024167354774182,0.1222/0.1565,0.2850/0.2737,0.07899060190474261
cnn(7|3),sequence_ctcf,0.1244/0.1594,0.2923/0.2810,0.07269658792383119,-0.008860357948168335,0.1212/0.1561,0.3016/0.2905,0.08419935243497423
transformer,sequence_ctcf,0.1247/0.1593,0.2787/0.2759,0.07413198137341592,-0.004105560631470551,0.1214/0.1557,0.2989/0.2993,0.08819509828091801
linear,sequence_dnase,0.1270/0.1602,0.2720/0.2632,0.07195083847588453,-0.004701995572297155,0.1243/0.1574,0.2446/0.2487,0.053394248989465876
xgboost,sequence_dnase,0.1245/0.1577,0.3054/0.2992,0.0927116449645023,-0.0038793860305495476,0.1223/0.1555,0.3030/0.3012,0.09096796749176694
mlp,sequence_dnase,0.1248/0.1597,0.2796/0.2740,0.06924796508193826,-0.0019221660236279914,0.1224/0.1575,0.2709/0.2650,0.06783992968048594
cnn(3|3),sequence_dnase,0.1286/0.1618,0.2181/0.2155,0.044688211494173125,-0.0016191955994144247,0.1261/0.1588,0.2298/0.2176,0.05174006171296955
cnn(5|3),sequence_dnase,0.1240/0.1593,0.2818/0.2705,0.07346494786670318,0.0025445758598801604,0.1216/0.1564,0.2889/0.2790,0.08016463589597328
cnn(7|3),sequence_dnase,0.1256/0.1589,0.2924/0.2852,0.07862217719762193,-0.002934768674377586,0.1236/0.1564,0.2915/0.2754,0.0801830524000045
transformer,sequence_dnase,0.1253/0.1588,0.2879/0.2810,0.07921422910496426,0.0009766871000777833,0.1229/0.1566,0.2848/0.2850,0.07838469803543854
linear,sequence_h3k4me3,0.1258/0.1592,0.2758/0.2695,0.07462796120695189,-0.002024872841229791,0.1248/0.1583,0.2528/0.2522,0.05839775709180178
xgboost,sequence_h3k4me3,0.1243/0.1576,0.3063/0.2991,0.09323660788733801,-0.003354423107713833,0.1220/0.1555,0.3035/0.3003,0.09074361864253772
mlp,sequence_h3k4me3,0.1248/0.1595,0.2750/0.2664,0.0717821400195445,0.0006120089139782514,0.1230/0.1575,0.2675/0.2567,0.06744259162661642
cnn(3|3),sequence_h3k4me3,0.1279/0.1617,0.2184/0.2152,0.045247076852483054,-0.0010603302411044957,0.1255/0.1589,0.2268/0.2161,0.0505716002679136
cnn(5|3),sequence_h3k4me3,0.1250/0.1592,0.2793/0.2736,0.07487784119676918,0.003957469189946161,0.1229/0.1566,0.2834/0.2704,0.07803527567523005
cnn(7|3),sequence_h3k4me3,0.1243/0.1593,0.2917/0.2819,0.07392438592294953,-0.0076325599490499885,0.1216/0.1562,0.3019/0.2912,0.08282250568050961
transformer,sequence_h3k4me3,0.1254/0.1594,0.2825/0.2786,0.07261647813191596,-0.005621063872970511,0.1224/0.1562,0.2960/0.2922,0.08258809176611592
linear,sequence_rrbs,0.1257/0.1592,0.2773/0.2702,0.07550575445408042,-0.0011470795941012635,0.1247/0.1582,0.2543/0.2532,0.059530434226327616
xgboost,sequence_rrbs,0.1240/0.1574,0.3098/0.3044,0.09541151566523762,-0.0011795153298142236,0.1221/0.1554,0.3049/0.3027,0.09173690590486219
mlp,sequence_rrbs,0.1251/0.1595,0.2789/0.2727,0.0719321585352182,0.0007620274296519514,0.1234/0.1580,0.2637/0.2597,0.06200205498373054
cnn(3|3),sequence_rrbs,0.1285/0.1623,0.2000/0.2032,0.03808437147105495,-0.008223035622532598,0.1258/0.1590,0.2228/0.2116,0.04906649351503242
cnn(5|3),sequence_rrbs,0.1250/0.1598,0.2750/0.2693,0.06830654412586429,-0.0026138278809587356,0.1226/0.1565,0.2882/0.2722,0.07965985832233216
cnn(7|3),sequence_rrbs,0.1245/0.1597,0.2894/0.2817,0.0695605535081969,-0.011996392363802622,0.1211/0.1561,0.3022/0.2883,0.08386639024488246
transformer,sequence_rrbs,0.1255/0.1591,0.2806/0.2684,0.07552520181553887,-0.0027123401893476007,0.1223/0.1557,0.3023/0.2974,0.08880673976593587
linear,sequence_ctcf_dnase,0.1259/0.1591,0.2784/0.2679,0.07562245704763301,-0.0010303770005486712,0.1250/0.1584,0.2522/0.2503,0.057279553764155694
xgboost,sequence_ctcf_dnase,0.1241/0.1574,0.3102/0.3003,0.0954923179414306,-0.0010987130536212475,0.1219/0.1552,0.3086/0.3054,0.09414225609320073
