model,environment,MAE/RMSE,Pearson/Spearman,R2,delta_R2,validation_MAE/RMSE,validation_Pearson/Spearman,validation_R2,test_cell_line
linear,sequence,0.1141/0.1444,-0.1813/-0.1437,-0.45272644252298755,0.0,0.1287/0.1648,0.3427/0.3459,0.11553458324327204,hct116
linear,sequence,0.1318/0.1632,0.3220/0.3166,0.09685070336521173,0.0,0.1241/0.1606,0.1834/0.1709,0.02815295472033641,hct116
linear,sequence,0.1426/0.1814,0.1437/0.1410,0.007291341586057931,0.0,0.0956/0.1194,0.0764/0.0984,-0.003610756484371924,hek293t
linear,sequence,0.0892/0.1118,0.2908/0.2936,0.02861491556917395,0.0,0.1329/0.1668,0.2627/0.2481,0.06676473107112968,hela
xgboost,sequence,0.1313/0.1627,0.3347/0.3316,0.10226866842819238,0.0,0.1229/0.1591,0.2150/0.1896,0.04573185911247113,hela
xgboost,sequence,0.1431/0.1819,0.1182/0.1120,0.0017708616812232014,0.0,0.0945/0.1184,0.1311/0.1463,0.013848672296690845,hela
xgboost,sequence,0.1144/0.1447,-0.1919/-0.1520,-0.4586661654382509,0.0,0.1263/0.1625,0.3779/0.3879,0.1399945716597173,hela
xgboost,sequence,0.0912/0.1144,0.2153/0.2099,-0.016126636666379257,0.0,0.1312/0.1652,0.2943/0.2863,0.08522447910480069,hela
mlp,sequence,0.1435/0.1817,0.1152/0.1090,0.004542165643389828,0.0,0.0953/0.1196,0.0902/0.1204,-0.006668129000469536,hct116
mlp,sequence,0.0887/0.1119,0.2566/0.2560,0.0283010001726981,0.0,0.1323/0.1679,0.2488/0.2397,0.05488097034063344,hela
mlp,sequence,0.1129/0.1416,-0.1759/-0.1464,-0.39660485689618574,0.0,0.1298/0.1653,0.3323/0.3286,0.10982097889656917,hl60
mlp,sequence,0.1300/0.1636,0.3081/0.3138,0.0927671929123749,0.0,0.1219/0.1605,0.1968/0.1888,0.029265796887768425,hl60
cnn(3|3),sequence,0.1339/0.1677,0.2212/0.2184,0.046250833076030395,0.0,0.1222/0.1596,0.2031/0.1982,0.04048283052687429,hek293t
cnn(3|3),sequence,0.1091/0.1333,-0.1548/-0.1087,-0.23818424058404464,0.0,0.1329/0.1688,0.2720/0.2786,0.07182781401014438,hek293t
cnn(3|3),sequence,0.0940/0.1192,0.1487/0.1563,-0.1032804417340738,0.0,0.1332/0.1678,0.2485/0.2525,0.05566491297604759,hek293t
cnn(3|3),sequence,0.1461/0.1842,-0.0154/-0.0230,-0.023653935885685762,0.0,0.0944/0.1167,0.2110/0.2132,0.04218268016970406,hela
cnn(5|3),sequence,0.1459/0.1859,0.0376/0.0303,-0.04284179334946492,0.0,0.0941/0.1173,0.2131/0.1687,0.03205818453865139,hct116
cnn(5|3),sequence,0.1114/0.1401,-0.1725/-0.1305,-0.3673019148398373,0.0,0.1285/0.1655,0.3406/0.3539,0.10796605497245915,hek293t
cnn(5|3),sequence,0.0868/0.1125,0.2385/0.2455,0.0178327184814403,0.0,0.1300/0.1662,0.2948/0.2938,0.07374986634295544,hek293t
cnn(5|3),sequence,0.1330/0.1648,0.2830/0.2737,0.0791453814297618,0.0,0.1230/0.1590,0.2214/0.2007,0.04763096926022092,hela
cnn(7|3),sequence,0.1459/0.1827,0.0133/0.0113,-0.007030169299339084,0.0,0.0959/0.1173,0.2027/0.2033,0.032068305091995875,hct116
cnn(7|3),sequence,0.0872/0.1111,0.2676/0.2640,0.04141729579003994,0.0,0.1287/0.1639,0.3232/0.3129,0.09895548774652596,hct116
cnn(7|3),sequence,0.1299/0.1619,0.3357/0.3237,0.11156450801955542,0.0,0.1211/0.1581,0.2438/0.2194,0.05775125886820609,hek293t
cnn(7|3),sequence,0.1139/0.1452,-0.1376/-0.1109,-0.4686219139728227,0.0,0.1275/0.1636,0.3609/0.3621,0.12810118786496782,hela
transformer,sequence,0.1288/0.1631,0.3266/0.3252,0.09799799314352775,0.0,0.1221/0.1600,0.2028/0.1703,0.03588846476223995,hek293t
transformer,sequence,0.1435/0.1827,0.0891/0.0809,-0.006561778466817048,0.0,0.0939/0.1180,0.1494/0.1583,0.019880579957140654,hek293t
transformer,sequence,0.1152/0.1460,-0.1561/-0.1383,-0.48599074545487775,0.0,0.1279/0.1624,0.3789/0.3849,0.14116785679156174,hek293t
transformer,sequence,0.0954/0.1194,0.1291/0.0621,-0.10640637881941162,0.0,0.1317/0.1647,0.3157/0.3037,0.09070767871323548,hela
linear,sequence_ctcf,0.1433/0.1810,0.1416/0.1397,0.012236106454436069,0.0049447648683781376,0.0958/0.1197,0.0703/0.0892,-0.007954236677123694,hct116
linear,sequence_ctcf,0.1134/0.1436,-0.1687/-0.1280,-0.43762244164431907,0.015104000878668478,0.1290/0.1649,0.3414/0.3438,0.11451300181265933,hek293t
linear,sequence_ctcf,0.0880/0.1113,0.2789/0.2766,0.038766503826230925,0.010151588257056976,0.1328/0.1666,0.2672/0.2513,0.06913269592350424,hela
linear,sequence_ctcf,0.1324/0.1635,0.3116/0.3106,0.09341622820546958,-0.0034344751597421563,0.1249/0.1609,0.1794/0.1639,0.023991455067209233,hela
xgboost,sequence_ctcf,0.1321/0.1637,0.3139/0.3180,0.09144096864592455,-0.01082769978226783,0.1227/0.1589,0.2212/0.1889,0.04871824876143194,hek293t
xgboost,sequence_ctcf,0.1117/0.1404,-0.1833/-0.1427,-0.37317025349535915,0.08549591194289174,0.1270/0.1629,0.3737/0.3834,0.13550800572120092,hek293t
xgboost,sequence_ctcf,0.0903/0.1142,0.1846/0.1694,-0.012738506648250603,0.0033881300181286544,0.1307/0.1646,0.3051/0.2960,0.09185159357981743,hela
xgboost,sequence_ctcf,0.1440/0.1826,0.0842/0.0795,-0.005123696814169021,-0.006894558495392222,0.0951/0.1184,0.1226/0.1367,0.013292374275943541,hl60
mlp,sequence_ctcf,0.1458/0.1822,0.0495/0.0436,-0.0013966687993729465,-0.005938834442762775,0.0948/0.1193,0.0794/0.0853,-0.0019723772377191473,hct116
mlp,sequence_ctcf,0.1126/0.1434,-0.1493/-0.1179,-0.43303836750550206,-0.03643351060931632,0.1292/0.1658,0.3268/0.3388,0.10467077879709985,hek293t
mlp,sequence_ctcf,0.1332/0.1645,0.2944/0.2890,0.08287393340980653,-0.009893259502568363,0.1240/0.1599,0.1984/0.1741,0.03666473644370882,hl60
mlp,sequence_ctcf,0.0907/0.1156,0.1647/0.1635,-0.038418792752052955,-0.06671979292475105,0.1315/0.1671,0.2645/0.2543,0.06357587281228405,hl60
cnn(3|3),sequence_ctcf,0.1461/0.1844,-0.0474/-0.0396,-0.025769420035675283,-0.0021154841499895216,0.0937/0.1168,0.2002/0.1712,0.03926669290728024,hct116
cnn(3|3),sequence_ctcf,0.1344/0.1677,0.2166/0.2124,0.04626197342894245,1.1140352912053508e-05,0.1221/0.1594,0.2093/0.1988,0.043126298760668313,hek293t
cnn(3|3),sequence_ctcf,0.1076/0.1334,-0.1484/-0.0813,-0.23953364603004057,-0.0013494054459959326,0.1327/0.1689,0.2674/0.2684,0.07068433568634291,hela
cnn(3|3),sequence_ctcf,0.0902/0.1146,0.1027/0.0987,-0.020109600643444026,0.08317084109062978,0.1335/0.1674,0.2465/0.2410,0.0600669460339599,hl60
cnn(5|3),sequence_ctcf,0.1478/0.1835,0.0186/0.0135,-0.015415988829256433,0.027425804520208485,0.0944/0.1164,0.2256/0.2033,0.046098512624759835,hela
cnn(5|3),sequence_ctcf,0.1105/0.1385,-0.1174/-0.0845,-0.33564804349857913,0.03165387134125819,0.1307/0.1652,0.3341/0.3479,0.11141770903136161,hl60
cnn(5|3),sequence_ctcf,0.0866/0.1117,0.2367/0.2536,0.03200089490020441,0.014168176418764111,0.1314/0.1651,0.3160/0.2951,0.08627950910886584,hl60
cnn(5|3),sequence_ctcf,0.1323/0.1663,0.2702/0.2849,0.06258266564477155,-0.016562715784990245,0.1206/0.1585,0.2449/0.1999,0.053118402850114044,hl60
cnn(7|3),sequence_ctcf,0.1135/0.1420,-0.1566/-0.1277,-0.4041041201358444,0.06451779383697831,0.1285/0.1639,0.3545/0.3581,0.12488670054030349,hct116
cnn(7|3),sequence_ctcf,0.0904/0.1149,0.1975/0.1967,-0.02473012193715829,-0.06614741772719823,0.1296/0.1639,0.3332/0.3037,0.09882995764974489,hek293t
cnn(7|3),sequence_ctcf,0.1453/0.1829,0.0392/0.0361,-0.009184823163153721,-0.0021546538638146373,0.0933/0.1170,0.1960/0.1866,0.03701981722706704,hek293t
cnn(7|3),sequence_ctcf,0.1306/0.1647,0.2878/0.3061,0.08027502385549268,-0.03128948416406274,0.1196/0.1585,0.2487/0.1947,0.05347907338148705,hela
transformer,sequence_ctcf,0.1142/0.1430,-0.1595/-0.1243,-0.4245872437035445,0.061403501751333245,0.1286/0.1626,0.3733/0.3763,0.13924998018642987,hct116
transformer,sequence_ctcf,0.1312/0.1636,0.3035/0.3051,0.09194454871026359,-0.006053444433264166,0.1221/0.1588,0.2293/0.1827,0.050287346298201974,hela
transformer,sequence_ctcf,0.0930/0.1164,0.1326/0.0794,-0.05295612298440178,0.05345025583500984,0.1311/0.1651,0.2981/0.3046,0.08545546719064812,hl60
transformer,sequence_ctcf,0.1442/0.1825,0.0886/0.0874,-0.004912545264844637,0.001649233201972411,0.0949/0.1185,0.1170/0.1378,0.01244567206308711,hl60
linear,sequence_dnase,0.0893/0.1119,0.2897/0.2933,0.027036557945548267,-0.0015783576236256813,0.1329/0.1670,0.2602/0.2469,0.06483103379856692,hek293t
linear,sequence_dnase,0.1141/0.1443,-0.1815/-0.1438,-0.45147812388320463,0.0012483186397829193,0.1290/0.1650,0.3395/0.3435,0.11310798584534731,hela
linear,sequence_dnase,0.1427/0.1815,0.1390/0.1361,0.006344796267251929,-0.0009465453188060025,0.0956/0.1193,0.0779/0.1007,-0.002382916753134179,hela
xgboost,sequence_dnase,0.0914/0.1146,0.2152/0.2078,-0.019219196732475963,-0.0030925600660967056,0.1307/0.1647,0.3016/0.2928,0.08988686435644766,hct116
xgboost,sequence_dnase,0.1313/0.1627,0.3352/0.3326,0.10258911557815398,0.0003204471499616002,0.1230/0.1591,0.2149/0.1887,0.04567822113752218,hek293t
xgboost,sequence_dnase,0.1141/0.1442,-0.1927/-0.1547,-0.44953496723220354,0.009131198206047353,0.1265/0.1627,0.3742/0.3840,0.13742697241343438,hek293t
xgboost,sequence_dnase,0.1430/0.1821,0.1146/0.1134,-0.0006587516239071611,-0.0024296133051303626,0.0947/0.1182,0.1327/0.1496,0.016910486852786177,hela
mlp,sequence_dnase,0.1135/0.1415,-0.1796/-0.1481,-0.39503468865223845,0.0015701682439472897,0.1311/0.1652,0.3341/0.3310,0.11096344113764955,hct116
mlp,sequence_dnase,0.0871/0.1103,0.2748/0.2761,0.05517359462793092,0.026872594455232823,0.1319/0.1674,0.2589/0.2465,0.060679398803692775,hct116
mlp,sequence_dnase,0.1337/0.1646,0.2934/0.2976,0.08109208171277671,-0.011675111199598187,0.1234/0.1600,0.2083/0.1840,0.03553802830920516,hct116
mlp,sequence_dnase,0.1437/0.1821,0.0965/0.0909,-0.00030092846530016537,-0.004843094108689994,0.0964/0.1194,0.0767/0.0942,-0.0038008803957476633,hl60
cnn(3|3),sequence_dnase,0.1084/0.1350,-0.1698/-0.1089,-0.26945053814137543,-0.03126629755733079,0.1324/0.1691,0.2671/0.2664,0.06858298336098811,hct116
cnn(3|3),sequence_dnase,0.1353/0.1678,0.2119/0.2156,0.04480200716222804,-0.001448825913802354,0.1242/0.1600,0.1901/0.1877,0.03516783541661417,hek293t
cnn(3|3),sequence_dnase,0.1446/0.1838,0.0068/-0.0003,-0.018370928993217683,0.005283006892468078,0.0944/0.1170,0.1943/0.1762,0.036204232412456405,hela
cnn(3|3),sequence_dnase,0.0973/0.1214,0.1508/0.1601,-0.1442477203718493,-0.040967278637775495,0.1372/0.1680,0.2442/0.2414,0.053385208982032584,hl60
cnn(5|3),sequence_dnase,0.1320/0.1652,0.2851/0.2907,0.07448641282396651,-0.004658968605795288,0.1212/0.1589,0.2357/0.1977,0.04806874511504844,hct116
cnn(5|3),sequence_dnase,0.1440/0.1856,0.0324/0.0297,-0.03872342041774024,0.004118372931724679,0.0921/0.1165,0.2239/0.2120,0.045154273562154845,hek293t
cnn(5|3),sequence_dnase,0.1130/0.1408,-0.1534/-0.1068,-0.3821253034025123,-0.014823388562674955,0.1299/0.1645,0.3456/0.3528,0.11805872431727871,hela
cnn(5|3),sequence_dnase,0.0925/0.1167,0.2461/0.2659,-0.05690249535846781,-0.07473521383990811,0.1343/0.1666,0.2826/0.2706,0.06922152734675124,hela
cnn(7|3),sequence_dnase,0.1101/0.1395,-0.1647/-0.1346,-0.3552162925978217,0.11340562137500099,0.1292/0.1642,0.3549/0.3597,0.12154281832846536,hek293t
cnn(7|3),sequence_dnase,0.0902/0.1151,0.2835/0.2964,-0.027985639330667444,-0.06940293512070739,0.1316/0.1647,0.3224/0.2993,0.0896985206678167,hela
cnn(7|3),sequence_dnase,0.1446/0.1833,0.0528/0.0492,-0.013412256797462385,-0.006382087498123301,0.0939/0.1167,0.2061/0.2098,0.04200349444756313,hl60
cnn(7|3),sequence_dnase,0.1321/0.1642,0.2961/0.3006,0.08542454671327437,-0.026139961306281045,0.1227/0.1590,0.2197/0.2090,0.04755226452295325,hl60
transformer,sequence_dnase,0.1430/0.1829,0.0926/0.0846,-0.009411013330692608,-0.0028492348638755605,0.0937/0.1180,0.1552/0.1646,0.0201140869103007,hek293t
transformer,sequence_dnase,0.1176/0.1478,-0.1895/-0.1407,-0.5212078916617495,-0.035217146206871774,0.1269/0.1621,0.3802/0.3901,0.14418716312072022,hela
transformer,sequence_dnase,0.1308/0.1632,0.3133/0.3155,0.09694357214329996,-0.0010544210002277898,0.1211/0.1588,0.2241/0.1818,0.0492673215180357,hl60
transformer,sequence_dnase,0.0931/0.1169,0.1377/0.0454,-0.060327979665335985,0.04607839915407563,0.1319/0.1650,0.2972/0.2973,0.0865204354115916,hl60
linear,sequence_h3k4me3,0.1427/0.1813,0.1427/0.1416,0.008899627496140594,0.001608285910082663,0.0959/0.1202,0.0605/0.0946,-0.017026106402840302,hct116
linear,sequence_h3k4me3,0.1318/0.1634,0.3149/0.3147,0.0950047554874418,-0.0018459478777699267,0.1240/0.1606,0.1849/0.1724,0.027917097490090526,hela
linear,sequence_h3k4me3,0.0890/0.1116,0.2952/0.2980,0.032685324578969555,0.004070409009795606,0.1332/0.1671,0.2574/0.2448,0.0632845508739196,hl60
linear,sequence_h3k4me3,0.1142/0.1448,-0.1789/-0.1413,-0.46075512249556727,-0.008028679972579722,0.1287/0.1646,0.3462/0.3472,0.1179083756264423,hl60
xgboost,sequence_h3k4me3,0.0909/0.1141,0.2203/0.2140,-0.010978637995303853,0.005147998671075404,0.1311/0.1649,0.2993/0.2891,0.08831191251025938,hct116
xgboost,sequence_h3k4me3,0.1313/0.1629,0.3316/0.3321,0.10004620966863664,-0.0022224587595557344,0.1232/0.1592,0.2126/0.1782,0.04462460775754551,hct116
xgboost,sequence_h3k4me3,0.1145/0.1451,-0.1941/-0.1541,-0.46694808897260653,-0.00828192353435564,0.1264/0.1624,0.3792/0.3921,0.1408947531034903,hek293t
xgboost,sequence_h3k4me3,0.1436/0.1827,0.0932/0.0925,-0.007043856013625005,-0.008814717694848206,0.0951/0.1185,0.1232/0.1239,0.012580271947409849,hl60
mlp,sequence_h3k4me3,0.0857/0.1096,0.2838/0.2859,0.06782347187138771,0.03952247169868961,0.1308/0.1680,0.2622/0.2503,0.05306263260569555,hct116
mlp,sequence_h3k4me3,0.1425/0.1818,0.1326/0.1331,0.0028485424919026947,-0.0016936231514871336,0.0954/0.1195,0.0860/0.0973,-0.005519821709638384,hela
mlp,sequence_h3k4me3,0.1118/0.1392,-0.1647/-0.1370,-0.34923820237119174,0.047366654524994,0.1316/0.1657,0.3269/0.3297,0.10611968712145936,hl60
mlp,sequence_h3k4me3,0.1337/0.1651,0.2796/0.2798,0.07595119523399241,-0.01681599767838249,0.1229/0.1601,0.2093/0.1729,0.03439886242935053,hl60
cnn(3|3),sequence_h3k4me3,0.1449/0.1834,0.0120/0.0085,-0.014764681937801782,0.00888925394788398,0.0945/0.1175,0.1688/0.1639,0.028395230968528362,hek293t
cnn(3|3),sequence_h3k4me3,0.1098/0.1353,-0.1337/-0.0902,-0.27491193451208606,-0.03672769392804143,0.1334/0.1691,0.2634/0.2683,0.06826767551554758,hela
cnn(3|3),sequence_h3k4me3,0.1353/0.1680,0.2077/0.2193,0.042863390856502925,-0.00338744221952747,0.1231/0.1593,0.2093/0.1936,0.04358834530930533,hela
cnn(3|3),sequence_h3k4me3,0.0919/0.1156,0.2208/0.2494,-0.037274142197099236,0.06600629953697457,0.1359/0.1679,0.2379/0.2424,0.05465287173394484,hela
cnn(5|3),sequence_h3k4me3,0.1323/0.1649,0.2809/0.2831,0.07768718925958651,-0.0014581921701752876,0.1210/0.1583,0.2409/0.1966,0.05575733101241198,hek293t
cnn(5|3),sequence_h3k4me3,0.0874/0.1127,0.2575/0.2646,0.013582816932733777,-0.004249901548706525,0.1308/0.1664,0.2885/0.2860,0.07100671894900301,hela
cnn(5|3),sequence_h3k4me3,0.1125/0.1401,-0.1552/-0.1091,-0.3676727256837544,-0.00037081084391710206,0.1298/0.1647,0.3449/0.3512,0.11632673106990798,hela
cnn(5|3),sequence_h3k4me3,0.1439/0.1853,0.0001/-0.0019,-0.0356832317203446,0.007158561629120319,0.0939/0.1176,0.1746/0.1551,0.026678249468855553,hl60
cnn(7|3),sequence_h3k4me3,0.1434/0.1844,0.0455/0.0457,-0.02554134171247746,-0.018511172413138377,0.0933/0.1169,0.2042/0.2003,0.038753276461287345,hct116
cnn(7|3),sequence_h3k4me3,0.1165/0.1465,-0.1527/-0.1237,-0.4953420897761325,-0.026720175803309765,0.1278/0.1638,0.3596/0.3633,0.12653772497983606,hela
cnn(7|3),sequence_h3k4me3,0.1312/0.1649,0.2957/0.2986,0.07816742864557824,-0.03339707937397718,0.1209/0.1589,0.2254/0.2049,0.048702867174695186,hl60
